"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718109017041274E9,"2024-06-11 14:30:17.041 UTC+02:00"
"PAUSE",3.843075098333356E2,1.718109401340267E9,"2024-06-11 14:36:41.340 UTC+02:00"
