"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717512292981599E9,"2024-06-04 16:44:52.982 UTC+02:00"
"PAUSE",2.122953294999970E2,1.717512505273634E9,"2024-06-04 16:48:25.274 UTC+02:00"
