"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.426527357E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.419280417E1,1.392526586E0
4.526524842E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.622477075E1,1.425948583E0
4.626522231E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.797378763E1,1.431719164E0
4.726519763E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.990009484E1,1.409277130E0
4.826517236E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.325326791E1,1.393329560E0
4.926514733E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.270246476E1,1.358980192E0
5.026512218E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.291960467E1,1.343733780E0
5.126509726E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.270886681E1,1.321552075E0
5.226507342E1,5.193583059E1,4.476239679E0,2.333813886E0,0.000000000E0,NaN,2.259565087E1,1.328274663E0
5.326504862E1,5.193582766E1,4.476265774E0,2.337013073E0,1.592530078E-2,NaN,2.256668104E1,1.315737723E0
5.426502490E1,5.193582699E1,4.476270263E0,2.337785800E0,2.518058103E-2,NaN,2.274527857E1,1.318174094E0
5.526499939E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,2.320227871E1,1.343425468E0
5.626497591E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.541166417E1,1.364512622E0
5.726495135E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.631311431E1,1.409414298E0
5.826492894E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.708650585E1,1.396541740E0
5.926490486E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.584578615E1,1.363078167E0
6.026488066E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.569684875E1,1.360099208E0
6.126485717E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.565276082E1,1.316212282E0
6.226483333E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.567004698E1,1.322959460E0
6.326480949E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.570777021E1,1.311534394E0
6.426478684E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.573025717E1,1.303786100E0
6.526476347E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.573967677E1,1.276469582E0
6.626473951E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.581299239E1,1.295073424E0
6.726471603E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.585523588E1,1.292520936E0
6.826469362E1,5.193582699E1,4.476270299E0,2.337812601E0,0.000000000E0,NaN,1.588894504E1,1.290496466E0
6.926466990E1,5.193584536E1,4.476258068E0,2.332052120E0,5.507970690E-3,NaN,1.595752379E1,1.288842696E0
7.026464689E1,5.193584525E1,4.476257801E0,2.332645910E0,1.287769827E-2,NaN,1.619460030E1,1.274117917E0
7.126462400E1,5.193584497E1,4.476260670E0,2.336611964E0,7.027284955E-2,NaN,1.706623964E1,1.352251871E0
7.226460016E1,5.193584534E1,4.476263649E0,2.343858541E0,6.796864266E-2,NaN,1.822367480E1,1.354480882E0
7.326457751E1,5.193584541E1,4.476261468E0,2.343597721E0,9.521583653E-2,NaN,2.011790462E1,1.376255699E0
7.426455498E1,5.193584439E1,4.476246855E0,2.339136821E0,2.301390850E-1,NaN,2.298982565E1,1.418540030E0
7.526453185E1,5.193584462E1,4.476251793E0,2.338743869E0,5.316627081E-2,NaN,2.573183005E1,1.402701097E0
7.626450837E1,5.193584655E1,4.476263632E0,2.340042370E0,1.412012177E-1,NaN,2.820351889E1,1.435791603E0
7.726448572E1,5.193584068E1,4.476262901E0,2.339332865E0,1.161143698E-1,NaN,2.863359197E1,1.386670184E0
7.826446366E1,5.193583004E1,4.476236098E0,2.340025102E0,1.882279199E-1,NaN,3.035715185E1,1.440790954E0
7.926444006E1,5.193581836E1,4.476200477E0,2.343277667E0,3.127282800E-1,NaN,3.243322382E1,1.441461994E0
8.026441646E1,5.193583484E1,4.476202413E0,2.343209648E0,1.742079771E-1,NaN,3.369635774E1,1.441773616E0
8.126439428E1,5.193585135E1,4.476217178E0,2.338934958E0,1.698671018E-1,NaN,3.334788351E1,1.441768071E0
8.226437187E1,5.193582750E1,4.476227085E0,2.335701703E0,1.198921773E-1,NaN,2.970042742E1,1.415463391E0
8.326434863E1,5.193582004E1,4.476238176E0,2.338649439E0,2.736050562E-1,NaN,3.024699014E1,1.441882641E0
8.426432562E1,5.193581991E1,4.476239940E0,2.337659570E0,2.600340843E-1,NaN,3.190085487E1,1.442151817E0
8.526430357E1,5.193581196E1,4.476248525E0,2.336633562E0,3.151346601E-1,NaN,3.433977846E1,1.441886134E0
8.626428008E1,5.193581129E1,4.476241890E0,2.332504712E0,0.000000000E0,NaN,3.616286165E1,1.442486225E0
8.726425719E1,5.193581129E1,4.476241890E0,2.332504712E0,0.000000000E0,NaN,3.759337572E1,1.416067389E0
8.826423466E1,5.193580958E1,4.476282910E0,2.337172312E0,3.832943279E-1,NaN,3.830446628E1,1.415790844E0
8.926421177E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,3.832279328E1,1.389858466E0
9.026419032E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,4.019428473E1,1.442175609E0
9.126416671E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,3.280442158E1,1.415899070E0
9.226414382E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,2.404724235E1,1.349174131E0
9.326412177E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,2.155682579E1,1.362263113E0
9.426409936E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,2.082218701E1,1.314721369E0
9.526407611E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,2.021262474E1,1.318375285E0
9.626405370E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.969262201E1,1.305570409E0
9.726403022E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.845142412E1,1.274582925E0
9.826400781E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.796491255E1,1.290625039E0
9.926398611E1,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.762700332E1,1.264951540E0
1.002639629E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.735167297E1,1.283432637E0
1.012639403E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.734812244E1,1.281437487E0
1.022660383E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.713974729E1,1.258555235E0
1.032660472E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.651258390E1,1.286044066E0
1.042660328E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.606816155E1,1.276058037E0
1.052660482E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.581385969E1,1.283152038E0
1.062660564E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.558549035E1,1.303994096E0
1.072660413E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.539530995E1,1.279689191E0
1.082660546E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.527147005E1,1.300784406E0
1.092660717E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.508831422E1,1.299584398E0
1.102660575E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.500100898E1,1.276183972E0
1.112660723E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.487401448E1,1.275066354E0
1.122660878E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.418271721E1,1.273163952E0
1.132660730E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.406932083E1,1.271881382E0
1.142660832E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.393667893E1,1.270450395E0
1.152660965E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.385223288E1,1.269158071E0
1.162660798E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.381757008E1,1.289947664E0
1.172660614E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.346698510E1,1.288856562E0
1.182660443E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.336675308E1,1.288002397E0
1.192660264E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.328928391E1,1.287095879E0
1.202660074E2,5.193580944E1,4.476284002E0,2.337231745E0,0.000000000E0,NaN,1.324091593E1,1.285989543E0
1.212659888E2,5.193579569E1,4.476292678E0,2.336135260E0,8.797997373E-3,NaN,1.322660124E1,1.284905630E0
1.222659702E2,5.193579508E1,4.476296771E0,2.334600463E0,0.000000000E0,NaN,1.332897022E1,1.316525786E0
1.232659509E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.368487474E1,1.323978240E0
1.242659318E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.434543684E1,1.377224711E0
1.252659110E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.546416028E1,1.400051984E0
1.262658917E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.674148808E1,1.416733016E0
1.272658724E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.432829962E1,1.382245351E0
1.282658521E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.392770586E1,1.330330830E0
1.292658329E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.380413495E1,1.329417905E0
1.302658117E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.398018705E1,1.344141595E0
1.312657921E2,5.193579635E1,4.476291585E0,2.332186130E0,0.000000000E0,NaN,1.368756576E1,1.296991541E0
1.322657714E2,5.193580008E1,4.476280191E0,2.334048158E0,4.399840282E-3,NaN,1.386654629E1,1.295161634E0
1.332657506E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.420129242E1,1.319567055E0
1.342657298E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.471936353E1,1.344753233E0
1.352657089E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.526088145E1,1.392871623E0
1.362656888E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.601728788E1,1.384650155E0
1.372656668E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.644802386E1,1.397394845E0
1.382656460E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.752131731E1,1.432387149E0
1.392656254E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.796199073E1,1.437529798E0
1.402656040E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.514647818E1,1.396208916E0
1.412655821E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.420935420E1,1.364572556E0
1.422655621E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.397603976E1,1.340944443E0
1.432655400E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.383581351E1,1.323672516E0
1.442655183E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.378551597E1,1.311187576E0
1.452654976E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.373828191E1,1.280647593E0
1.462654756E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.379000072E1,1.274540970E0
1.472654543E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.382125114E1,1.291555599E0
1.482654328E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.378572497E1,1.266257193E0
1.492654110E2,5.193580009E1,4.476280219E0,2.334239273E0,0.000000000E0,NaN,1.385149923E1,1.263934985E0
