"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717505076563964E9,"2024-06-04 14:44:36.564 UTC+02:00"
"PAUSE",2.316704767500050E2,1.717505308230553E9,"2024-06-04 14:48:28.231 UTC+02:00"
