"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718359428306210E9,"2024-06-14 12:03:48.306 UTC+02:00"
"PAUSE",1.383698920833413E2,1.718359566675196E9,"2024-06-14 12:06:06.675 UTC+02:00"
