"event","experiment time","system time","system time text"
"START",0.000000000E0,1718107320.879,"2024-06-11 14:02:00.879 UTC+02:00"
"PAUSE",8.805064752E1,1718107408.930,"2024-06-11 14:03:28.930 UTC+02:00"
