"event","experiment time","system time","system time text"
"START",0.000000000E0,1717598121.852,"2024-06-05 16:35:21.852 UTC+02:00"
"PAUSE",2.899017256E2,1717598411.754,"2024-06-05 16:40:11.754 UTC+02:00"
