"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-4.417449474E0,6.709774017E0,6.514459848E-1
0.000000000E0,-4.759922504E0,6.406782627E0,6.931408882E0
1.463407300E-2,-5.652146339E0,4.831707001E0,6.875177860E0
5.505688600E-2,-3.783650875E0,6.051149368E0,4.783850670E0
9.554532300E-2,-3.681955814E0,6.562615395E0,6.264110565E0
1.360338130E-1,-3.304488182E0,6.179165363E0,7.969893932E0
2.220466780E-1,-3.546462297E0,5.518147945E0,6.754639149E0
2.625296460E-1,-3.236890793E0,5.833701611E0,6.476772785E0
3.029683960E-1,-3.468097210E0,5.826523304E0,7.181757927E0
3.434430320E-1,-4.647758961E0,4.721637249E0,6.958328247E0
3.839867820E-1,-1.444965720E0,3.887439489E0,7.457231998E0
4.244752710E-1,4.666004330E-2,2.325524569E0,1.058704376E1
4.649637090E-1,7.522436380E-1,1.328016520E-1,1.133360481E1
5.054521980E-1,5.540281773E0,3.897309899E-1,1.392024612E1
5.459263130E-1,5.294120312E0,4.953143001E-1,1.128335476E1
5.863924590E-1,5.465207100E0,2.042872429E0,5.161019325E0
6.269006360E-1,1.441974759E0,1.867298961E0,9.620942116E0
6.674028750E-1,1.942074656E0,2.185843468E0,1.018744278E1
7.078653750E-1,2.114656925E0,2.914158821E0,7.944170952E0
7.483363130E-1,9.690931439E-1,2.470888376E0,7.133303165E0
7.888503750E-1,1.739881158E0,2.586641312E0,8.861519814E0
8.293304280E-1,2.558525562E0,3.207578659E0,8.917152405E0
8.698186570E-1,2.614757061E0,2.822035313E0,9.750752449E0
9.103608960E-1,2.343470573E0,2.688336134E0,9.255737305E0
9.507919380E-1,2.344667196E0,2.547757864E0,9.680164337E0
9.912802190E-1,2.081157446E0,2.367997169E0,1.003400230E1
1.031768500E0,2.280659199E0,2.900998354E0,9.932906151E0
1.072255844E0,4.322035789E0,2.754138947E0,1.007079220E1
1.112744125E0,2.988336325E0,3.066103220E0,1.017547798E1
1.153246209E0,1.936690807E0,3.239881754E0,8.462217331E0
1.193709646E0,1.776371717E0,4.291527271E0,5.362315655E0
1.234256521E0,3.008675337E0,4.284946918E0,6.879364967E0
1.274739907E0,4.609473705E0,4.249054909E0,9.396913528E0
1.315236157E0,4.562813759E0,4.261617184E0,1.092114162E1
1.355699438E0,3.789034605E0,4.191029072E0,1.018146038E1
1.396187615E0,4.031008720E0,4.210769653E0,9.050253868E0
1.436676573E0,4.185645103E0,4.222733974E0,8.479565620E0
1.477165480E0,3.983750582E0,4.477270126E0,7.492526054E0
1.517632198E0,3.696312666E0,4.513761044E0,7.681259632E0
1.558126157E0,4.035196304E0,4.666303158E0,7.122535706E0
1.598617563E0,3.889234066E0,4.810770035E0,7.103393078E0
1.639097823E0,3.929912090E0,5.079065323E0,6.454041004E0
1.679578553E0,4.515555382E0,5.131707191E0,7.321139812E0
1.720115688E0,4.254438877E0,5.097011566E0,6.296712875E0
1.760586000E0,4.369892120E0,4.808975220E0,8.240582466E0
1.801066834E0,4.389633179E0,4.868795872E0,8.087740898E0
1.841589646E0,3.705883980E0,4.947759151E0,8.078767776E0
1.882051053E0,3.358027458E0,5.365904808E0,8.027919769E0
1.922514386E0,2.166102648E0,5.165804863E0,7.551748276E0
1.962993396E0,4.587339878E0,6.180960178E0,7.013961315E0
2.003481625E0,4.491627216E0,5.637789249E0,7.690232754E0
2.043969803E0,3.009273529E0,5.004289627E0,6.794120789E0
2.084458032E0,3.669393539E0,5.211866856E0,7.012166977E0
2.124955063E0,5.009075165E0,5.446064472E0,7.760222912E0
2.165460948E0,4.605884552E0,5.354538918E0,6.693024158E0
2.205979490E0,4.262215137E0,5.618646622E0,5.913861275E0
2.246457615E0,4.516751766E0,5.910272121E0,5.383851051E0
2.286923500E0,4.759324074E0,5.786443233E0,5.794818401E0
2.327426053E0,4.078267097E0,5.410770416E0,5.294718266E0
2.367926469E0,3.892823458E0,5.074279308E0,5.968297958E0
2.408428240E0,3.733999729E0,4.591527462E0,7.495516777E0
2.448889959E0,4.857429981E0,4.952245712E0,7.352246761E0
2.489344959E0,3.366402388E0,4.706083775E0,5.718546867E0
2.529833396E0,5.202893734E0,5.995217323E0,5.060520649E0
2.570321782E0,3.792025566E0,4.216153622E0,6.801299095E0
2.610810167E0,4.417449474E0,4.688137531E0,8.130811691E0
2.651298553E0,3.885644913E0,3.908376694E0,7.769794464E0
2.691795115E0,5.453242779E0,4.701896667E0,1.054905796E1
2.732338761E0,2.534896374E0,3.667000771E0,8.378767967E0
2.772847980E0,4.301696777E0,4.502993107E0,7.003193855E0
2.813338917E0,5.135894775E0,4.118346691E0,9.382556915E0
2.853828500E0,2.814856768E0,2.621935368E0,8.488538742E0
2.894314125E0,4.905884743E0,3.468695641E0,8.271090508E0
2.934745844E0,4.437788486E0,2.668595552E0,7.826623917E0
2.975206365E0,4.260420799E0,2.392523527E0,8.335098267E0
3.015695740E0,4.438984871E0,2.270190477E0,6.431309223E0
3.056196469E0,4.880760193E0,2.102692842E0,7.306184769E0
3.096691469E0,3.946063757E0,9.373882413E-1,9.169296265E0
3.137179125E0,6.320042610E0,1.788335800E0,8.465806961E0
3.177681521E0,6.776772976E0,1.949851394E0,6.776772976E0
3.218186469E0,4.535894394E0,6.346961856E-1,8.731110573E0
3.258670584E0,1.211665511E0,-4.857429862E-1,9.809675217E0
3.299174490E0,6.514459848E-1,4.067798555E-1,1.053649521E1
3.339616625E0,-1.818246126E0,5.300102234E-1,1.352034569E1
3.380127875E0,1.785943031E0,2.149353027E0,1.058524895E1
3.420662303E0,-9.059824944E-1,8.138588071E-1,1.139432240E1
3.461150375E0,1.289432287E0,1.145563841E0,1.062772179E1
3.501615219E0,3.327219963E0,8.892326951E-1,1.098036385E1
3.542110219E0,3.783650696E-1,-1.295414329E0,1.182174015E1
3.582575011E0,-1.935494423E0,-9.661021233E-1,6.748058796E0
3.623063084E0,-5.306084156E-1,2.415255308E0,1.250818157E1
3.663551157E0,-1.136590764E-1,3.623929977E0,8.408080101E0
3.704064594E0,-6.030212402E0,-1.794916034E0,4.530510426E0
3.744571521E0,-4.825126648E0,-2.252244234E0,9.975378036E0
3.785061573E0,-5.908477306E0,-1.950449586E0,7.536194801E0
3.825547250E0,-3.224328518E0,-2.269592285E0,7.351050377E0
3.866026625E0,-9.930513382E0,-4.793421745E0,7.615158081E0
