Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
2.520536083,-1.181754589,3.465373993,-0.008275494911,2024-06-04 16:48:45.520536
2.560279083,-2.132245064,0.4353684783,1.75381577,2024-06-04 16:48:45.560279
2.600021083,-1.320944905,1.435717225,0.3339261413,2024-06-04 16:48:45.600021
2.639764083,1.0492239,-1.883049607,3.540094137,2024-06-04 16:48:45.639764
2.679506083,-0.3004930019,-2.09479475,4.681267262,2024-06-04 16:48:45.679506
2.719249083,-0.09195767343,-3.220404625,-0.08505772054,2024-06-04 16:48:45.719249
2.758991083,-0.4780609012,-1.313324213,1.015771389,2024-06-04 16:48:45.758991
2.798734083,0.5730739236,-2.119200706,2.249813795,2024-06-04 16:48:45.798734
2.838476083,-0.7055385113,-1.045632124,1.248488903,2024-06-04 16:48:45.838476
2.878219083,0.5618800521,-1.737747192,-0.3024444282,2024-06-04 16:48:45.878219
2.917961083,0.5358652472,0.1066237688,-0.7598587275,2024-06-04 16:48:45.917961
2.957704083,0.1576167643,0.499460578,0.2440541834,2024-06-04 16:48:45.957704
2.997446083,-1.009313822,0.01569004357,1.192378283,2024-06-04 16:48:45.997446
3.037188083,-0.1393659264,0.5758678913,0.3963482678,2024-06-04 16:48:46.037188
3.076931083,-0.949790597,2.25238657,-1.228721738,2024-06-04 16:48:46.076931
3.116673083,-2.850387096,1.410719752,-2.179675341,2024-06-04 16:48:46.116673
3.156415958,-1.001136065,2.462569714,-3.67767477,2024-06-04 16:48:46.156416
3.196157958,1.128195882,3.811454058,-1.687332153,2024-06-04 16:48:46.196158
3.235900958,-0.2873716652,0.3491421938,-0.08022458106,2024-06-04 16:48:46.235901
3.275642958,1.099175215,-1.346283555,-0.6428957582,2024-06-04 16:48:46.275643
3.315385958,-0.126205653,-1.858525038,-1.785420775,2024-06-04 16:48:46.315386
3.355127958,-2.359330893,-3.604824066,-2.632474422,2024-06-04 16:48:46.355128
3.394870958,0.5496708155,-0.9545186758,-1.242367864,2024-06-04 16:48:46.394871
3.434612958,-0.09286236018,-0.05201856419,-0.2240550667,2024-06-04 16:48:46.434613
3.474355958,0.1706718355,-1.118933082,-0.1978060007,2024-06-04 16:48:46.474356
3.514097958,0.05771944299,0.7286153436,-0.2397117019,2024-06-04 16:48:46.514098
3.553840958,-1.004734874,3.319602251,-1.90545845,2024-06-04 16:48:46.553841
3.593582958,1.14973104,5.528208256,-0.4659492373,2024-06-04 16:48:46.593583
3.633325958,-0.7083896995,1.698778749,1.360233903,2024-06-04 16:48:46.633326
3.673067958,-0.2207198739,-1.320206165,-0.6338800788,2024-06-04 16:48:46.673068
3.712810958,0.8152137995,0.5533343554,-3.017018318,2024-06-04 16:48:46.712811
3.752552958,0.1237647906,1.640196919,-0.9340801835,2024-06-04 16:48:46.752553
3.792295958,-1.555755615,-3.196899414,1.659932017,2024-06-04 16:48:46.792296
3.832037958,-0.6646912098,-2.557899952,-1.309099317,2024-06-04 16:48:46.832038
3.871780958,0.7358084917,-1.349483252,-0.3610147238,2024-06-04 16:48:46.871781
3.911522958,-1.552048206,-5.629431725,-0.9039740562,2024-06-04 16:48:46.911523
3.951265958,0.6482717395,1.513507009,-1.610709906,2024-06-04 16:48:46.951266
3.991007958,0.81052351,1.382538199,-2.257985353,2024-06-04 16:48:46.991008
4.030750958,-0.2952766418,-1.555347562,-4.791110992,2024-06-04 16:48:47.030751
4.070492958,0.3705855012,0.7545930743,-4.790695667,2024-06-04 16:48:47.070493
4.110235958,3.411699772,0.1236423478,-0.03845587373,2024-06-04 16:48:47.110236
4.149978083,2.444126606,-2.741496325,-0.1347921044,2024-06-04 16:48:47.149978
4.189721083,3.552577496,-8.080485344,-1.458374262,2024-06-04 16:48:47.189721
4.229463083,2.12639761,-4.467751503,-1.86805892,2024-06-04 16:48:47.229463
4.269206083,-1.424440742,4.834314346,0.3856281936,2024-06-04 16:48:47.269206
4.308948083,-0.09132672101,1.746494174,-0.1780746281,2024-06-04 16:48:47.308948
4.348691083,1.923247576,0.8219312429,-0.4137483239,2024-06-04 16:48:47.348691
4.388433083,1.128932118,0.1288597137,-0.2093766332,2024-06-04 16:48:47.388433
4.428176083,0.4267579615,1.13378191,-0.05856299028,2024-06-04 16:48:47.428176
4.467918083,1.165897489,0.38369295,0.0003822045401,2024-06-04 16:48:47.467918
4.507661083,1.795419574,0.02583913691,0.1395611763,2024-06-04 16:48:47.507661
4.547404083,1.609300017,0.6353953481,0.1690251827,2024-06-04 16:48:47.547404
4.587146083,1.558254838,1.709062815,0.08802911639,2024-06-04 16:48:47.587146
4.626889083,1.82186079,1.074728608,0.3390755951,2024-06-04 16:48:47.626889
4.666631083,2.172887564,0.6023635864,0.2507036328,2024-06-04 16:48:47.666631
4.706374083,2.022217512,1.820676565,0.3631249368,2024-06-04 16:48:47.706374
4.746116083,2.38183403,1.016617775,0.9743183851,2024-06-04 16:48:47.746116
4.785859083,2.883298635,0.704515934,0.9776362777,2024-06-04 16:48:47.785859
4.825601083,3.394000292,0.9164254665,0.7614597678,2024-06-04 16:48:47.825601
4.865344083,2.24911356,1.3057338,0.3018960357,2024-06-04 16:48:47.865344
4.905086083,1.565253377,1.001375556,-0.003617475275,2024-06-04 16:48:47.905086
4.944829083,1.129755974,0.3458413482,-0.462749362,2024-06-04 16:48:47.944829
4.984571083,0.2305927277,0.0879670307,-0.6067897081,2024-06-04 16:48:47.984571
5.024314083,-0.9865725636,0.564774394,0.04016634077,2024-06-04 16:48:48.024314
5.064057083,-0.491663754,0.7429766059,0.0408202894,2024-06-04 16:48:48.064057
5.103799083,-0.4154467285,0.3494366109,0.8761658072,2024-06-04 16:48:48.103799
5.143542083,0.2987371683,-0.06245142594,0.5919041634,2024-06-04 16:48:48.143542
5.183284208,-0.08642090857,0.378983885,0.1970489621,2024-06-04 16:48:48.183284
5.223027208,-0.08031188697,0.5550889373,0.06615554541,2024-06-04 16:48:48.223027
5.262769208,0.01461249031,0.3328613639,-0.3409326375,2024-06-04 16:48:48.262769
5.302512208,0.01743598096,0.174441576,-0.5071801543,2024-06-04 16:48:48.302512
5.342254208,0.08073826134,0.1841653436,-0.4142804146,2024-06-04 16:48:48.342254
5.381997208,0.05708699673,0.116644375,-0.2839516103,2024-06-04 16:48:48.381997
5.421740208,-0.1714854687,0.1827370226,-0.06514529139,2024-06-04 16:48:48.421740
5.461482208,-0.5285027027,0.1759206057,0.2372276634,2024-06-04 16:48:48.461482
5.501225208,-0.6422737837,0.0422160551,0.437846452,2024-06-04 16:48:48.501225
5.540967208,-0.6656650901,-0.01765904948,0.4581916928,2024-06-04 16:48:48.540967
5.580710208,-0.8717814684,-0.001344459597,0.1980272084,2024-06-04 16:48:48.580710
5.620452208,-0.842348516,0.1891494691,-0.118411392,2024-06-04 16:48:48.620452
5.660195208,-1.004971027,0.3792959154,-0.3589477837,2024-06-04 16:48:48.660195
5.699937208,-0.9026832581,0.2832499743,-0.5202055573,2024-06-04 16:48:48.699937
5.739680208,-0.9335085154,0.3957599103,-0.6805609465,2024-06-04 16:48:48.739680
5.779422208,-1.063582897,0.5888886452,-0.8859525919,2024-06-04 16:48:48.779422
5.819165208,-1.237845302,0.7227131724,-0.8838347197,2024-06-04 16:48:48.819165
5.858908208,-1.204416275,0.5677338243,-1.061813354,2024-06-04 16:48:48.858908
5.898650208,-1.469039083,0.6830478311,-1.114557505,2024-06-04 16:48:48.898650
5.938393208,-1.330611467,0.3129501343,-1.288777709,2024-06-04 16:48:48.938393
5.978135208,-1.317081928,0.4013435543,-1.128993273,2024-06-04 16:48:48.978135
6.017878208,-1.313109398,-0.003842495382,-0.9423395991,2024-06-04 16:48:49.017878
