"event","experiment time","system time","system time text"
"START",0.000000000E0,1717510547.421,"2024-06-04 16:15:47.421 UTC+02:00"
"PAUSE",1.005281427E2,1717510647.949,"2024-06-04 16:17:27.949 UTC+02:00"
