"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717508771289621E9,"2024-06-04 15:46:11.290 UTC+02:00"
"PAUSE",1.350142678749980E2,1.717508906301574E9,"2024-06-04 15:48:26.302 UTC+02:00"
