Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
0.127108285,0.0,0.0,0.0,2024-06-11 14:01:25.127108
0.167424743,-0.8545575142,-0.3815393448,-1.234248161,2024-06-11 14:01:25.167425
0.207921514,-0.006779074669,-1.057580233,0.9816141129,2024-06-11 14:01:25.207922
0.24843266,2.651750088,0.07972979546,1.755112648,2024-06-11 14:01:25.248433
0.288874171,2.69263649,-1.917767763,2.000318527,2024-06-11 14:01:25.288874
0.329368858,-1.028110981,-3.519547939,4.105707169,2024-06-11 14:01:25.329369
0.369489171,2.430254698,0.1258864403,-2.305008888,2024-06-11 14:01:25.369489
0.410357087,0.1046589315,-2.398558617,-3.014338493,2024-06-11 14:01:25.410357
0.450836254,1.03591466,-0.9318990707,-2.107751846,2024-06-11 14:01:25.450836
0.491287608,1.798662782,-0.4547502995,-3.891568184,2024-06-11 14:01:25.491288
0.531835473,-0.4897497296,-1.832243204,-7.489442825,2024-06-11 14:01:25.531835
0.572278337,2.363687515,-0.8907277584,-4.267316341,2024-06-11 14:01:25.572278
0.612755889,-0.4148928523,-4.453800201,-6.154295921,2024-06-11 14:01:25.612756
0.653111671,3.673396587,-4.061228752,-5.266823769,2024-06-11 14:01:25.653112
0.693541046,-2.119185686,-6.706615925,-7.774242401,2024-06-11 14:01:25.693541
0.73399365,-1.192260385,-6.686403275,-2.900537014,2024-06-11 14:01:25.733994
0.774484691,-4.021308422,-7.905930042,10.05737686,2024-06-11 14:01:25.774485
0.814957087,-1.219333887,-2.547363758,11.68606949,2024-06-11 14:01:25.814957
0.854977712,-6.457015991,-0.5416097641,12.94990921,2024-06-11 14:01:25.854978
0.895960993,-4.129612923,1.098428249,15.6568861,2024-06-11 14:01:25.895961
0.936438754,0.1496419907,4.855806351,14.49766541,2024-06-11 14:01:25.936439
0.976908546,0.8231697083,4.877938747,8.037084579,2024-06-11 14:01:25.976909
1.017402712,8.945932388,6.140908241,4.098452091,2024-06-11 14:01:26.017403
1.057873025,3.729890823,1.625347614,-0.04862260818,2024-06-11 14:01:26.057873
1.098304952,1.371622562,-0.08729839325,-1.985041618,2024-06-11 14:01:26.098305
1.13881766,0.8968834877,-0.830956459,0.02431201935,2024-06-11 14:01:26.138818
1.179306931,2.4843297,-0.5531549454,-2.789660454,2024-06-11 14:01:26.179307
1.219775004,2.3766675,-0.9705815315,0.7434501648,2024-06-11 14:01:26.219775
1.260293546,-0.8973369598,0.3483548164,1.796229839,2024-06-11 14:01:26.260294
1.300820889,0.7569231987,2.119432926,2.145425558,2024-06-11 14:01:26.300821
1.341255421,0.6335482597,2.195762634,0.9089310169,2024-06-11 14:01:26.341255
1.381722868,5.878650665,3.259893417,-0.1173577309,2024-06-11 14:01:26.381723
1.422272868,0.3948950768,-3.598875046,-3.180029392,2024-06-11 14:01:26.422273
1.462570473,-2.995257854,-7.481799126,-3.265706539,2024-06-11 14:01:26.462570
1.503207868,1.919571877,-2.196446419,4.038285255,2024-06-11 14:01:26.503208
1.543692921,1.04436636,-0.8327383995,0.6498105526,2024-06-11 14:01:26.543693
