"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.026909125E0,-3.877076507E-1,-5.061784983E-1,-3.668960631E-1
3.066639125E0,-2.044160217E-1,1.304224581E-1,-1.413904727E-1
3.106370125E0,-5.559105277E-1,8.677953482E-2,-3.197012842E-1
3.146100125E0,-4.492826760E-1,-4.498738945E-1,-5.126622319E-1
3.185831125E0,-3.031083047E-1,-5.798921585E-1,-3.989159763E-1
3.225561125E0,-4.501827657E-1,-6.033351421E-1,-7.520396709E-1
3.265292125E0,-6.483879685E-1,-5.724565983E-1,-1.025223613E0
3.305022125E0,-3.404064775E-1,-8.254664540E-1,-9.222758412E-1
3.344753125E0,-3.556544483E-1,-1.374530911E0,-7.654064894E-1
3.384484125E0,-2.514271438E-1,-1.385245800E0,-2.664137483E-1
3.424214125E0,5.502499640E-2,-1.181059599E0,3.896564841E-1
3.463945125E0,-3.737218082E-1,-9.835494161E-1,1.059231877E0
3.503675125E0,-8.545140028E-1,2.992216349E-1,1.000073671E0
3.543406125E0,-1.114373326E0,5.901573300E-1,7.684977651E-1
3.583136000E0,-1.078790665E0,1.213410139E0,9.838032722E-1
3.622867000E0,1.893219203E-1,1.478077173E0,8.093336821E-1
3.662597000E0,4.273277819E-1,-4.546715021E-1,1.684630156E0
3.702328000E0,2.538407445E-1,-2.854163051E-1,1.614368558E0
3.742058000E0,3.357284665E-1,5.159925818E-1,1.245547414E0
3.781789000E0,6.577085257E-1,5.375012755E-1,1.159222126E0
3.821519000E0,1.018456459E0,8.635428548E-2,1.201550245E0
3.861250000E0,1.125274897E0,9.782564640E-2,8.507566452E-1
3.900980000E0,1.113620281E0,-1.308934838E-1,8.688456416E-1
3.940711000E0,1.048258543E0,6.865172647E-3,6.464312077E-1
3.980441000E0,1.253519416E0,8.795097470E-1,2.950953245E-1
4.020172000E0,1.333911896E0,3.260595798E-1,3.064748272E-2
4.059902000E0,1.026243687E0,-6.978753805E-1,-1.124611348E-1
4.099633000E0,9.387432337E-1,-1.328849316E0,6.385067701E-1
4.139363000E0,-1.243178368E0,-1.260625243E0,-2.668531239E-1
4.179094000E0,-7.605877519E-1,-9.617871642E-1,5.451867580E-1
4.218824000E0,-5.690749884E-1,-1.337934852E0,7.411082387E-1
4.258555000E0,-9.139109254E-1,-3.793687522E-1,9.200655818E-1
4.298285000E0,-1.217443347E0,-2.356200069E-1,9.937511683E-1
4.338016000E0,-1.230720520E0,1.713083386E-1,1.167371750E0
4.377746000E0,-8.608430624E-1,3.637855947E-1,1.412662268E0
4.417477000E0,-5.097835660E-1,3.432117701E-1,9.646549821E-1
4.457207000E0,4.491615593E-1,-1.346827894E-1,3.349372447E-1
4.496938000E0,1.655935645E-1,-1.112877280E-1,-8.945117146E-2
4.536668000E0,1.736131161E-1,-2.798381448E-1,-2.227060050E-1
4.576399375E0,1.821573228E-1,-1.301530153E-1,1.092342585E-1
4.616129375E0,7.845909894E-2,1.000784524E-2,1.512875687E-2
4.655860375E0,-2.026788145E-1,3.648150265E-1,-2.958012521E-1
4.695590375E0,-1.531991642E-2,-1.803120077E-1,-2.100659758E-1
4.735321375E0,-6.133557856E-2,4.499819502E-2,-5.309249088E-2
4.775051375E0,-9.024259448E-2,2.635201514E-1,-1.480954438E-1
4.814782375E0,-5.271656513E-1,5.738450289E-1,-1.908167601E-1
4.854512375E0,-3.888672888E-1,9.976470470E-1,1.135902666E-2
4.894243375E0,-8.804753423E-1,1.731601596E0,6.506946683E-2
4.933973375E0,3.189836740E-1,1.911391258E0,-6.640154719E-1
4.973704375E0,4.076370895E-1,1.677353382E0,-2.113858461E-1
5.013434375E0,8.144851327E-1,1.995480061E0,-1.609403193E-1
5.053165375E0,1.545539260E0,1.455146909E0,-1.214056164E-1
5.092895375E0,-2.361927629E-1,-5.015327334E-1,1.302780658E-1
