"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.013434375E0,-8.273897171E0,3.819961929E1,2.543425751E1
5.053165375E0,-1.114773178E1,3.918698120E1,2.237790680E1
5.092895375E0,-1.149666214E1,3.995431137E1,2.093258667E1
5.132626375E0,-1.130814362E1,4.018919754E1,2.077627563E1
5.172356375E0,-1.106540108E1,4.029329300E1,2.071300507E1
5.212086375E0,-1.104864120E1,4.020530701E1,2.090526581E1
5.251817375E0,-1.165045166E1,4.050899887E1,2.032791138E1
5.291547375E0,-1.199218178E1,4.062269974E1,1.974452209E1
5.331278375E0,-1.185557747E1,4.040369034E1,1.986268616E1
5.371008375E0,-1.182301521E1,4.049922943E1,1.969808960E1
5.410739375E0,-1.260320473E1,4.082796860E1,1.869692993E1
5.450469375E0,-1.297465897E1,4.168351746E1,1.672402954E1
5.490200375E0,-1.250330734E1,4.247396851E1,1.491459656E1
5.529930375E0,-1.207848358E1,4.306502533E1,1.353825378E1
5.569661375E0,-1.211567879E1,4.351558685E1,1.224414062E1
5.609390625E0,-1.220615959E1,4.351433563E1,1.214387512E1
5.649121625E0,-1.201265526E1,4.382152939E1,1.129338074E1
5.688851625E0,-1.223778152E1,4.376314545E1,1.149935913E1
5.728581625E0,-1.210996437E1,4.373466492E1,1.116882324E1
5.768312625E0,-1.184427261E1,4.388945007E1,1.079058838E1
5.808042625E0,-1.158123207E1,4.396134949E1,1.085075378E1
5.847773625E0,-1.143803024E1,4.381417465E1,1.102891541E1
5.887503625E0,-1.131811714E1,4.407344818E1,1.098019409E1
5.927234625E0,-1.103246880E1,4.394311142E1,1.144990540E1
5.966964625E0,-1.082604408E1,4.383603668E1,1.200257874E1
6.006695625E0,-1.051981163E1,4.367088699E1,1.317691040E1
6.046425625E0,-9.854751587E0,4.215357590E1,1.751596069E1
6.086156625E0,-1.024070549E1,4.228296661E1,1.688217163E1
6.125886625E0,-9.563346863E0,4.223518372E1,1.752656555E1
6.165617625E0,-9.603015900E0,4.233473969E1,1.770202637E1
6.205347625E0,-9.187721252E0,4.214899445E1,1.756355286E1
6.245077625E0,-9.098526001E0,4.232735443E1,1.746762085E1
6.284808625E0,-8.900184631E0,4.231166840E1,1.758265686E1
6.324538625E0,-8.858446121E0,4.227663422E1,1.760305786E1
6.364269625E0,-8.725036621E0,4.258030319E1,1.708711243E1
6.403999625E0,-8.660749435E0,4.243065643E1,1.727030945E1
6.443730625E0,-8.516649246E0,4.255120468E1,1.723776245E1
6.483460625E0,-8.490737915E0,4.242065430E1,1.733642578E1
6.523191625E0,-8.505115509E0,4.266656113E1,1.711746216E1
6.562921625E0,-8.694034576E0,4.289403534E1,1.601461792E1
6.602653125E0,-8.682439804E0,4.309189606E1,1.574584961E1
6.642383125E0,-8.855440140E0,4.314828491E1,1.573300171E1
6.682113125E0,-9.069461823E0,4.343812180E1,1.525996399E1
6.721844125E0,-9.931016922E0,4.336252213E1,1.480235291E1
6.761574125E0,-9.856584549E0,4.362667084E1,1.448698425E1
6.801305125E0,-8.862638474E0,4.399386597E1,1.390592957E1
6.841035125E0,-7.298175812E0,4.468230057E1,1.342672729E1
6.880766125E0,-5.690612793E0,4.469140625E1,1.307769775E1
6.920496125E0,-3.952152252E0,4.493876266E1,1.352587891E1
6.960226125E0,-2.799430847E0,4.485551453E1,1.421174622E1
6.999957125E0,-1.946193695E0,4.489226913E1,1.444920349E1
7.039687125E0,-1.899753571E0,4.552402878E1,1.223614502E1
7.079418125E0,-3.896152496E0,4.637007141E1,8.248489380E0
7.119148125E0,-6.199369431E0,4.688947296E1,3.267578125E0
7.158879125E0,-7.684152603E0,4.701463699E1,-1.938262939E0
7.198609125E0,-8.664136887E0,4.680606842E1,-6.047134399E0
7.238339125E0,-1.009706688E1,4.584217834E1,-8.984985352E0
7.278070125E0,-1.119582748E1,4.478366470E1,-1.236096191E1
7.317800125E0,-1.330725288E1,4.211374664E1,-1.895994568E1
7.357531125E0,-1.600359535E1,3.748344803E1,-2.551211548E1
7.397261125E0,-1.841330910E1,3.248757935E1,-3.072991943E1
7.436992125E0,-2.056528473E1,2.686142731E1,-3.432740784E1
7.476722125E0,-2.108571434E1,2.338912392E1,-3.635823059E1
7.516452125E0,-1.962879181E1,2.033637238E1,-3.895866394E1
7.556183125E0,-1.964678574E1,1.738872719E1,-4.044354248E1
7.595913500E0,-1.920110703E1,1.405185604E1,-4.194589233E1
7.635644500E0,-1.819734573E1,1.144164467E1,-4.310972595E1
7.675374500E0,-1.748920822E1,1.013572121E1,-4.372511292E1
7.715104500E0,-1.779916382E1,1.085822296E1,-4.357757568E1
7.754835500E0,-1.972818375E1,1.280997849E1,-4.208915710E1
7.794565500E0,-1.904351807E1,1.280535889E1,-4.227621460E1
7.834296500E0,-1.627969933E1,1.182558250E1,-4.380448914E1
7.874026500E0,-1.487832069E1,1.235603905E1,-4.415663147E1
7.913756500E0,-1.465490723E1,1.383469582E1,-4.387239075E1
7.953487500E0,-1.477976799E1,1.473398018E1,-4.333926392E1
7.993217500E0,-1.454019356E1,1.531302071E1,-4.320161438E1
8.032948500E0,-1.356553459E1,1.526691628E1,-4.333578491E1
8.072678500E0,-1.321692085E1,1.672696495E1,-4.306921387E1
8.112408500E0,-1.202460098E1,1.822354889E1,-4.298147583E1
8.152139500E0,-7.504329681E0,2.213577271E1,-4.247515869E1
8.191869500E0,-2.759311676E0,2.546482086E1,-4.098532104E1
8.231600500E0,-8.391418457E-1,2.726560020E1,-4.002769470E1
8.271330500E0,2.615619659E0,2.970128632E1,-3.799287415E1
8.311060500E0,6.437194824E0,3.370505142E1,-3.377545166E1
8.350791500E0,1.012290573E1,3.737229156E1,-2.882632446E1
8.390521500E0,1.190371704E1,3.885080719E1,-2.599163818E1
8.430251500E0,1.307003021E1,3.971911240E1,-2.392793274E1
8.469982500E0,1.414369965E1,4.068669510E1,-2.175886536E1
8.509712500E0,1.597385788E1,4.110368347E1,-1.959323120E1
8.549442500E0,1.639052200E1,4.168257141E1,-1.780827332E1
8.589172792E0,1.611994171E1,4.218874359E1,-1.633132935E1
8.628902792E0,1.714570236E1,4.203069305E1,-1.554750061E1
8.668632792E0,1.891078568E1,4.137219238E1,-1.502227783E1
8.708363792E0,2.072951126E1,4.064557648E1,-1.434098816E1
8.748093792E0,2.390047073E1,3.882575226E1,-1.391595459E1
8.787824792E0,2.605885696E1,3.787709427E1,-1.274067688E1
8.827554792E0,2.766142273E1,3.761452103E1,-9.940765381E0
8.867284792E0,2.846528625E1,3.782101059E1,-6.368545532E0
8.907015792E0,2.888674164E1,3.758092499E1,-5.278289795E0
8.946745792E0,2.941412354E1,3.723878860E1,-4.619598389E0
8.986475792E0,3.039090729E1,3.655472183E1,-2.578475952E0
9.026206792E0,3.166905212E1,3.530035400E1,4.346466064E-1
9.065936792E0,3.312359619E1,3.409664536E1,2.782638550E0
9.105666792E0,3.385644531E1,3.300400162E1,4.570739746E0
9.145397792E0,3.411436462E1,3.216942596E1,7.235641479E0
9.185127792E0,3.406800079E1,3.155893898E1,9.248733521E0
9.224857792E0,3.360647583E1,3.140471649E1,1.146131897E1
9.264588792E0,3.260823822E1,3.225381470E1,1.189375305E1
9.304318792E0,3.181775665E1,3.251785278E1,1.313938904E1
9.344049792E0,3.071389771E1,3.250218964E1,1.585211182E1
9.383779792E0,2.861637878E1,3.304872894E1,1.795751953E1
9.423509792E0,2.545950699E1,3.526449203E1,1.828784180E1
9.463240792E0,2.120208740E1,3.820508194E1,1.717074585E1
9.502970792E0,2.042690659E1,3.882052231E1,1.723605347E1
9.542700792E0,1.969423676E1,3.918589783E1,1.712178040E1
9.582432542E0,1.824428177E1,3.972939301E1,1.743937683E1
9.622162542E0,1.585453415E1,4.018369293E1,1.894657898E1
9.661893542E0,1.294826889E1,4.041036606E1,2.009603882E1
9.701623542E0,1.157154465E1,4.005679321E1,2.141934967E1
9.741353542E0,9.987411499E0,3.946025085E1,2.343856812E1
9.781084542E0,8.802604675E0,3.816036224E1,2.572428894E1
9.820814542E0,8.161701202E0,3.699950409E1,2.736322784E1
9.860544542E0,7.963340759E0,3.641378784E1,2.862512207E1
9.900275542E0,7.192150116E0,3.567151642E1,2.949715424E1
