"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.859188500E0,1.090781708E0,-9.631720734E0,2.192939758E-1
2.899490500E0,1.223555603E0,-9.783954163E0,9.966275024E-1
2.939791500E0,1.778900757E0,-9.734107819E0,4.559518433E-1
2.980093500E0,1.738035736E0,-9.779613190E0,-1.519340515E-1
3.020394500E0,1.218765564E0,-9.463021545E0,-4.550537109E-2
3.060696500E0,1.130449219E0,-9.726024628E0,1.123114471E0
3.100997500E0,6.518943787E-1,-1.011940659E1,1.030157776E0
3.141299500E0,5.737568665E-1,-9.492061157E0,2.466870117E-1
3.181601500E0,4.884342957E-1,-9.964029694E0,7.773335266E-1
3.221902833E0,1.274449768E0,-9.458381195E0,6.489006042E-1
3.262204833E0,1.250499573E0,-9.733209686E0,7.723937988E-2
3.302505833E0,5.264552307E-1,-9.879754944E0,6.189628601E-1
3.342807833E0,9.369017029E-1,-9.656868439E0,-6.152206421E-2
3.383108833E0,6.795867920E-1,-9.792636108E0,6.236032104E-1
3.423410833E0,7.123686218E-1,-9.738299103E0,8.771759033E-2
3.463711833E0,5.866300964E-1,-9.736502838E0,4.465214539E-1
3.504013833E0,3.511697388E-1,-9.819430389E0,4.339476013E-1
3.544315833E0,5.794450378E-1,-9.638606415E0,9.291178894E-1
3.584616833E0,-2.656974792E-1,-9.660460968E0,8.292755127E-1
3.624918833E0,-6.978488159E-1,-9.696535950E0,1.757345581E-1
3.665219833E0,3.914360046E-1,-9.410929871E0,5.611830139E-1
3.705521833E0,1.411564636E0,-9.543554077E0,-2.011816406E-1
3.745822833E0,2.293530579E0,-9.521998901E0,-8.906478882E-2
3.786124833E0,2.229463806E0,-9.861792297E0,3.001258850E-1
3.826426833E0,1.129700775E0,-1.113639175E1,1.980381775E-1
3.866727833E0,2.792742462E0,-1.028900391E1,-9.264234924E-1
3.907029833E0,3.560795288E0,-9.920769653E0,-2.128573608E0
3.947330833E0,3.197201385E0,-9.177864532E0,-3.617976379E-1
3.987632833E0,3.015179901E0,-9.626182251E0,6.810836792E-2
4.027934833E0,2.710713043E0,-1.056981995E1,-8.382568359E-1
4.068235833E0,2.687960358E0,-9.543853455E0,-1.430874481E0
4.108537833E0,3.556154938E0,-9.409882050E0,-8.607101440E-1
4.148838833E0,3.060535583E0,-9.106313324E0,-3.041674805E-1
4.189140833E0,2.731519775E0,-8.597521362E0,-1.534758453E0
4.229442833E0,2.955454102E0,-9.414522400E0,-1.018631744E0
4.269743833E0,4.315825195E0,-7.881260834E0,-2.747087402E0
4.310045833E0,3.621269531E0,-1.019455032E1,-2.101629639E0
4.350346833E0,1.085542603E0,-9.359586639E0,-9.746232605E-1
4.390648833E0,-1.444346466E0,-1.106229584E1,2.800376587E0
4.430950833E0,-1.222657471E0,-1.034573593E1,1.068178711E0
4.471251833E0,-1.384021912E0,-9.381590881E0,-1.357527008E0
4.511553833E0,1.470991058E0,-9.706415405E0,1.736389160E0
4.551855833E0,2.039059753E0,-1.050246002E1,4.285588074E-1
4.592156833E0,8.427474976E-1,-9.585167542E0,9.512718201E-1
4.632458833E0,3.200344849E-1,-9.742041321E0,1.263522491E0
