"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.440599079E2,5.233471616E1,4.865025706E0,1.393872261E0,NaN,NaN,1.429119647E2,1.956455421E1
1.444702020E2,5.233475600E1,4.864990852E0,1.338545322E0,NaN,NaN,3.500000000E1,1.676965904E1
1.504789699E2,5.233470382E1,4.864997359E0,1.286818504E0,NaN,NaN,1.428646328E2,1.956238174E1
1.511017790E2,5.233476472E1,4.864992346E0,1.320894957E0,NaN,NaN,3.500000000E1,1.695715714E1
1.571095760E2,5.233471235E1,4.865002267E0,1.351966858E0,NaN,NaN,1.433830686E2,1.961497688E1
1.576781340E2,5.233475392E1,4.864991759E0,1.332943201E0,NaN,NaN,3.500000000E1,1.693785095E1
1.636872900E2,5.233470402E1,4.865003564E0,1.315608263E0,NaN,NaN,1.434598366E2,1.961023331E1
1.640960040E2,5.233476033E1,4.864994338E0,1.325434923E0,NaN,NaN,3.500000000E1,1.679340935E1
1.687764250E2,5.233476828E1,4.864992634E0,1.333638430E0,NaN,NaN,3.500000000E1,1.879577255E1
1.701049910E2,5.233476695E1,4.864992977E0,1.337821007E0,NaN,NaN,3.905960098E1,1.716853905E1
1.705095060E2,5.233474970E1,4.864988877E0,1.344339132E0,NaN,NaN,3.500000000E1,1.537588596E1
1.765184649E2,5.233473517E1,4.864992411E0,1.351833344E0,NaN,NaN,1.088397610E2,1.916905212E1
1.770094050E2,5.233475550E1,4.864992517E0,1.324473143E0,NaN,NaN,3.500000000E1,1.662475014E1
1.830187650E2,5.233472742E1,4.865000464E0,1.298369646E0,NaN,NaN,1.313214231E2,1.952167130E1
1.834246900E2,5.233473483E1,4.864990749E0,1.282179594E0,NaN,NaN,3.500000000E1,1.674203110E1
1.894339570E2,5.233470401E1,4.865001805E0,1.266993523E0,NaN,NaN,1.390458259E2,1.955482864E1
1.898464210E2,5.233476460E1,4.865025186E0,1.291629076E0,NaN,NaN,3.500000000E1,1.676625443E1
1.958558860E2,5.233472343E1,4.865026900E0,1.314734697E0,NaN,NaN,1.416381897E2,1.956179428E1
1.963253330E2,5.233476876E1,4.865012068E0,1.272754908E0,NaN,NaN,3.500000000E1,1.682126999E1
2.023346959E2,5.233471951E1,4.865011467E0,1.233813524E0,NaN,NaN,1.426349657E2,1.957732201E1
2.027469440E2,5.233476249E1,4.865006201E0,1.297525644E0,NaN,NaN,3.500000000E1,1.677845955E1
