"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.586104542E0,-1.825903015E0,-4.870421906E0,2.286345520E0
3.630814542E0,-4.807702332E0,-3.025059357E0,2.562521210E0
3.670556542E0,-1.741328888E0,-5.924978943E0,2.515818329E0
3.710298542E0,-1.848955078E0,-1.127859604E1,5.403463440E0
3.750040542E0,1.587897949E0,-4.676125946E0,2.612068176E0
3.789781542E0,-4.818330231E0,-8.642427979E0,-1.068537964E1
3.829523542E0,-4.332290955E0,-6.178851013E0,1.278341675E0
3.869265542E0,-2.422412567E0,-5.754782867E0,2.950664062E0
3.909007542E0,-1.740430756E1,-3.971915359E1,2.835448654E1
3.948749542E0,-4.070784760E0,-2.394959656E1,-1.268102966E1
3.988491542E0,-6.268963623E-1,-2.529919006E1,2.228715363E0
4.028233542E0,-4.404291229E0,-1.145418091E1,8.842112732E-1
4.067975542E0,-2.246678009E0,-2.072590027E0,-3.164569244E0
4.107717542E0,1.375639343E-1,-2.503244476E0,-2.750230865E0
4.147459542E0,2.069296875E0,-3.245401154E0,-2.166145477E0
4.187201542E0,1.961371307E0,-7.101232910E-1,6.423143005E-1
4.226942542E0,-3.036585388E0,-5.578748932E0,5.661377106E0
4.266684542E0,-1.718157074E1,-1.098340988E1,1.237820938E1
4.306425958E0,-5.739514618E0,-1.337304062E1,7.462282104E0
4.346167958E0,1.257085876E0,-8.047714691E0,-1.548978882E0
4.385909958E0,-4.010909271E0,-2.357342880E1,2.923465622E1
4.425651958E0,6.058650970E0,-7.813900909E0,6.683900757E0
4.465393958E0,4.749623108E-1,-1.754202118E1,-8.824898529E0
4.505135958E0,-6.237229614E0,-1.520403305E1,4.462220764E-1
4.544877958E0,3.240760803E-1,-6.829248505E0,-6.480024719E-1
4.584619958E0,2.033072205E0,-2.631228333E0,2.392025757E-1
4.624361958E0,-1.006357269E0,-9.180708618E0,8.217910767E-1
4.664103958E0,7.762857056E-1,-7.898475037E0,5.725593567E-1
4.703845958E0,-2.611918488E0,-9.365873566E0,8.056246948E-1
4.743587958E0,-5.538033600E0,-1.290032364E1,1.165775757E0
4.783329958E0,-5.066065063E0,-1.509146713E1,4.531975708E0
4.823071958E0,-3.188369751E0,-1.314611252E1,3.128793640E0
4.862813958E0,-2.519261169E-1,-1.651485718E1,3.733386383E0
4.902555958E0,7.701035614E0,-1.720851471E1,-2.355352020E0
4.942297958E0,1.672921143E0,-1.830857712E1,4.796625366E0
4.982039958E0,-4.528981934E0,-1.190878555E1,-2.773731995E0
5.021781958E0,-1.649270325E0,-5.143903198E0,-3.090323639E0
5.061523958E0,-1.203497314E-1,-2.977009277E0,-3.209176483E0
5.101265958E0,3.259022827E0,5.992039490E-1,-1.563049622E0
5.141007958E0,2.473157043E0,7.523355103E-1,-1.779499512E0
5.180749958E0,-6.721023560E-2,-1.799408112E0,3.744463348E0
5.220491958E0,-1.102053268E1,-2.243399826E1,2.441393097E1
5.260233958E0,-8.175997925E-1,-1.996862503E1,8.578211517E0
5.299976792E0,7.081324310E0,7.895630951E0,6.575226746E0
5.339718792E0,2.165097656E0,-2.625240784E1,1.255723709E1
5.379460792E0,1.816622314E0,-1.820514221E0,2.297721863E-1
5.419202792E0,2.622696075E0,-5.952371979E0,-6.484216003E0
5.458944792E0,-3.478017426E0,-1.530103134E1,1.258882141E-1
5.498686792E0,-2.259251862E0,-1.087099365E1,-1.161734161E0
5.538428792E0,8.720864868E-1,-5.850433960E0,1.172212372E0
5.578170792E0,3.812571716E-1,-8.182434540E0,-1.247954865E0
5.617912792E0,2.448907471E-1,-7.860005035E0,-1.971400452E-1
5.657654792E0,4.972659302E-1,-1.007464966E1,3.640878754E0
5.697396792E0,-5.744604034E0,-1.115854568E1,4.279600525E-1
5.737138792E0,-6.872658234E0,-1.346509918E1,-2.159110107E0
5.776880792E0,-3.472029877E0,-1.461695389E1,5.579796753E0
5.816622792E0,-4.246669006E-1,-1.209035797E1,2.415975952E0
5.856365792E0,2.233505402E0,-1.636591690E1,-3.488495636E0
5.896107792E0,4.507875824E0,-2.138962006E1,6.165528717E0
5.935849792E0,5.041516113E-1,-1.691662170E1,-5.120252380E0
5.975591792E0,-2.635269928E0,-7.506140900E0,-2.330354004E0
6.015333792E0,-1.290466461E0,-2.425855408E0,-4.228556671E0
6.055075792E0,3.375330963E0,1.001267853E0,-3.129691772E0
6.094817792E0,3.680246887E0,2.635718994E0,-1.425485687E0
6.134559792E0,2.414479065E-1,-2.383792877E0,3.167563019E0
6.174301792E0,-1.304956329E1,-2.616109772E1,2.438833420E1
6.214044792E0,1.480122070E0,-1.669119049E1,7.722441101E0
6.253786792E0,4.337380371E0,3.683839417E0,8.938811646E0
6.293528792E0,3.202440491E0,-2.091720245E1,-9.949809265E-1
6.333271542E0,2.895279236E0,-5.562133484E0,4.280049591E0
6.373013542E0,1.019679565E0,-9.449848938E0,-1.284329224E0
6.412755542E0,-2.295925598E0,-1.789663376E1,-1.008901978E-1
6.452497542E0,-4.019291840E0,-1.513742157E1,2.769690399E0
6.492239542E0,3.367547150E0,1.184187469E0,1.675166473E0
6.531982542E0,-3.089575195E-1,-6.541247406E0,-1.231938171E-1
6.571724542E0,-1.372645569E0,-3.360661469E0,-3.427871704E-1
6.611466542E0,-5.284011841E-1,-1.000040405E1,4.977000275E0
6.651208542E0,-2.744991760E0,-1.211879883E1,9.642947388E-1
6.690950542E0,-3.973786469E0,-1.352422623E1,7.526348877E-1
6.730692542E0,-1.752705231E0,-1.401789963E1,2.336191864E0
6.770434542E0,1.663041687E-1,-1.253882538E1,1.077758789E0
6.810177542E0,4.379143524E0,-1.273461823E1,-1.332678680E0
6.849919542E0,7.577841797E0,-2.612143021E1,1.985920258E0
6.889661542E0,-4.072581024E0,-1.671349411E1,3.930825806E-1
6.929403542E0,-1.044228516E0,-3.861519928E0,-3.555556183E0
6.969145542E0,-3.227288818E-1,-8.777746582E-1,-4.237238617E0
7.008887542E0,3.540737000E0,3.857478333E0,-2.554887085E0
7.048629542E0,2.555186462E0,1.234931946E0,-1.848655701E0
7.088372542E0,-2.794688416E-1,-4.664599915E0,5.316793671E0
7.128114542E0,-8.051307220E0,-2.552746536E1,2.047127975E1
7.167856542E0,2.540666656E0,-1.905597290E1,8.167465668E0
7.207598542E0,7.213499451E-1,4.277804260E0,5.233866119E0
7.247340542E0,1.799557800E0,-2.227068787E1,-6.892117767E0
7.287082542E0,3.815565491E-1,-2.286944275E0,1.553020477E0
7.326825667E0,2.286944275E0,-7.709717560E0,2.448907471E-1
7.366567667E0,-1.521885223E0,-1.488774078E1,2.433190155E0
7.406309667E0,-2.789149933E0,-9.597442017E0,-5.748046875E-2
7.446051667E0,-8.666976929E-1,-5.860612793E0,-2.108515320E0
7.485793667E0,5.507048035E-1,-8.406518555E0,3.445834351E-1
7.525535667E0,2.043101349E0,-8.209677887E0,5.188211060E-1
7.565278667E0,-4.821473694E-1,-8.946745148E0,2.886297913E0
7.605020667E0,-4.030967560E0,-1.159324173E1,2.891537018E0
7.644762667E0,-6.261030121E0,-1.447624649E1,1.220262451E0
7.684504667E0,-3.284769287E0,-1.488998611E1,2.208507385E0
7.724246667E0,6.289920044E-1,-1.440903625E1,1.294208679E0
7.763988667E0,3.302432556E0,-1.585233490E1,-3.032693481E0
7.803731667E0,3.990401917E0,-2.256737091E1,5.000052338E0
7.843473667E0,-3.485501862E0,-1.373977798E1,-2.405198364E0
7.883215667E0,-4.873864746E-1,-3.111729126E0,-1.848206635E0
7.922957667E0,1.173709259E0,-2.998265076E-1,-2.258952484E0
7.962699667E0,3.488345947E0,5.415588226E0,-9.848020935E-1
8.002441667E0,1.337468719E0,-3.885919189E-1,-2.233954468E0
8.042184667E0,-1.328786774E0,-4.678820343E0,1.695524139E0
8.081926667E0,-3.844754791E0,-1.652683228E1,2.194227081E1
8.121668667E0,-3.058140564E-1,-3.056329330E1,7.155120850E0
8.161410667E0,6.400989075E0,1.389575363E1,6.187832336E0
8.201152667E0,-5.216352539E0,-1.513951721E1,-3.965104523E0
8.240894667E0,4.446802826E0,-7.975415039E0,1.067280579E-1
8.280637667E0,2.767445068E0,-4.328249359E0,-5.613027649E0
8.320379667E0,-2.161056061E0,-1.923230621E1,-9.249266052E-1
8.360121667E0,-2.941982117E0,-1.184621567E1,2.636617126E0
8.399863667E0,-9.514215088E-1,-3.836521912E0,8.924441528E-1
8.439605667E0,9.071136475E-1,-6.173013153E0,-1.567689972E0
8.479347667E0,1.300794983E0,-8.319100342E0,4.306694183E0
8.519089667E0,-1.723066864E0,-9.279652863E0,1.043031006E0
8.558832667E0,-3.115321655E0,-1.199635345E1,2.250270538E0
8.598574667E0,-5.909261627E0,-1.446367264E1,4.405339050E-1
8.638316667E0,-5.716911621E0,-1.379471375E1,5.572162628E0
8.678058667E0,-1.466949463E0,-1.545476166E1,2.013163605E0
8.717800667E0,7.841593323E0,-1.616129242E1,-5.983207855E0
8.757542667E0,2.634820862E0,-2.190844116E1,5.616620178E0
8.797285667E0,-3.555406494E0,-1.634421204E1,-2.401306458E0
8.837027667E0,-9.665400696E-1,-5.411846008E0,-2.515518951E0
8.876769667E0,-4.402345276E-1,1.081501007E0,-3.600762177E0
8.916511667E0,2.001188507E0,-3.552113342E-1,-1.637744293E0
8.956253667E0,3.468437347E0,2.849773865E0,-2.171234894E0
8.995995667E0,4.159849548E-1,-1.518891449E0,6.628216553E-1
9.035737667E0,-3.901486816E0,-1.239347763E1,1.961431183E1
9.075479667E0,-2.215842133E0,-4.014322174E1,8.295000458E0
9.115222667E0,7.516469421E0,1.871303604E1,7.016958160E0
9.154964667E0,-1.070274353E0,-1.683953201E1,-4.066443787E0
9.194706667E0,5.208718414E0,-7.082671509E0,8.711883545E-2
9.234448667E0,-1.446292419E0,-5.607339478E-1,-1.331002167E1
9.274190667E0,-5.800437927E-1,-1.611758331E1,-3.224145355E0
9.313933667E0,-2.613714752E0,-1.401475616E1,7.150630188E-1
9.353675667E0,-1.099613342E0,-5.226830750E0,1.419498138E0
9.393417667E0,2.327659607E-1,-6.502328339E0,-6.039939880E-1
