"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.305031542E0,2.794155884E1,1.738788605E1,-4.667444611E1
3.345327542E0,2.611471558E1,1.765461731E1,-4.376588058E1
3.385623542E0,2.662667847E1,1.915045166E1,-4.219363403E1
3.425920542E0,3.322079468E1,2.508651352E1,-4.096791077E1
3.466216542E0,3.352853394E1,2.858043289E1,-3.893199539E1
3.506513542E0,3.357302856E1,3.103328705E1,-3.789837265E1
3.546809917E0,3.487283325E1,3.146321487E1,-3.780224609E1
3.587106917E0,3.766931152E1,2.960864258E1,-3.847285461E1
3.627402917E0,3.973007202E1,2.809897232E1,-3.815340042E1
3.667699917E0,4.063677979E1,2.821851349E1,-3.757164001E1
3.707995917E0,4.070578003E1,2.796472549E1,-3.758275223E1
3.748292917E0,4.092419434E1,2.746824646E1,-3.731876373E1
3.788588917E0,4.133889771E1,2.738714218E1,-3.728049850E1
3.828885917E0,4.192214966E1,2.729798889E1,-3.682636261E1
3.869181917E0,4.246749878E1,2.729227829E1,-3.644527054E1
3.909478917E0,4.323211670E1,2.709137344E1,-3.604384995E1
3.949774917E0,4.352871704E1,2.710006332E1,-3.546116638E1
3.990071917E0,4.393569946E1,2.727126312E1,-3.487599564E1
4.030367917E0,4.420382690E1,2.733278656E1,-3.455739212E1
4.070664917E0,4.418627930E1,2.763942337E1,-3.427433014E1
4.110960917E0,4.441690063E1,2.780424500E1,-3.388234711E1
4.151257917E0,4.460723877E1,2.780035400E1,-3.364979935E1
4.191553917E0,4.485501099E1,2.777634430E1,-3.334975052E1
4.231850917E0,4.493438721E1,2.779932785E1,-3.318047714E1
4.272147917E0,4.504135132E1,2.796855164E1,-3.309722519E1
4.312443917E0,4.535644531E1,2.813605881E1,-3.279283142E1
4.352740917E0,4.585803223E1,2.836939240E1,-3.228131866E1
4.393036917E0,4.647622681E1,2.859035873E1,-3.136077118E1
4.433333917E0,4.692239380E1,2.855319977E1,-3.083710861E1
4.473629917E0,4.724826050E1,2.834348679E1,-3.042493248E1
4.513926917E0,4.748495483E1,2.821028137E1,-3.025929451E1
4.554222208E0,4.749868774E1,2.810460663E1,-3.069594193E1
4.594519208E0,4.742416382E1,2.739112091E1,-3.121966362E1
4.634816208E0,4.745468140E1,2.681662750E1,-3.187584686E1
4.675112208E0,4.710900879E1,2.651452637E1,-3.240028381E1
4.715409208E0,4.705529785E1,2.618551254E1,-3.288125992E1
4.755705208E0,4.736047363E1,2.603754807E1,-3.277515030E1
4.796002208E0,4.818579102E1,2.575794601E1,-3.259720612E1
4.836299208E0,4.879165649E1,2.535882950E1,-3.203080750E1
4.876595208E0,4.929608154E1,2.506811142E1,-3.165827179E1
4.916892208E0,4.921627808E1,2.493083954E1,-3.162244034E1
4.957188208E0,4.885076904E1,2.502968979E1,-3.226124573E1
4.997485208E0,4.842922974E1,2.507147598E1,-3.256986618E1
5.037782208E0,4.798703003E1,2.477845383E1,-3.314509201E1
5.078078208E0,4.804876709E1,2.442173386E1,-3.331627274E1
5.118375208E0,4.808654785E1,2.439231491E1,-3.332020569E1
5.158672208E0,4.777194214E1,2.441291428E1,-3.357556534E1
5.198968208E0,4.770355225E1,2.455494308E1,-3.352495956E1
5.239265208E0,4.753314209E1,2.451118851E1,-3.369971848E1
5.279562208E0,4.769503784E1,2.471851730E1,-3.356515884E1
5.319858208E0,4.785330200E1,2.469620514E1,-3.362464905E1
5.360155208E0,4.762704468E1,2.465227509E1,-3.370619583E1
5.400452208E0,4.769427490E1,2.481778717E1,-3.363642502E1
5.440748208E0,4.753198242E1,2.489099503E1,-3.379143524E1
5.481045208E0,4.739013672E1,2.477465439E1,-3.387730026E1
5.521342208E0,4.756155396E1,2.489301300E1,-3.397989655E1
5.561639042E0,4.726147461E1,2.485753250E1,-3.419762421E1
5.601936042E0,4.713214111E1,2.483939362E1,-3.436546707E1
5.642233042E0,4.694396973E1,2.482456970E1,-3.421998978E1
5.682529042E0,4.700778198E1,2.496075821E1,-3.426590729E1
5.722826042E0,4.692837524E1,2.494950104E1,-3.447764206E1
5.763123042E0,4.675747681E1,2.520672226E1,-3.445954514E1
5.803419042E0,4.656576538E1,2.528393173E1,-3.434051132E1
5.843716042E0,4.635086060E1,2.534713745E1,-3.438929749E1
5.884013042E0,4.650054932E1,2.553741455E1,-3.432145691E1
5.924310042E0,4.654000854E1,2.592374039E1,-3.437937164E1
5.964606042E0,4.620431519E1,2.600914764E1,-3.410422897E1
6.004903042E0,4.623919678E1,2.641158295E1,-3.417751694E1
6.045200042E0,4.596093750E1,2.652936554E1,-3.388431549E1
6.085497042E0,4.578015137E1,2.684491730E1,-3.385755920E1
6.125793042E0,4.583776855E1,2.687094498E1,-3.372380066E1
6.166090042E0,4.585745239E1,2.700711441E1,-3.366159821E1
6.206387042E0,4.583724976E1,2.718783569E1,-3.347209167E1
6.246684042E0,4.603472900E1,2.737417603E1,-3.336992645E1
6.286980042E0,4.595690918E1,2.739237213E1,-3.326363373E1
6.327277042E0,4.604312134E1,2.734154510E1,-3.331349945E1
6.367574042E0,4.603234863E1,2.732826996E1,-3.352448273E1
6.407871042E0,4.591378784E1,2.723909378E1,-3.335866547E1
6.448168042E0,4.601556396E1,2.727823639E1,-3.371104431E1
6.488464042E0,4.615881348E1,2.731501770E1,-3.355965424E1
6.528761042E0,4.618536377E1,2.725790787E1,-3.377818298E1
6.569057917E0,4.610229492E1,2.712316895E1,-3.355897522E1
6.609354917E0,4.618722534E1,2.709098434E1,-3.358274841E1
6.649650917E0,4.611343384E1,2.723791122E1,-3.361373138E1
6.689947917E0,4.622717285E1,2.727413177E1,-3.350051117E1
6.730244917E0,4.628567505E1,2.719699860E1,-3.368154526E1
6.770541917E0,4.620156860E1,2.705939484E1,-3.362560272E1
6.810838917E0,4.634994507E1,2.718983841E1,-3.361289215E1
6.851135917E0,4.626522827E1,2.727356720E1,-3.361589432E1
6.891431917E0,4.625985718E1,2.725008774E1,-3.383110428E1
6.931728917E0,4.647674561E1,2.713994598E1,-3.356608963E1
6.972025917E0,4.636242676E1,2.722381973E1,-3.378152466E1
7.012322917E0,4.631588745E1,2.721495819E1,-3.374769592E1
7.052619917E0,4.620629883E1,2.709178543E1,-3.356283569E1
7.092916917E0,4.627917480E1,2.718104553E1,-3.379296112E1
7.133212917E0,4.636950684E1,2.711851120E1,-3.378828430E1
7.173509917E0,4.640078735E1,2.702023315E1,-3.372245407E1
7.213806917E0,4.635211182E1,2.703671646E1,-3.367224121E1
7.254103917E0,4.636312866E1,2.707180405E1,-3.386793900E1
7.294400917E0,4.641842651E1,2.719504547E1,-3.372776413E1
7.334697917E0,4.649563599E1,2.713998032E1,-3.375173950E1
7.374994917E0,4.623059082E1,2.714191055E1,-3.371195984E1
7.415290917E0,4.635586548E1,2.728761673E1,-3.372811127E1
7.455587917E0,4.631555176E1,2.714288712E1,-3.376178360E1
7.495884917E0,4.614666748E1,2.718937683E1,-3.359963226E1
7.536181917E0,4.614962769E1,2.712940216E1,-3.378301239E1
7.576478708E0,4.626184082E1,2.724176788E1,-3.391026688E1
7.616775708E0,4.626937866E1,2.711140442E1,-3.373535538E1
7.657072708E0,4.624270630E1,2.723434830E1,-3.369709778E1
7.697369708E0,4.623175049E1,2.714145660E1,-3.350291061E1
7.737666708E0,4.641879272E1,2.714238739E1,-3.348999023E1
7.777962708E0,4.634866333E1,2.716191483E1,-3.378504181E1
7.818259708E0,4.653100586E1,2.733274078E1,-3.374203873E1
7.858556708E0,4.644125366E1,2.725506592E1,-3.351704788E1
7.898853708E0,4.636068726E1,2.723996353E1,-3.346409225E1
7.939150708E0,4.629650879E1,2.722286224E1,-3.357880402E1
7.979447708E0,4.637411499E1,2.711721802E1,-3.373385239E1
8.019744708E0,4.629440308E1,2.717409134E1,-3.344041824E1
8.060041708E0,4.631475830E1,2.718618011E1,-3.337371826E1
8.100338708E0,4.641561890E1,2.735031891E1,-3.346567917E1
8.140635708E0,4.647726440E1,2.735226822E1,-3.355878448E1
8.180932708E0,4.630361938E1,2.725928879E1,-3.333714676E1
8.221228708E0,4.635214233E1,2.743027878E1,-3.340986633E1
8.261525708E0,4.634542847E1,2.727762604E1,-3.351473618E1
8.301822708E0,4.635952759E1,2.729723358E1,-3.356279755E1
8.342119708E0,4.635443115E1,2.719247818E1,-3.337264633E1
8.382416708E0,4.643222046E1,2.733974457E1,-3.359978485E1
8.422713708E0,4.634255981E1,2.715876007E1,-3.355916977E1
8.463010708E0,4.641818237E1,2.724475098E1,-3.343588257E1
8.503307708E0,4.630371094E1,2.706652451E1,-3.317198181E1
