"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.627402917E0,-1.375979304E0,-4.161818624E-1,1.470988512E0
3.667699917E0,4.858684540E-1,3.624986708E-1,5.613520625E-4
3.707995917E0,2.070031911E-1,9.654878825E-2,1.094305068E-1
3.748292917E0,-1.745823324E-1,-1.794572733E-2,8.190304041E-2
3.788588917E0,-3.843829036E-2,2.821674943E-1,9.519912302E-2
3.828885917E0,-3.121068701E-2,2.606820166E-1,8.201921731E-2
3.869181917E0,-9.557179175E-3,3.180377483E-1,8.156029880E-2
3.909478917E0,-5.914158002E-2,3.629163802E-1,5.340671912E-2
3.949774917E0,-1.131606102E-1,2.722065151E-1,-6.385863293E-3
3.990071917E0,-9.726991504E-2,1.766645163E-1,-4.761295859E-3
4.030367917E0,-1.400249302E-1,1.226497963E-1,-1.737861335E-2
4.070664917E0,-1.724646688E-1,1.161720455E-1,-2.809435874E-2
4.110960917E0,-1.153012738E-1,1.250467598E-1,4.958872497E-2
4.151257917E0,-1.107453108E-1,1.331639588E-1,1.059539691E-1
4.191553917E0,-4.194637761E-2,1.231613010E-1,-3.780043451E-3
4.231850917E0,4.205334187E-2,1.284310669E-1,-1.172164604E-1
4.272147917E0,6.380031258E-2,3.150824010E-1,-2.252639681E-1
4.312443917E0,1.206926033E-1,5.527635813E-1,-3.106401265E-1
4.352740917E0,1.656363308E-1,6.372894645E-1,-2.485090941E-1
4.393036917E0,2.414853275E-1,5.884689093E-1,-2.330409139E-1
4.433333917E0,4.815649092E-1,5.452137589E-1,-3.375250101E-1
4.473629917E0,4.930501580E-1,4.932797849E-1,-3.108729720E-1
4.513926917E0,4.961410165E-1,3.236056268E-1,-3.097557724E-1
4.554222208E0,6.244353056E-1,1.308298409E-1,-2.245153040E-1
4.594519208E0,7.390701771E-1,3.496981785E-2,-1.718734801E-1
4.634816208E0,6.781734228E-1,2.005514689E-3,-2.185712457E-1
4.675112208E0,5.710082650E-1,7.848961651E-2,-2.310670465E-1
4.715409208E0,3.588070869E-1,1.689329743E-1,-1.558892131E-1
4.755705208E0,8.688917756E-2,2.473083735E-1,6.464257836E-2
4.796002208E0,5.269107595E-2,3.314201534E-1,2.738744020E-1
4.836299208E0,1.401071344E-2,2.027483582E-1,1.783379763E-1
4.876595208E0,7.625231892E-2,1.872827411E-1,5.861581489E-2
4.916892208E0,4.626131617E-3,-1.759851873E-1,-5.776620656E-2
4.957188208E0,-1.181517169E-1,-3.782717288E-1,2.121362370E-3
4.997485208E0,-5.995780602E-2,-4.842415154E-1,2.117946595E-1
5.037782208E0,-1.224407703E-1,-2.495675534E-1,3.017376363E-1
5.078078208E0,1.196208969E-2,-8.190037310E-2,1.560778916E-1
5.118375208E0,-1.299152849E-3,-1.748912334E-1,-1.646332070E-2
5.158672208E0,2.979491279E-2,2.140791342E-2,-9.743959457E-2
5.198968208E0,7.038975507E-2,5.538609345E-3,-1.116753519E-1
5.239265208E0,-6.226516329E-3,2.126749139E-3,-9.429571778E-2
