Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
2.695135677,-0.7489452362,-0.8902602196,0.3332791328,2024-06-05 18:49:13.695136
2.735636615,0.8606786728,0.7526593208,0.008544206619,2024-06-05 18:49:13.735637
2.776134844,0.6584668159,0.4219722748,0.7052297592,2024-06-05 18:49:13.776135
2.816609583,1.449419498,-2.41534996,0.1357614994,2024-06-05 18:49:13.816610
2.857050677,0.5764541626,-1.923248053,-0.6048349142,2024-06-05 18:49:13.857051
2.897380573,-0.2940263748,0.9886033535,0.250202179,2024-06-05 18:49:13.897381
2.937998385,-0.2809362411,0.4746799469,-0.005440473557,2024-06-05 18:49:13.937998
2.978486771,-0.1918325424,0.3225574493,-0.4434810877,2024-06-05 18:49:13.978487
3.018965625,-0.7551555634,-0.2229690552,0.09597861767,2024-06-05 18:49:14.018966
3.059449271,0.3701677322,-1.104409933,-0.612165451,2024-06-05 18:49:14.059449
3.099969219,0.7250928879,0.2341136932,-0.3839292526,2024-06-05 18:49:14.099969
3.140434635,0.45307827,0.3792560101,0.2473642826,2024-06-05 18:49:14.140435
3.180894688,0.1476411819,-0.580155611,-0.317907691,2024-06-05 18:49:14.180895
3.221400625,-0.5268621445,0.6790921688,-0.5680062771,2024-06-05 18:49:14.221401
3.261904375,-0.4460783005,0.5099101067,-0.2879400253,2024-06-05 18:49:14.261904
3.302379635,0.1427774429,-0.0554599762,-0.3944852352,2024-06-05 18:49:14.302380
3.342865052,0.3708114624,0.1821815968,-0.1482360363,2024-06-05 18:49:14.342865
3.383373438,0.02416801453,-0.1116945744,-0.1831029654,2024-06-05 18:49:14.383373
3.423824844,-0.07521915436,-0.03407812119,-0.1902515888,2024-06-05 18:49:14.423825
3.464318438,-0.01103305817,-0.3511791229,-0.1959923506,2024-06-05 18:49:14.464318
3.504766615,0.625377655,-0.1186382771,-0.06907641888,2024-06-05 18:49:14.504767
3.545301771,0.4163179398,0.03710865974,0.1417973042,2024-06-05 18:49:14.545302
3.58575625,-0.8568534851,-0.1040475368,-0.02502787113,2024-06-05 18:49:14.585756
3.626235,-0.2013273239,-0.4152076244,-0.05100524426,2024-06-05 18:49:14.626235
3.666713594,-0.06635856628,-0.3889825344,0.02053868771,2024-06-05 18:49:14.666714
3.707198594,0.5666131973,-0.06146907806,-0.009600162506,2024-06-05 18:49:14.707199
3.747651823,0.2881669998,-0.2405388355,-0.157178998,2024-06-05 18:49:14.747652
3.788204635,-0.1650514603,-0.2651045322,-0.2283825874,2024-06-05 18:49:14.788205
3.828667865,-0.06790447235,-0.08129310608,-0.7062603235,2024-06-05 18:49:14.828668
3.869152292,0.3902606964,0.04056406021,-0.06234622002,2024-06-05 18:49:14.869152
3.909655313,-0.08729743958,-0.3072342873,0.186414957,2024-06-05 18:49:14.909655
3.950143021,-0.11769104,-0.120445013,0.02978444099,2024-06-05 18:49:14.950143
3.990593646,0.235042572,-0.02989625931,0.1397602558,2024-06-05 18:49:14.990594
4.031077604,-0.009922981262,-0.1058399677,-0.3741333485,2024-06-05 18:49:15.031078
4.071564688,-0.1651859283,0.546225071,-0.6440212727,2024-06-05 18:49:15.071565
4.112041406,-0.1449670792,0.5604703426,-0.5874291658,2024-06-05 18:49:15.112041
4.152525365,-0.1126689911,0.5609247684,-0.2340736389,2024-06-05 18:49:15.152525
4.1930175,-1.260428429,1.222873926,-0.1323709488,2024-06-05 18:49:15.193017
4.23351875,-0.8734397888,0.7877867222,0.1474113464,2024-06-05 18:49:15.233519
4.273970104,0.3631029129,0.2090139389,0.2030756474,2024-06-05 18:49:15.273970
4.314485833,0.6886987686,0.2970926762,0.1678185463,2024-06-05 18:49:15.314486
4.354966979,0.06296825409,-0.05772137642,0.1685979366,2024-06-05 18:49:15.354967
4.395451146,-0.3552522659,-0.03392887115,0.2771165371,2024-06-05 18:49:15.395451
4.435927656,-0.1298732758,0.551419735,0.4169008732,2024-06-05 18:49:15.435928
4.476421875,0.0957403183,-0.06493878365,0.04344034195,2024-06-05 18:49:15.476422
4.516892396,0.08485221863,-0.6411721706,-0.04902935028,2024-06-05 18:49:15.516892
4.557298438,-0.1099529266,-0.3622367382,-0.1003739834,2024-06-05 18:49:15.557298
4.597763177,-0.4866733551,-0.2429478168,0.382478714,2024-06-05 18:49:15.597763
4.638343906,-0.1839990616,-0.2019011974,0.2996058464,2024-06-05 18:49:15.638344
4.678807292,0.4189581871,-0.4992747307,0.05561923981,2024-06-05 18:49:15.678807
4.719314063,0.5862951279,-0.297056675,-0.340416193,2024-06-05 18:49:15.719314
4.759793958,0.2871208191,0.2633318901,-0.302469492,2024-06-05 18:49:15.759794
4.800275052,-0.238899231,0.4583365917,-0.4268810749,2024-06-05 18:49:15.800275
4.840784167,-0.3239879608,0.3781607151,-0.1507451534,2024-06-05 18:49:15.840784
4.881256875,-0.2584457397,0.2288985252,0.02919101715,2024-06-05 18:49:15.881257
4.921732292,0.1068239212,0.1074736118,0.1018023491,2024-06-05 18:49:15.921732
4.962218802,-0.2643246651,0.005122184753,0.07087087631,2024-06-05 18:49:15.962219
5.002714844,0.7294864655,-0.2942199707,-0.1194252968,2024-06-05 18:49:16.002715
5.043213073,0.6982693672,-0.7968854904,0.07157278061,2024-06-05 18:49:16.043213
5.0837,-0.08972072601,-0.1259098053,0.137096405,2024-06-05 18:49:16.083700
5.124181979,0.3617835045,-0.1647372246,0.2031364441,2024-06-05 18:49:16.124182
5.164645573,0.3155303001,-0.7900032997,0.2388553619,2024-06-05 18:49:16.164646
5.205125521,-0.07856321335,-0.13702631,0.06298732758,2024-06-05 18:49:16.205126
5.24561224,1.038380146,0.6196904182,-0.229891777,2024-06-05 18:49:16.245612
5.286094115,0.4661612511,0.215821743,-0.5834131241,2024-06-05 18:49:16.286094
5.326535417,-0.2759447098,-0.1199803352,-0.6820893288,2024-06-05 18:49:16.326535
5.36703526,0.02483892441,-0.3739185333,-0.2752866745,2024-06-05 18:49:16.367035
5.407522292,0.1510062218,-0.4868650436,0.2720770836,2024-06-05 18:49:16.407522
5.448008646,0.2094788551,-0.3140697479,0.35572052,2024-06-05 18:49:16.448009
5.488495677,-0.2689080238,0.01899194717,0.1664881706,2024-06-05 18:49:16.488496
5.52901026,0.7975959778,-0.0288939476,-0.08924484253,2024-06-05 18:49:16.529010
5.569514948,-0.1146502495,-0.1514472961,0.2189397812,2024-06-05 18:49:16.569515
5.609969583,0.125105381,-0.07506227493,0.1781210899,2024-06-05 18:49:16.609970
5.650479271,-0.3826093674,-0.370206356,0.2545838356,2024-06-05 18:49:16.650479
5.690883958,0.2833194733,-0.2093200684,0.1149153709,2024-06-05 18:49:16.690884
5.731415885,0.6830010414,-0.2777957916,-0.2893302441,2024-06-05 18:49:16.731416
5.771877552,0.6625518799,-0.2631821632,0.06275057793,2024-06-05 18:49:16.771878
5.812388125,0.2195391655,-0.1382293701,0.4983747005,2024-06-05 18:49:16.812388
5.852875208,-0.1491127014,-0.3086895943,0.292519331,2024-06-05 18:49:16.852875
5.893346563,-0.1721606255,-0.6224513054,-0.183139801,2024-06-05 18:49:16.893347
5.93383901,-0.3877515793,0.05556178093,-0.1698570251,2024-06-05 18:49:16.933839
5.974359115,-0.2824859619,0.6929109097,0.0735938549,2024-06-05 18:49:16.974359
6.014803802,0.1704597473,0.4147927761,0.1214113235,2024-06-05 18:49:17.014804
6.055374844,-0.2068796158,0.165355444,0.1246187687,2024-06-05 18:49:17.055375
6.095809688,-0.1166267395,0.03777742386,0.2414579391,2024-06-05 18:49:17.095810
6.136254219,0.08677005768,0.2458574772,0.2007091045,2024-06-05 18:49:17.136254
6.176698854,0.4056677818,0.1304030418,0.1710259914,2024-06-05 18:49:17.176699
6.217223281,0.467713356,-0.372895956,0.1291604042,2024-06-05 18:49:17.217223
6.25768625,0.7823781967,-0.5771048069,0.04426717758,2024-06-05 18:49:17.257686
6.298172396,1.413607597,-0.7375032902,-0.2333080769,2024-06-05 18:49:17.298172
6.338645833,0.1550340652,-0.5804202557,0.1663227081,2024-06-05 18:49:17.338646
6.379159375,-1.042918205,-0.9715278149,-0.4157774448,2024-06-05 18:49:17.379159
6.4196625,-0.7782974243,-0.4438939095,-0.3513457775,2024-06-05 18:49:17.419663
6.460121198,-0.5686864853,0.07352852821,-0.1327369213,2024-06-05 18:49:17.460121
6.500615,-0.4557685852,-0.282684803,-0.06249308586,2024-06-05 18:49:17.500615
6.541119896,-0.1117887497,-0.2430205345,-0.06246376038,2024-06-05 18:49:17.541120
6.581577344,-0.2931041718,0.07701325417,0.1354250908,2024-06-05 18:49:17.581577
6.622061771,-0.1970462799,0.2880368233,-0.08443927765,2024-06-05 18:49:17.622062
6.662534323,1.303145885,0.6758019924,0.04810428619,2024-06-05 18:49:17.662534
6.703011146,0.2996969223,-0.2762789726,-0.7123041153,2024-06-05 18:49:17.703011
6.743530833,-1.671485901,-0.2420756817,-1.756239057,2024-06-05 18:49:17.743531
6.783956146,-1.080152512,0.5443871021,-1.433775187,2024-06-05 18:49:17.783956
6.824537344,0.5549697876,0.9594378471,-0.3514134884,2024-06-05 18:49:17.824537
6.864979479,0.7858791351,0.6117591858,-0.7859256268,2024-06-05 18:49:17.864979
6.905470052,-0.7880306244,0.05554628372,-0.09406447411,2024-06-05 18:49:17.905470
6.945941094,-0.9785180092,0.6812703609,-0.3398625851,2024-06-05 18:49:17.945941
6.986452344,-0.8731470108,0.8085277081,0.06764125824,2024-06-05 18:49:17.986452
7.026887135,-0.1496782303,0.8817358017,0.3832325935,2024-06-05 18:49:18.026887
7.06734526,-0.8910942078,1.152071238,0.3191978931,2024-06-05 18:49:18.067345
7.107860417,-0.9224686623,1.003817081,0.5351083279,2024-06-05 18:49:18.107860
7.148342865,-0.8495163918,1.431991339,0.716288805,2024-06-05 18:49:18.148343
7.188825938,-1.263395786,2.510187864,0.7446274757,2024-06-05 18:49:18.188826
7.22933724,-0.8990368843,1.229465008,0.5677368641,2024-06-05 18:49:18.229337
7.269801979,-0.2397789955,1.840069294,0.848867178,2024-06-05 18:49:18.269802
7.310275833,0.1345157623,2.481002092,0.4290561676,2024-06-05 18:49:18.310276
