"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.447040670E-1,5.235586490E1,4.925484000E0,2.536345369E0,NaN,NaN,1.562899971E1,1.000000000E0
2.301111145E0,5.235604989E1,4.924379160E0,1.013094005E0,0.000000000E0,NaN,7.353385162E1,4.236119843E1
2.365622031E0,5.235604989E1,4.924379160E0,1.013094005E0,0.000000000E0,NaN,7.353385162E1,4.236119843E1
3.360915937E0,5.235576045E1,4.925021140E0,-4.551810488E1,3.200000048E0,7.290000153E1,3.007466507E1,1.925571442E1
4.360799790E0,5.235571382E1,4.925422090E0,-3.400359660E1,3.529999971E0,5.520000076E1,2.150125122E1,1.490179062E1
5.360834009E0,5.235572444E1,4.925549910E0,-2.891326736E1,3.880000114E0,6.140000153E1,1.410783005E1,1.023209667E1
6.360220206E0,5.235577721E1,4.925624850E0,-9.224001331E0,3.809999943E0,6.469999695E1,1.145995617E1,9.109332085E0
7.361313591E0,5.235582759E1,4.925718310E0,-4.401549303E0,4.280000210E0,6.519999695E1,1.071772480E1,8.536355972E0
8.362664685E0,5.235585633E1,4.925788390E0,-2.479348977E0,3.789999962E0,6.550000000E1,9.825906754E0,7.887162685E0
9.363650622E0,5.235594780E1,4.925871160E0,-2.026534748E0,3.880000114E0,6.070000076E1,1.017589664E1,8.059585571E0
1.036097687E1,5.235604060E1,4.925917920E0,4.288321152E0,4.269999981E0,6.890000153E1,8.666047096E0,7.163880825E0
1.136306359E1,5.235602814E1,4.925992180E0,5.057267192E0,4.159999847E0,6.930000305E1,8.521326065E0,6.916842937E0
1.236406093E1,5.235601093E1,4.926069960E0,6.628149439E0,3.970000029E0,7.569999695E1,9.324105263E0,6.753467083E0
1.336264286E1,5.235603955E1,4.926120420E0,1.120689346E1,3.279999971E0,5.820000076E1,8.294075966E0,7.220540047E0
1.436297624E1,5.235604970E1,4.926180130E0,9.464205478E0,3.940000057E0,6.120000076E1,8.227713585E0,6.856674671E0
1.536454296E1,5.235607611E1,4.926251680E0,9.505788117E0,4.909999847E0,5.879999924E1,8.832561493E0,6.999953270E0
1.636598354E1,5.235608812E1,4.926336720E0,7.331904001E0,4.789999962E0,8.119999695E1,9.455738068E0,7.588527679E0
1.736604890E1,5.235609278E1,4.926393590E0,7.326938525E0,4.559999943E0,6.930000305E1,8.738785744E0,7.392684460E0
1.836416161E1,5.235610990E1,4.926478640E0,5.009018697E0,4.630000114E0,6.730000305E1,8.979861259E0,7.498926640E0
1.936848327E1,5.235611538E1,4.926547730E0,5.222201080E0,4.820000172E0,7.180000305E1,1.050815201E1,7.901543617E0
2.036322218E1,5.235610598E1,4.926627390E0,3.165226841E0,4.260000229E0,8.000000000E1,8.647748947E0,7.193494320E0
2.136424218E1,5.235612109E1,4.926689800E0,3.871949310E0,4.679999828E0,7.459999847E1,8.087469101E0,6.627400875E0
2.236544463E1,5.235613227E1,4.926754800E0,3.764397677E0,4.539999962E0,7.600000000E1,9.714248657E0,7.049106121E0
2.336320301E1,5.235614002E1,4.926809650E0,4.631444698E0,3.700000048E0,7.530000305E1,8.255800247E0,6.926424980E0
2.436335145E1,5.235615282E1,4.926862830E0,5.473473509E0,3.910000086E0,7.409999847E1,7.967245579E0,6.709844112E0
2.536286192E1,5.235616768E1,4.926915670E0,5.700392743E0,3.910000086E0,7.080000305E1,8.475887299E0,6.842681408E0
2.636467385E1,5.235618680E1,4.926971660E0,6.237012222E0,4.050000191E0,6.709999847E1,8.864388466E0,6.589772224E0
2.736558832E1,5.235620382E1,4.927030930E0,5.451487058E0,4.010000229E0,6.630000305E1,8.912409782E0,6.094383717E0
2.836958093E1,5.235622850E1,4.927089360E0,4.421343374E0,4.119999886E0,6.279999924E1,9.982249260E0,6.228775501E0
2.936614249E1,5.235624998E1,4.927151060E0,5.201377700E0,4.329999924E0,6.290000153E1,8.167180061E0,6.500109196E0
3.036210499E1,5.235626960E1,4.927206150E0,6.159445125E0,3.599999905E0,6.170000076E1,9.054420471E0,6.999922276E0
3.136760061E1,5.235627655E1,4.927253440E0,7.686276693E0,3.019999981E0,7.250000000E1,8.255734444E0,6.792149544E0
3.236273436E1,5.235626779E1,4.927298450E0,7.023753596E0,2.440000057E0,1.013000031E2,6.844987392E0,6.474418640E0
3.336256608E1,5.235624845E1,4.927342090E0,7.598824558E0,2.470000029E0,1.183000031E2,6.499838352E0,6.497970104E0
3.436204827E1,5.235622193E1,4.927374510E0,8.065724562E0,2.559999943E0,1.388000031E2,6.225447178E0,6.440105438E0
3.536416296E1,5.235619364E1,4.927410080E0,7.450531586E0,2.529999971E0,1.331999969E2,5.965499401E0,6.255217075E0
3.636778066E1,5.235617259E1,4.927446320E0,7.557395168E0,2.750000000E0,1.273000031E2,5.829792500E0,6.276279926E0
3.736833488E1,5.235614922E1,4.927485400E0,8.522533463E0,3.210000038E0,1.301999969E2,5.602673054E0,6.178212643E0
3.836704254E1,5.235612486E1,4.927517440E0,9.131892367E0,2.829999924E0,1.408000031E2,5.476200104E0,5.962042332E0
3.936817436E1,5.235609309E1,4.927544120E0,9.242824577E0,2.880000114E0,1.496000061E2,5.768489361E0,5.958736420E0
4.036421165E1,5.235605607E1,4.927572580E0,6.513174191E0,3.769999981E0,1.568000031E2,5.585589886E0,5.773031712E0
4.136501790E1,5.235601619E1,4.927593620E0,6.336677088E0,4.119999886E0,1.635000000E2,5.858092308E0,5.776250362E0
4.236370931E1,5.235598057E1,4.927607630E0,7.115748383E0,3.539999962E0,1.653999939E2,6.637229919E0,5.922832489E0
4.336178097E1,5.235595219E1,4.927633790E0,8.126953658E0,3.500000000E0,1.468999939E2,6.601143360E0,6.031228542E0
4.436590826E1,5.235593083E1,4.927670180E0,8.181265615E0,3.339999914E0,1.376000061E2,6.666846275E0,6.067698956E0
4.536588462E1,5.235590278E1,4.927720250E0,6.007304481E0,3.369999886E0,1.356000061E2,7.414880753E0,6.808604717E0
4.636486852E1,5.235587155E1,4.927773260E0,5.173855664E0,3.400000095E0,1.375000000E2,7.697556496E0,7.510815144E0
4.736552759E1,5.235584014E1,4.927827020E0,3.527723919E0,3.470000029E0,1.296999969E2,7.614241123E0,7.510521889E0
4.836513019E1,5.235580964E1,4.927874420E0,2.833982375E0,3.500000000E0,1.373000031E2,7.635248184E0,7.495347977E0
4.936453884E1,5.235577015E1,4.927916700E0,4.491240447E-1,4.019999981E0,1.498000031E2,7.730340004E0,7.527259350E0
