Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Datetime
0.018843605,-0.6978607774,-0.7789516449,0.2509955168,2024-06-05 18:43:29.018844
0.059327615,-0.2623136342,-0.5197005868,-0.04074516147,2024-06-05 18:43:29.059328
0.11463225,-0.2194380015,-1.793186665,-0.06204982474,2024-06-05 18:43:29.114632
0.155127667,-0.3520595133,-1.340196252,-0.133154124,2024-06-05 18:43:29.155128
0.195598865,-0.6501916051,-1.416360497,-0.2892107666,2024-06-05 18:43:29.195599
0.236099698,-0.6480611563,-1.529275179,-0.3001294136,2024-06-05 18:43:29.236100
0.276571313,-0.01651111245,-0.6079817414,0.108920075,2024-06-05 18:43:29.276571
0.317043657,0.0005326165119,-0.599193573,-0.1762960702,2024-06-05 18:43:29.317044
0.357532303,-0.1288931966,-0.9158340693,-0.06311506033,2024-06-05 18:43:29.357532
0.398032355,-0.1169093251,-0.8588441014,-0.169372052,2024-06-05 18:43:29.398032
0.438516261,-0.999987483,-0.5872097015,-0.239144817,2024-06-05 18:43:29.438516
0.478995584,-2.171077967,-0.9826774597,0.4070521593,2024-06-05 18:43:29.478996
0.51949074,-2.782388687,-0.4866783321,1.430874228,2024-06-05 18:43:29.519491
0.559979178,-2.04218483,-1.127815485,1.668820739,2024-06-05 18:43:29.559979
0.600463188,-0.5641740561,-1.242727518,2.263087511,2024-06-05 18:43:29.600463
0.640946313,1.432205796,-0.9041165113,1.654972672,2024-06-05 18:43:29.640946
0.681418761,1.954569459,2.721404076,0.990933001,2024-06-05 18:43:29.681419
0.721953969,2.6664114,0.652854681,1.65257585,2024-06-05 18:43:29.721954
0.76241548,2.390649319,1.613295436,2.375203371,2024-06-05 18:43:29.762415
0.802883188,1.370688558,4.023385048,4.401143551,2024-06-05 18:43:29.802883
0.84337298,0.09826774895,3.637371302,5.733350277,2024-06-05 18:43:29.843373
0.883868761,0.55778265,1.581338406,3.533644199,2024-06-05 18:43:29.883869
0.924361157,0.3087844253,1.356307983,3.745625734,2024-06-05 18:43:29.924361
0.964847875,-0.6547188759,0.7316819429,3.086912155,2024-06-05 18:43:29.964848
1.005333813,-2.321142673,2.404630423,1.943650842,2024-06-05 18:43:30.005334
1.045819646,-1.011172414,0.4671046734,-0.9505873322,2024-06-05 18:43:30.045820
1.086274282,0.6267564893,-1.56496048,-0.9749545455,2024-06-05 18:43:30.086274
1.126786417,-0.3770924807,-0.7145050764,0.6552514434,2024-06-05 18:43:30.126786
1.16729173,-1.179745555,1.111703873,1.167761683,2024-06-05 18:43:30.167292
1.207749282,-0.1560566425,1.894117475,0.4685693681,2024-06-05 18:43:30.207749
1.248263709,0.1438064575,2.366814613,0.3740299344,2024-06-05 18:43:30.248264
1.28876225,-0.288944453,2.134327412,0.5665708184,2024-06-05 18:43:30.288762
1.329175219,-0.2159759998,1.745384336,0.04260931909,2024-06-05 18:43:30.329175
1.369723136,0.4890751243,0.8872059584,-0.8262213469,2024-06-05 18:43:30.369723
1.410176261,-0.07616416365,1.34192729,-1.070825458,2024-06-05 18:43:30.410176
1.450687303,-0.1438064575,0.5142412186,-0.8011884093,2024-06-05 18:43:30.450687
1.491145532,0.4113130867,-1.53087306,-0.4576507509,2024-06-05 18:43:30.491146
1.531647823,-0.3637770712,-0.8508548737,0.1563229412,2024-06-05 18:43:30.531648
1.572157719,0.009853405878,-1.666423917,0.2885449827,2024-06-05 18:43:30.572158
1.612616834,0.4587159753,-1.063368917,-0.01038602181,2024-06-05 18:43:30.612617
1.653193917,0.4009270668,0.3648423254,0.1643121988,2024-06-05 18:43:30.653194
1.693599959,0.4083836973,1.309171438,0.4952002168,2024-06-05 18:43:30.693600
1.734066157,0.9890688658,0.8523195982,1.057510138,2024-06-05 18:43:30.734066
1.774574907,0.8222267628,0.5193011165,1.933264732,2024-06-05 18:43:30.774575
1.81506225,-0.8888037801,0.7002575397,1.32488358,2024-06-05 18:43:30.815062
1.855489594,-0.5833482146,0.104392834,1.531139374,2024-06-05 18:43:30.855490
1.895976938,-0.5548532605,0.4710993171,0.380687654,2024-06-05 18:43:30.895977
1.936522407,-0.5295539498,0.158986032,-0.8768199086,2024-06-05 18:43:30.936522
1.976983605,-0.1027949899,0.6539199352,-0.5492607951,2024-06-05 18:43:30.976984
2.017481365,0.7756227851,-0.2142449915,0.0487344116,2024-06-05 18:43:31.017481
2.057957459,-2.478797197,0.233286038,0.2933385372,2024-06-05 18:43:31.057957
2.098444803,-1.184006453,-0.6194329858,0.01837527007,2024-06-05 18:43:31.098445
2.138953084,-0.9383371472,-2.545773745,-0.1928071827,2024-06-05 18:43:31.138953
2.179423657,-2.29637599,-0.590139091,0.2380795777,2024-06-05 18:43:31.179424
2.219926053,-0.2229000032,0.1842853129,0.04660394415,2024-06-05 18:43:31.219926
2.260390792,-0.4880098701,2.073076725,-0.5476629138,2024-06-05 18:43:31.260391
2.300900948,0.1704372764,0.9612396359,-0.2162422985,2024-06-05 18:43:31.300901
2.34133074,-0.5633751154,1.901041508,-0.07430000603,2024-06-05 18:43:31.341331
2.381846053,-0.3158415854,2.017950773,-0.5356790423,2024-06-05 18:43:31.381846
2.422342563,-0.2018616647,1.031811357,-0.2527265251,2024-06-05 18:43:31.422343
2.46286798,0.03914731368,-0.7461957335,-0.1914756298,2024-06-05 18:43:31.462868
2.503306521,0.02077204362,-0.4699009061,-0.1459369212,2024-06-05 18:43:31.503307
2.543801573,0.4738955498,-0.5050535798,-0.03994623944,2024-06-05 18:43:31.543802
2.584280792,0.5876091719,-0.4730966091,-0.6118432283,2024-06-05 18:43:31.584281
2.624785115,-0.3206351399,-0.9211602807,-0.5817503929,2024-06-05 18:43:31.624785
2.665270896,-0.4659062922,-1.004248381,-1.241795421,2024-06-05 18:43:31.665271
2.705757303,0.1571218669,-0.1841521561,-1.127549171,2024-06-05 18:43:31.705757
2.746243344,0.1509967744,0.5078498721,-1.512364626,2024-06-05 18:43:31.746243
2.786724594,-0.1808233112,0.2772268951,-0.9802806973,2024-06-05 18:43:31.786725
2.827202459,-0.8099765778,0.937271893,-1.079879999,2024-06-05 18:43:31.827202
2.867692719,-0.7391385436,0.6077154279,-0.9106410742,2024-06-05 18:43:31.867693
2.90817574,-0.9615059495,0.5643072128,-0.6983934045,2024-06-05 18:43:31.908176
2.948665428,-1.77720809,0.1677742004,-1.077749491,2024-06-05 18:43:31.948665
2.989165323,-1.294790745,1.185737491,-1.358971,2024-06-05 18:43:31.989165
3.02962949,-0.790536046,1.958830357,-1.568022966,2024-06-05 18:43:32.029629
3.070131938,-0.2918738425,3.32179594,-2.057630777,2024-06-05 18:43:32.070132
3.110611938,0.3644428551,4.035635471,-2.485188723,2024-06-05 18:43:32.110612
3.151091157,-0.5138418078,3.555881023,-1.939656138,2024-06-05 18:43:32.151091
3.191575219,-0.3707011044,2.040320635,-1.466293216,2024-06-05 18:43:32.191575
3.232067459,0.4587159753,2.292514563,-1.380808353,2024-06-05 18:43:32.232067
3.272588813,1.889590263,3.337241888,-0.7215622067,2024-06-05 18:43:32.272589
3.313064646,1.679473042,2.235258341,-0.3995955288,2024-06-05 18:43:32.313065
3.353519125,0.4922707975,1.349650264,-0.6627081037,2024-06-05 18:43:32.353519
3.39397699,0.2258294076,-0.1458037645,-0.1118494645,2024-06-05 18:43:32.393977
3.434462875,-0.3765598834,0.1126483902,0.7971937656,2024-06-05 18:43:32.434463
3.474948709,-0.6507242322,1.469755292,0.8360747695,2024-06-05 18:43:32.474949
3.515434542,-0.2937380075,0.3259612918,0.3636439145,2024-06-05 18:43:32.515435
3.555920323,-0.4083836973,-1.063901424,0.8216941357,2024-06-05 18:43:32.555920
3.596439334,0.7540518045,0.5949326158,1.020759583,2024-06-05 18:43:32.596439
3.636941782,2.368545532,0.6125090122,2.77027154,2024-06-05 18:43:32.636942
3.677395375,0.9291495085,0.872559011,1.800377011,2024-06-05 18:43:32.677395
3.717870688,1.564161539,0.2945369184,1.470154762,2024-06-05 18:43:32.717871
3.75838673,1.3107692,0.5677692294,0.9302147627,2024-06-05 18:43:32.758387
3.798882875,0.3601819277,-0.8801487684,2.636718035,2024-06-05 18:43:32.798883
3.839338813,-0.9702941179,-0.6798849702,1.812360883,2024-06-05 18:43:32.839339
3.87978298,-0.524227798,-0.5023905039,0.719964385,2024-06-05 18:43:32.879783
3.920291573,0.3141105771,-0.2818872929,-1.189865232,2024-06-05 18:43:32.920292
3.960796938,0.5604457259,0.07003907114,-3.164940357,2024-06-05 18:43:32.960797
4.001272407,0.9768186808,-0.8034520149,-4.371050358,2024-06-05 18:43:33.001272
4.041765584,-0.5428693891,1.144193411,-4.851603985,2024-06-05 18:43:33.041766
4.082270532,-0.3099828064,3.179054737,-1.797980189,2024-06-05 18:43:33.082271
4.122722094,0.5005263686,1.06616509,-0.4605801404,2024-06-05 18:43:33.122722
4.163218032,0.1368824393,0.6244928837,-0.471232444,2024-06-05 18:43:33.163218
4.203705948,-0.3886769116,-0.1580539495,-1.026884675,2024-06-05 18:43:33.203706
4.244207667,-0.8264876604,-0.6391398311,-1.210104704,2024-06-05 18:43:33.244208
4.284681105,-1.127549171,-0.8268871307,-0.4936023653,2024-06-05 18:43:33.284681
4.325156469,-0.223698929,-0.2672403455,-0.4288894534,2024-06-05 18:43:33.325156
4.365628605,0.5932016373,-0.4190360308,0.117974557,2024-06-05 18:43:33.365629
4.406134907,0.6488600373,-0.6979939342,-0.02529928461,2024-06-05 18:43:33.406135
4.44662074,0.7524539828,-1.134473205,0.02130465955,2024-06-05 18:43:33.446621
4.487128969,1.091597557,-0.4999937415,0.5330159664,2024-06-05 18:43:33.487129
4.527582667,1.323019385,-0.3308880031,0.9413996935,2024-06-05 18:43:33.527583
4.568082771,0.8798824549,-0.3061213493,0.7079805136,2024-06-05 18:43:33.568083
4.608567407,1.023156285,-0.7099778056,0.5721632838,2024-06-05 18:43:33.608567
4.64904699,0.2786915898,0.5619103909,-0.04633763805,2024-06-05 18:43:33.649047
4.689515115,1.021025896,-0.1849510819,0.4741618633,2024-06-05 18:43:33.689515
4.730047615,1.546052575,-0.2848166823,1.038335919,2024-06-05 18:43:33.730048
4.770516938,0.96563375,1.954303145,1.091597557,2024-06-05 18:43:33.770517
4.810990011,-0.03568530455,2.494775772,0.7276872993,2024-06-05 18:43:33.810990
4.851483084,1.03540647,1.672415853,0.9390029311,2024-06-05 18:43:33.851483
4.891969021,1.05990684,1.071224928,-0.2058562785,2024-06-05 18:43:33.891969
4.932562875,0.388410598,0.06817491353,-0.09320788831,2024-06-05 18:43:33.932563
4.972966,-0.1701709777,0.1592523307,-0.005326164886,2024-06-05 18:43:33.972966
5.013451834,-0.222367391,0.1424749196,0.05752258375,2024-06-05 18:43:34.013452
5.053938136,-0.8009220958,0.73221457,-0.7162360549,2024-06-05 18:43:34.053938
5.09444173,-0.5633751154,0.7708292603,-1.361900449,2024-06-05 18:43:34.094442
5.134872042,-0.2881455421,0.5509917736,-2.215950966,2024-06-05 18:43:34.134872
5.175349907,-0.7572475076,0.8909342885,-2.723800898,2024-06-05 18:43:34.175350
5.215829646,-0.5737611651,0.3983971477,-2.800098181,2024-06-05 18:43:34.215830
5.256315948,0.03115806542,-0.1434070021,-2.959616899,2024-06-05 18:43:34.256316
5.296879386,-0.480286926,-0.2496639937,-2.663615227,2024-06-05 18:43:34.296879
5.33733225,-0.5157059431,-0.3734973371,-1.645918131,2024-06-05 18:43:34.337332
5.377800323,-1.37308538,0.3030588031,-0.0117175635,2024-06-05 18:43:34.377800
5.41828673,-1.713560462,0.725823164,3.001959801,2024-06-05 18:43:34.418287
5.458781365,-1.467624784,-2.30463171,3.273594141,2024-06-05 18:43:34.458781
5.49926798,-0.1153114736,-0.2470009029,0.2098509073,2024-06-05 18:43:34.499268
5.539742094,1.176816225,0.5983946323,-0.3603150845,2024-06-05 18:43:34.539742
5.580218969,1.006112576,0.163513273,-0.3376788795,2024-06-05 18:43:34.580219
5.620703605,0.08122401685,0.2900096774,-0.4440690279,2024-06-05 18:43:34.620704
5.661189646,0.4017260075,0.2687050402,-0.09161003679,2024-06-05 18:43:34.661190
5.701659282,0.2197043151,-0.1532603949,0.2274272442,2024-06-05 18:43:34.701659
5.742195219,0.8200962543,0.0708379969,-0.3169068098,2024-06-05 18:43:34.742195
5.782685063,0.8609746099,0.1731003672,0.3463338912,2024-06-05 18:43:34.782685
5.823130428,0.7087793946,-0.4182371199,-0.2260957062,2024-06-05 18:43:34.823130
5.863652615,0.5876091719,-0.0432750918,0.1707035899,2024-06-05 18:43:34.863653
5.904138657,0.0980014354,0.4820179343,0.7889382243,2024-06-05 18:43:34.904139
5.944621105,-0.2135792226,1.13593781,1.468823195,2024-06-05 18:43:34.944621
5.985128344,-0.3485974967,0.2926727831,2.156830549,2024-06-05 18:43:34.985128
6.025614803,-0.60678339,-0.2853493094,1.567623496,2024-06-05 18:43:35.025615
6.066101313,0.4331503808,-1.100119352,1.954036832,2024-06-05 18:43:35.066101
6.106537615,-0.2545906901,-0.2355496585,2.548569918,2024-06-05 18:43:35.106538
6.147050271,-0.04953333735,-0.7701634765,2.558423519,2024-06-05 18:43:35.147050
6.18750475,0.1853505522,-0.03288906813,2.708488226,2024-06-05 18:43:35.187505
6.227998292,0.1115831584,-0.3205019832,1.678674102,2024-06-05 18:43:35.227998
6.268510219,-0.226894632,-0.1250317246,0.08628387749,2024-06-05 18:43:35.268510
6.309000115,-0.3773587942,-0.9911993146,-0.06178351492,2024-06-05 18:43:35.309000
6.349481365,-0.3126458824,-0.6298190355,-0.3195699155,2024-06-05 18:43:35.349481
6.389908605,-0.2218347788,0.1685731262,-0.8488575816,2024-06-05 18:43:35.389909
6.430395115,0.2659088075,1.082676172,-1.53420186,2024-06-05 18:43:35.430395
6.470911782,0.2592510879,1.051784515,-1.271089315,2024-06-05 18:43:35.470912
6.511414594,-0.2974663079,0.5451329947,-1.56535995,2024-06-05 18:43:35.511415
6.551851209,-0.2945369184,0.1158440933,-1.410901189,2024-06-05 18:43:35.551851
6.592334386,-0.5702991486,-0.1260969639,-1.767887354,2024-06-05 18:43:35.592334
6.632855792,-0.5950657725,0.3608476818,-1.896247983,2024-06-05 18:43:35.632856
6.673306105,-0.6371424794,0.5898727775,-1.429010153,2024-06-05 18:43:35.673306
6.713789542,-0.6270228028,0.09533835202,-1.369357109,2024-06-05 18:43:35.713790
6.754288448,-0.5037220716,0.1374150664,-1.388264894,2024-06-05 18:43:35.754288
6.794763657,-0.4315525293,-0.06511236727,-1.083075643,2024-06-05 18:43:35.794764
6.83529475,-0.4057206213,-0.004660394508,-0.6177020073,2024-06-05 18:43:35.835295
6.875778553,-0.190676704,-0.05632419512,-0.1752308309,2024-06-05 18:43:35.875779
6.916275011,-0.1262301207,-0.0952052027,0.04740286991,2024-06-05 18:43:35.916275
6.956746261,-0.1914756298,-0.0467370972,0.1667089611,2024-06-05 18:43:35.956746
6.997206261,-0.1592523307,-0.1295589656,0.2605826259,2024-06-05 18:43:35.997206
7.037688188,0.001331541222,0.04846810177,0.2573869228,2024-06-05 18:43:36.037688
7.078172303,0.1736329794,0.007323476952,0.3143768907,2024-06-05 18:43:36.078172
7.118673344,0.4704335332,0.137681365,0.6802844405,2024-06-05 18:43:36.118673
7.159140532,0.5343475342,0.1395455301,1.020493269,2024-06-05 18:43:36.159141
7.199630375,0.4438027143,-0.1125152409,1.146190763,2024-06-05 18:43:36.199630
7.240144907,0.07216953486,-0.2403431982,1.097190022,2024-06-05 18:43:36.240145
7.280630844,0.01757634431,-0.05499265343,1.022889972,2024-06-05 18:43:36.280631
7.321122771,-0.06497921795,-0.01637795754,1.181876063,2024-06-05 18:43:36.321123
7.36160574,-0.01997311972,0.2583190203,1.370155931,2024-06-05 18:43:36.361606
