"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.208600688E0,-6.454638958E0,-6.666703224E0,5.392225742E0
3.248600688E0,-8.398508072E0,-5.912066460E0,7.133901596E0
3.288600688E0,-8.682356834E0,-7.165008068E0,1.014975548E1
3.328600688E0,-3.990929127E0,-4.531108856E0,-2.033899166E-2
3.368600688E0,-9.838389397E0,-7.291827679E0,5.325226784E0
3.408600688E0,-1.285065365E1,-8.767601013E0,4.149154663E0
3.448600688E0,-1.246630669E1,-7.248756886E0,2.306980133E0
3.488600688E0,-5.024628639E0,-3.938287020E0,5.512166023E0
3.528600688E0,-5.141876698E0,-3.086741209E0,3.980161428E0
3.568600688E0,-7.228417873E0,-2.043470621E0,7.273881912E0
3.608600688E0,-1.182652569E1,-3.647259951E0,1.331187057E1
3.648600688E0,-4.618446827E0,-4.419842720E0,6.059823632E-1
3.688600688E0,-5.493023396E0,-7.176972389E0,-9.547362328E-1
3.728600688E0,-4.982754230E0,-5.255835056E0,6.819843769E0
3.768600688E0,-1.251296711E1,-4.714458942E0,5.446064472E0
3.808600688E0,-1.161565876E1,-4.981557846E0,-9.798609018E-1
3.848600688E0,-6.047560215E0,-3.364906907E-1,2.492423773E0
3.888600688E0,2.433799744E0,4.875376225E-1,5.279763222E0
3.928600688E0,3.176471949E0,1.615753531E0,5.010271549E0
3.968600688E0,1.360618830E0,-2.885445118E0,6.317051888E0
4.008600688E0,-4.204189301E0,-7.857132435E0,2.973979473E0
4.048600688E0,-1.757109451E1,-9.572486877E0,4.479662895E0
4.088600688E0,-2.393211555E1,-1.324965763E1,6.942176819E0
4.128600688E0,-6.026024818E0,-7.295417309E0,5.158626556E0
4.168600688E0,-7.736294746E0,-5.661717415E0,2.739183664E0
4.208600688E0,-4.586143494E0,-6.260521412E0,1.711466432E0
4.248600688E0,-9.504291534E0,-6.362515450E0,1.715055585E0
4.288600688E0,-4.218546391E0,-7.947162151E0,5.261816978E0
4.328600688E0,-6.071488380E0,-8.361419678E0,2.300997972E0
4.368600688E0,-5.579164982E0,-5.577968597E0,3.812364578E0
4.408600688E0,-5.579164982E0,-5.577968597E0,3.812364578E0
4.448600688E0,-5.579164982E0,-5.577968597E0,3.812364578E0
4.488600688E0,-5.579164982E0,-5.577968597E0,3.812364578E0
4.528600688E0,-5.579164982E0,-5.577968597E0,3.812364578E0
4.568600688E0,-5.579164982E0,-5.577968597E0,3.812364578E0
4.608600688E0,-4.777868748E0,-4.567001343E0,5.649753571E0
4.648600688E0,-7.130312443E0,-5.983851433E0,3.055335522E0
4.688600688E0,-7.759026527E0,-5.326423168E0,6.988836765E0
4.728600688E0,-4.947759151E0,-2.478066921E0,5.769693375E0
4.768600688E0,-7.205686092E0,1.666002721E-1,4.448556423E0
4.808600688E0,-6.195915222E0,-7.058826834E-2,5.555236816E0
4.848600688E0,-1.177268696E1,-1.005643559E1,4.123730659E0
4.888600688E0,-7.079763889E0,-3.556033611E0,4.171886444E0
4.928600688E0,-7.154240608E0,-3.992125511E0,3.017050266E0
4.968600688E0,-6.791129589E0,-3.977768660E0,2.571686029E0
5.008600688E0,-4.516751766E0,-2.141576290E0,3.285345554E0
5.048600688E0,-3.860221148E0,5.641079545E-1,2.793022156E0
5.088600688E0,-6.637989044E0,-1.972583175E0,3.851846218E0
5.128600688E0,-3.636492252E0,-1.364207983E0,3.321237803E0
5.168600688E0,-6.216254234E0,-2.817249537E0,2.800200701E0
5.208600688E0,-4.260420799E0,-3.158525944E0,2.778665304E0
5.248600688E0,-7.749455452E0,-1.031396294E1,2.615953445E0
5.288600688E0,-7.072585583E0,-9.453742981E0,2.227717876E0
5.328600688E0,-6.396014690E0,-1.014975548E1,1.622931957E0
5.368600688E0,-5.424529076E0,-1.175234795E1,1.692323804E0
5.408600688E0,-6.122933865E0,-1.150917816E1,2.202593327E0
5.448600688E0,-9.317352295E0,-1.364955807E1,-8.973085135E-2
5.488600688E0,-7.877471447E0,-3.824328899E0,4.861617565E0
5.528600688E0,-9.720842361E0,-5.868995667E0,2.822035313E0
5.568600688E0,-8.075178146E0,-7.441678524E0,1.652842283E0
5.608600688E0,-6.197111607E0,-6.829713821E0,1.668395638E0
5.648600688E0,-6.215057850E0,-7.296613693E0,1.367797256E0
5.688600688E0,-6.370890141E0,-6.992425919E0,1.646860242E0
5.728600688E0,-7.346862793E0,-8.641678810E0,3.157329559E0
5.768600688E0,-6.694220543E0,-8.630910873E0,3.601497173E0
5.808600688E0,-4.087838173E0,-8.534002304E0,2.090130568E0
5.848600688E0,-8.498109818E0,-1.557129383E0,3.436392307E0
5.888600688E0,-9.828818321E0,-5.976074338E-1,-9.810572863E-2
5.928600688E0,-1.101685429E1,-1.004925728E1,2.413460732E0
5.968600688E0,-1.281715488E1,-1.229970646E1,8.551349640E-1
6.008600688E0,-7.184150696E0,-5.649753571E0,1.104287624E0
6.048600688E0,-7.446464062E0,-4.724030018E0,2.642274380E0
6.088600688E0,-7.446464062E0,-4.724030018E0,2.642274380E0
6.128600688E0,-7.446464062E0,-4.724030018E0,2.642274380E0
6.168600688E0,-7.446464062E0,-4.724030018E0,2.642274380E0
6.208600688E0,-7.446464062E0,-4.724030018E0,2.642274380E0
6.248600688E0,-7.446464062E0,-4.724030018E0,2.642274380E0
6.288600688E0,-1.050419235E1,-4.724030018E0,8.419744968E-1
6.328600688E0,-7.321738243E0,-1.437189102E0,3.169293642E0
6.368600688E0,-7.321738243E0,-1.437189102E0,3.169293642E0
6.408600688E0,-2.728415966E0,-1.431207061E0,1.511665702E0
6.448600688E0,-2.728415966E0,-1.431207061E0,1.511665702E0
6.488600688E0,-1.034865856E1,-2.002493382E0,2.002493382E0
6.528600688E0,-1.216899872E1,-2.920140982E0,1.717448473E0
6.568600688E0,-8.642875671E0,-2.956033230E0,8.814560175E-1
6.608600688E0,-9.610772133E0,-3.401696444E0,2.848356247E0
6.648600688E0,-9.728020668E0,-6.225825310E0,2.556132793E0
6.688600688E0,-8.973683357E0,-7.998608112E0,5.006981492E-1
6.728600688E0,-6.762415886E0,-6.103791237E0,1.284048438E0
6.768600688E0,-7.550551891E0,-6.642774582E0,1.842174292E0
6.808600688E0,-8.882456779E0,-7.703991413E0,-4.193421602E-1
6.848600688E0,-7.680063248E0,-9.028717995E0,4.959124923E-1
6.888600688E0,-7.538587570E0,-6.084649086E0,1.547558069E0
6.928600688E0,-9.323334694E0,-7.253542900E0,1.068395257E0
6.968600688E0,-8.542376518E0,-9.450154305E0,1.893320978E-1
7.008600688E0,-6.142076492E0,-6.863213539E0,1.010967612E0
7.048600688E0,-5.854638577E0,-6.815057755E0,9.583254457E-1
7.088600688E0,-7.392625332E0,-6.779165745E0,1.971386790E0
7.128600688E0,-8.614161491E0,-6.273681641E0,6.876373887E-1
7.168600688E0,-7.047461033E0,-5.349154949E0,1.118644595E0
7.208600688E0,-9.359226227E0,-5.519344330E0,1.462612897E-1
7.248600688E0,-1.080120182E1,-5.806782246E0,9.559326172E-1
7.288600688E0,-8.676374435E0,-4.970789909E0,1.075573802E0
7.328600688E0,-1.064327526E1,-5.993422508E0,9.750752449E-1
7.368600688E0,-7.747062206E0,-5.981458187E0,1.051645517E0
7.408600688E0,-7.794919014E0,-5.164608479E0,1.217049360E0
7.448600688E0,-1.020957565E1,-4.237689018E0,8.623134494E-1
7.488600688E0,-8.489734650E0,-2.009970903E0,2.182254314E0
7.528600688E0,-7.021139622E0,-3.499802113E0,2.086541414E0
7.568600688E0,-7.021139622E0,-3.499802113E0,2.086541414E0
7.608600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.648600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.688600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.728600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.768600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.808600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
7.848600688E0,-6.873981476E0,-1.657627940E0,1.270887971E0
