"event","experiment time","system time","system time text"
"START",0.000000000E0,1717505433.735,"2024-06-04 14:50:33.735 UTC+02:00"
"PAUSE",9.328702668E1,1717505527.022,"2024-06-04 14:52:07.022 UTC+02:00"
