"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.211304333E0,9.597650766E-1,1.877125621E0,2.423120737E0
3.251599333E0,9.315395951E-1,2.906793058E-1,1.232194781E0
3.291895333E0,1.695812225E0,-3.740661144E-1,-9.413409829E-1
3.332190333E0,2.368918657E0,1.255234629E-1,-2.941020727E0
3.372486333E0,2.493710041E0,-1.070235252E0,-4.464306355E0
3.412782333E0,1.827805877E0,-3.380945683E0,-1.313313127E0
3.453077333E0,-7.970647216E-1,-3.601537466E0,-7.270609140E-1
3.493373333E0,-5.615859032E-1,-2.131489992E0,-4.543239474E-1
3.533668333E0,-1.504116654E0,-2.396090984E0,6.278078556E-1
3.573963458E0,-2.752151966E0,-2.175145864E0,5.739222765E-1
3.614258458E0,-1.808427811E0,-6.123674512E-1,2.769111097E-1
3.654554458E0,-7.521534562E-1,-8.735810518E-1,-6.674292684E-1
3.694849458E0,-1.238909483E0,-6.187545136E-2,-2.116723537E0
3.735145458E0,1.277821362E-1,-1.450589061E0,-2.085527897E0
3.775440458E0,-8.249949217E-1,1.286455870E0,-1.585228562E0
3.815736458E0,1.066817284E0,-1.053813457E0,-7.365580201E-1
3.856032458E0,3.188518807E-2,-2.871780694E-1,-1.092838496E-2
3.896327458E0,7.349453568E-1,5.958627462E-1,9.731658548E-2
3.936623458E0,1.649239182E0,-2.258201122E0,6.415729970E-2
3.976918458E0,2.658225894E-1,-2.011237383E0,-3.714415729E-1
4.017214458E0,-6.983202696E-1,-1.776101351E0,-2.115572929E0
4.057509458E0,-1.873082638E0,-1.890801072E0,-2.058844566E0
4.097805458E0,2.460263491E0,-4.140664577E0,-4.422565997E-1
4.138101458E0,1.967683434E0,-3.337357998E0,-9.033297300E-1
4.178396458E0,-5.975880623E-1,1.348788261E0,5.967281014E-2
4.218692458E0,1.247328147E-1,7.152307034E-1,-8.143050224E-2
4.258987458E0,-3.573182523E-1,2.202690542E-1,-8.399139643E-1
4.299283458E0,-1.525118589E0,6.131707877E-2,-1.004354835E0
4.339578458E0,-1.289749503E0,4.969080687E-1,-4.072163403E-1
4.379874458E0,4.561123550E-1,-1.773659587E-1,4.301472604E-1
4.420169458E0,3.198994875E0,2.200648785E0,1.116670012E0
4.460465458E0,6.408028007E-1,1.701858521E0,1.845721602E-1
