"event","experiment time","system time","system time text"
"START",0.000000000E0,1717595368.930,"2024-06-05 15:49:28.930 UTC+02:00"
"PAUSE",2.797177191E2,1717595648.647,"2024-06-05 15:54:08.647 UTC+02:00"
