"event","experiment time","system time","system time text"
"START",0.000000000E0,1717505571.000,"2024-06-04 14:52:51.000 UTC+02:00"
"PAUSE",1.682715877E2,1717505739.272,"2024-06-04 14:55:39.272 UTC+02:00"
