"event","experiment time","system time","system time text"
"START",0.000000000E0,1717608323.373,"2024-06-05 19:25:23.373 UTC+02:00"
"PAUSE",3.140942284E2,1717608637.467,"2024-06-05 19:30:37.467 UTC+02:00"
