Time (s),X (hPa),Datetime
105.009383,1007.673798,2024-06-04 18:08:48.009383
106.085737,1007.673416,2024-06-04 18:08:49.085737
107.162118,1007.673416,2024-06-04 18:08:50.162118
108.238495,1007.679672,2024-06-04 18:08:51.238495
109.314852,1007.691498,2024-06-04 18:08:52.314852
110.391213,1007.703094,2024-06-04 18:08:53.391213
111.467594,1007.713394,2024-06-04 18:08:54.467594
112.543968,1007.72583,2024-06-04 18:08:55.543968
113.620338,1007.738876,2024-06-04 18:08:56.620338
114.696751,1007.750473,2024-06-04 18:08:57.696751
115.773128,1007.761002,2024-06-04 18:08:58.773128
116.849469,1007.770462,2024-06-04 18:08:59.849469
117.925831,1007.773361,2024-06-04 18:09:00.925831
119.002219,1007.773361,2024-06-04 18:09:02.002219
120.078553,1007.770691,2024-06-04 18:09:03.078553
121.154827,1007.767944,2024-06-04 18:09:04.154827
122.231095,1007.766495,2024-06-04 18:09:05.231095
123.307377,1007.765121,2024-06-04 18:09:06.307377
124.383647,1007.764816,2024-06-04 18:09:07.383647
125.459912,1007.761993,2024-06-04 18:09:08.459912
126.536191,1007.761993,2024-06-04 18:09:09.536191
127.612494,1007.763977,2024-06-04 18:09:10.612494
128.688756,1007.76413,2024-06-04 18:09:11.688756
129.764987,1007.766418,2024-06-04 18:09:12.764987
130.841194,1007.77153,2024-06-04 18:09:13.841194
131.917384,1007.775116,2024-06-04 18:09:14.917384
132.993624,1007.779312,2024-06-04 18:09:15.993624
134.069853,1007.7845,2024-06-04 18:09:17.069853
135.146093,1007.79129,2024-06-04 18:09:18.146093
136.222335,1007.797775,2024-06-04 18:09:19.222335
137.298616,1007.801361,2024-06-04 18:09:20.298616
138.374905,1007.801361,2024-06-04 18:09:21.374905
139.451152,1007.800522,2024-06-04 18:09:22.451152
140.527406,1007.797775,2024-06-04 18:09:23.527406
141.603673,1007.794418,2024-06-04 18:09:24.603673
142.679945,1007.793579,2024-06-04 18:09:25.679945
143.756221,1007.787933,2024-06-04 18:09:26.756221
144.832461,1007.785645,2024-06-04 18:09:27.832461
145.908704,1007.780685,2024-06-04 18:09:28.908704
146.984914,1007.777023,2024-06-04 18:09:29.984914
148.061171,1007.774277,2024-06-04 18:09:31.061171
149.137426,1007.773209,2024-06-04 18:09:32.137426
150.213663,1007.772598,2024-06-04 18:09:33.213663
151.289884,1007.771759,2024-06-04 18:09:34.289884
152.366084,1007.771683,2024-06-04 18:09:35.366084
153.442281,1007.770615,2024-06-04 18:09:36.442281
154.518504,1007.769012,2024-06-04 18:09:37.518504
155.594689,1007.761536,2024-06-04 18:09:38.594689
