"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717517056504897E9,"2024-06-04 18:04:16.505 UTC+02:00"
"PAUSE",1.589119556250007E2,1.717517215417931E9,"2024-06-04 18:06:55.418 UTC+02:00"
