"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717596911732084E9,"2024-06-05 16:15:11.732 UTC+02:00"
"PAUSE",2.629872949583369E2,1.717597174712860E9,"2024-06-05 16:19:34.713 UTC+02:00"
