"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.073199070E-1,-1.422086120E0,5.336817503E-1,7.559159994E-1
1.918591260E-1,-1.382406116E0,1.832200736E-1,5.135754943E-1
2.321849600E-1,-1.620618939E0,2.524602413E-1,5.197005868E-1
2.732025120E-1,-3.854812086E-1,-7.014559507E-1,4.214328229E-1
3.137080850E-1,1.197588205E0,-2.387453556E0,4.563191831E-1
3.541632410E-1,5.162385702E-1,-1.130212188E0,1.099853069E-1
3.948458450E-1,-1.453510404E0,2.515281439E0,-8.184984326E-1
4.349941260E-1,-4.198349714E-1,1.609567046E0,-6.075822711E-1
4.756130320E-1,-1.549914032E-1,1.778672814E0,-9.693620354E-2
5.160632410E-1,2.744306624E-1,5.573831797E-1,1.611164957E-1
5.565601680E-1,7.061163187E-1,-1.581471562E0,9.089100957E-1
5.971352200E-1,3.639102280E-1,-4.994611442E-1,8.535179496E-1
6.375979280E-1,2.597837150E-1,2.841508985E-1,8.750889301E-1
6.780255850E-1,5.215647221E-1,-3.183715343E-1,6.400718689E-1
7.185077200E-1,6.304848194E-1,9.223586321E-1,4.882761836E-1
7.590038140E-1,-1.070026517E0,2.362154275E-1,-3.798887134E-1
7.994899070E-1,-2.986247540E0,5.219641924E-1,-1.936194181E0
8.399950640E-1,-3.508078575E0,1.864024639E0,-2.802761316E0
8.804552200E-1,-5.043079376E0,1.672682166E0,-3.749620199E0
9.208871470E-1,-6.374354362E0,2.864944220E0,-4.310598373E0
9.614068350E-1,-4.593950748E0,2.708621264E0,-2.906088829E0
1.001841366E0,-4.402741432E0,2.629527807E0,-2.342980146E0
1.042391782E0,-4.253874779E0,-7.762885839E-2,-6.352783442E-1
1.082846105E0,-2.770671129E0,2.386122048E-1,9.808133245E-1
1.123346730E0,1.385601878E0,1.709699035E-1,2.976660490E0
1.163515793E0,9.616391063E-1,-1.505307436E0,4.387827873E0
1.204253762E0,-5.798861980E-1,-1.398517847E0,2.650832415E0
1.244768553E0,-1.753506660E0,-2.105965614E0,1.503975868E0
1.285279907E0,-1.535533428E0,-1.767621040E0,3.958672285E-1
1.325699907E0,-8.978582621E-1,-5.007926822E-1,-5.609783530E-1
1.366213710E0,-1.060439467E0,-1.027949810E0,-6.704310179E-1
1.406396991E0,-1.728207469E0,-1.223286986E0,-1.776276082E-1
1.447316418E0,-1.366427660E0,1.320090055E0,-9.789491296E-1
1.487635793E0,-3.677717149E-1,8.344769478E-1,-1.122755647E0
1.528113345E0,-1.428743839E0,-9.307473898E-2,-1.582803130E0
1.568627876E0,-2.692642689E0,-5.173037648E-1,-2.040320635E0
1.609063710E0,-2.608755589E0,3.475322723E-1,-1.006112576E0
1.649595480E0,-1.346720815E0,1.392792165E-1,1.861627817E0
1.690114751E0,-8.761541545E-2,-4.438027143E-1,3.231783867E0
1.730448293E0,-3.384777904E-1,-1.040466309E0,2.972932100E0
1.770996210E0,-3.454017937E-1,-2.450435400E0,3.289705992E0
1.811498553E0,-1.011438727E0,-1.098255277E0,1.946580172E0
1.851979855E0,-1.216229796E0,-7.102441192E-1,8.716269135E-1
1.892468762E0,-1.262301207E-1,-1.022623658E0,1.480673850E-1
1.932859491E0,3.462007269E-2,-3.468665183E-1,-1.265496850E0
1.973369751E0,1.019960642E-1,-1.186403260E-1,-1.636064768E0
2.013878085E0,6.472622156E-1,4.228975177E-1,-2.333925486E0
2.054367772E0,1.105179265E-1,1.567490339E0,-2.809685230E0
2.094868085E0,-8.677654266E-1,8.994561434E-1,-1.440461397E0
2.135323397E0,-8.592435718E-1,8.432651162E-1,-1.493989378E-1
2.175727303E0,-6.151720881E-2,1.784265339E-1,1.442325473E0
2.216431418E0,1.174419373E-1,-4.613790512E-1,2.493976831E0
2.256735376E0,-3.648423254E-1,-1.610499144E0,1.611830711E0
2.297293762E0,-1.027949899E-1,-1.436333537E0,9.025186896E-1
2.337723657E0,-1.478010863E-1,-7.419347763E-1,3.649754524E-1
2.378196782E0,-6.616428494E-1,-1.192927837E0,-7.852098942E-1
2.418595012E0,-4.473978654E-2,-1.596118569E0,-1.215697169E0
2.459127876E0,5.809514523E-1,5.283555984E-1,-1.161636591E0
2.499660949E0,2.299571782E-1,8.155690432E-1,-8.659012914E-1
2.540120480E0,6.781539917E-1,1.204645395E0,-1.696250439E0
2.580646887E0,1.547650456E0,1.669752717E0,-1.529940963E0
2.621055897E0,1.067896128E0,1.504907966E0,-1.008509398E0
2.661565689E0,1.655771613E0,-9.592423439E-1,-1.587330341E0
2.702088449E0,5.079829693E-1,-2.605826259E-1,-2.897034407E0
2.742510064E0,-8.970593810E-1,2.431394309E-1,-3.480382681E0
2.783024387E0,-2.081598520E0,-2.256962508E-1,-5.837610245E0
2.823464282E0,-1.234605074E0,3.319665670E0,-1.136936569E1
2.863963345E0,1.264165282E0,2.782921195E-1,-1.004248428E1
2.904458657E0,4.619116783E-1,-2.377866507E0,1.410368562E0
2.944956314E0,-1.275616586E-1,-2.376268625E0,6.789395809E0
2.985355480E0,-7.163692266E-2,-4.291025162E0,2.269479036E0
3.025879595E0,-1.016764879E0,-5.536815166E0,-5.356790423E-1
3.066375116E0,1.304910425E-2,2.875063896E0,1.624480337E-1
3.106751262E0,-2.279598713E-1,1.806901574E0,3.524589837E-1
3.147280064E0,-2.532591522E-1,-4.691019952E-1,-2.037258148E-1
3.187808605E0,-4.821510911E-1,-1.720218182E0,-3.619129062E-1
3.228175689E0,-3.147763610E-1,-6.777545214E-1,-3.070534170E-1
3.268658501E0,-1.914756298E-1,-5.525896326E-2,-3.697690070E-1
3.309179855E0,-3.435376659E-2,-6.103785038E-1,-4.033238590E-1
3.349678293E0,1.233007237E-1,-1.734998226E-1,-2.742975056E-1
3.390170637E0,2.552564740E-1,-5.519238710E-1,-1.832200736E-1
3.430657824E0,7.324808836E-1,-1.413963675E0,-1.078548431E-1
3.471045220E0,1.414096832E0,-5.561847687E-1,-7.323476672E-2
3.511598814E0,1.883997798E0,9.894683361E-1,1.195724085E-1
3.552084282E0,2.052304506E0,3.464537144E0,2.699034214E-1
3.592493762E0,1.339530468E0,2.270943642E0,3.679048419E-1
3.632982303E0,4.587159753E-1,3.443365693E-1,5.189016461E-1
3.673447199E0,-3.033251166E-1,-2.373072863E0,9.789491296E-1
