"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718356318298791E9,"2024-06-14 11:11:58.299 UTC+02:00"
"PAUSE",2.047442300833063E2,1.718356523042113E9,"2024-06-14 11:15:23.042 UTC+02:00"
