"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718355663265416E9,"2024-06-14 11:01:03.265 UTC+02:00"
"PAUSE",1.499319490416674E2,1.718355813196690E9,"2024-06-14 11:03:33.197 UTC+02:00"
