"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.510989280E-1,5.233123480E1,4.852290000E0,5.859566107E0,NaN,NaN,1.181799984E1,1.000000000E0
2.020209893E1,5.233121680E1,4.852295000E0,5.859543695E0,NaN,NaN,1.928300095E1,1.026694059E0
4.028509893E1,5.233122360E1,4.852297900E0,5.859554899E0,NaN,NaN,1.216600037E1,1.000000000E0
6.027709893E1,5.233122240E1,4.852296800E0,5.859552586E0,NaN,NaN,1.152799988E1,1.000000000E0
8.031209893E1,5.233119850E1,4.852268200E0,5.859502686E0,NaN,NaN,1.369400024E1,1.000000000E0
