"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.153882260E-1,5.235643610E1,4.955171400E0,5.854276133E0,NaN,NaN,8.759999847E1,7.488450050E0
1.128658072E0,5.235598818E1,4.954769070E0,-7.207751307E0,2.399999946E-1,2.013999939E2,4.088813782E1,2.698264503E1
1.197544583E0,5.235598731E1,4.954768310E0,-7.192921442E0,2.399999946E-1,2.015000000E2,4.134429550E1,2.701792908E1
2.199233697E0,5.235598568E1,4.954793260E0,-8.151017605E-1,1.210000038E0,3.092000122E2,1.680759811E1,1.140614605E1
3.202633853E0,5.235599530E1,4.954789230E0,4.156835479E-1,1.070000052E0,3.077000122E2,1.185416031E1,7.843697548E0
4.198033957E0,5.235601199E1,4.954772770E0,1.878283285E0,1.659999967E0,3.097999878E2,7.427640438E0,5.546407223E0
5.198068852E0,5.235602580E1,4.954757890E0,3.108030709E0,2.519999981E0,3.167999878E2,7.274800301E0,5.373790264E0
6.196559529E0,5.235605549E1,4.954741890E0,2.749970523E0,2.509999990E0,3.183999939E2,6.217024326E0,4.754648685E0
7.197978174E0,5.235609178E1,4.954717910E0,3.281502540E0,2.839999914E0,3.138999939E2,4.866028786E0,3.877909422E0
8.199649320E0,5.235611185E1,4.954688770E0,4.157429859E0,2.430000067E0,3.072000122E2,4.722311974E0,3.908135414E0
9.200645517E0,5.235612319E1,4.954656000E0,4.632402705E0,2.539999962E0,2.958999939E2,4.665542126E0,4.030088425E0
1.020275979E1,5.235612532E1,4.954620730E0,4.164734034E0,2.220000029E0,2.711000061E2,4.434137344E0,3.933764935E0
1.120616130E1,5.235611030E1,4.954575730E0,4.630323893E0,2.140000105E0,2.586000061E2,4.513747692E0,3.815653324E0
1.220572411E1,5.235610371E1,4.954544450E0,5.016160724E0,2.759999990E0,2.556999969E2,4.890947342E0,3.907727957E0
1.320220411E1,5.235609097E1,4.954508080E0,4.269417499E0,2.980000019E0,2.456999969E2,4.499287605E0,4.017879963E0
1.420399557E1,5.235606588E1,4.954469830E0,5.090770829E0,3.160000086E0,2.421000061E2,4.525779247E0,4.080009937E0
1.520225541E1,5.235605855E1,4.954435260E0,4.831096897E0,3.019999981E0,2.375000000E2,5.040746212E0,4.515055656E0
1.620228968E1,5.235603357E1,4.954397410E0,5.038497978E0,4.090000153E0,2.326999969E2,5.308814526E0,4.662058830E0
1.720743551E1,5.235600874E1,4.954341440E0,4.486367341E0,4.269999981E0,2.321999969E2,6.083743572E0,4.830514908E0
1.820194036E1,5.235598963E1,4.954291130E0,4.172468332E0,3.990000010E0,2.321000061E2,6.653250694E0,4.840858459E0
1.920366484E1,5.235595356E1,4.954270000E0,4.576457495E0,4.019999981E0,2.236999969E2,5.976237774E0,5.052785397E0
2.020037588E1,5.235593752E1,4.954225790E0,6.181267549E0,4.269999981E0,2.223999939E2,5.704535961E0,4.899242401E0
2.120577676E1,5.235591997E1,4.954172170E0,5.836301961E0,4.199999809E0,2.333000031E2,6.541395664E0,5.206811428E0
2.220527541E1,5.235589584E1,4.954128430E0,8.256835625E0,4.070000172E0,2.178000031E2,5.432577610E0,4.836421013E0
2.320369218E1,5.235586015E1,4.954083850E0,7.447066692E0,4.880000114E0,2.220000000E2,5.464818001E0,5.018918991E0
2.420384864E1,5.235582485E1,4.954034770E0,7.222805975E0,4.880000114E0,2.201999969E2,6.398496628E0,5.319267273E0
2.520512546E1,5.235578888E1,4.953989140E0,5.933177640E0,4.769999981E0,2.200000000E2,7.348653316E0,5.257751465E0
2.620064134E1,5.235575967E1,4.953940660E0,5.864931806E0,4.579999924E0,2.246000061E2,7.039494991E0,5.322978973E0
2.720544681E1,5.235573640E1,4.953893340E0,6.365298618E0,4.260000229E0,2.285000000E2,7.879035473E0,5.423289299E0
2.820040322E1,5.235571252E1,4.953839450E0,5.218993293E0,4.690000057E0,2.331000061E2,8.312506676E0,5.495371819E0
2.920065916E1,5.235569008E1,4.953783260E0,6.707149143E0,4.309999943E0,2.321000061E2,9.090726852E0,5.746226788E0
3.020387270E1,5.235566961E1,4.953741080E0,8.305423300E0,3.970000029E0,2.323000031E2,6.924261093E0,5.645567417E0
3.120186035E1,5.235564938E1,4.953700640E0,1.046394050E1,3.829999924E0,2.328000031E2,6.599825859E0,5.541929245E0
3.220159566E1,5.235562739E1,4.953659630E0,1.182582401E1,3.839999914E0,2.323000031E2,6.914643764E0,5.637189865E0
3.320414561E1,5.235560567E1,4.953613860E0,1.401131355E1,4.389999866E0,2.333999939E2,5.859263897E0,5.399823189E0
3.420662540E1,5.235557909E1,4.953561550E0,1.287220744E1,4.570000172E0,2.348000031E2,6.066729546E0,5.721261501E0
3.520058249E1,5.235555334E1,4.953508770E0,1.402069990E1,4.309999943E0,2.346000061E2,6.089427471E0,5.937053204E0
3.620174009E1,5.235552550E1,4.953459310E0,1.414416689E1,4.619999886E0,2.323999939E2,6.179124832E0,6.165626526E0
3.720191191E1,5.235549556E1,4.953412130E0,1.376043004E1,4.349999905E0,2.283999939E2,6.137522697E0,6.283045769E0
3.820667629E1,5.235546832E1,4.953370110E0,1.335082112E1,3.759999990E0,2.255000000E2,6.451116562E0,6.397385120E0
3.920651509E1,5.235544201E1,4.953332660E0,1.363561312E1,3.859999895E0,2.261999969E2,6.331564426E0,6.325791359E0
4.020379457E1,5.235540934E1,4.953288100E0,1.470225232E1,4.460000038E0,2.273999939E2,5.978148937E0,6.340591908E0
4.120264728E1,5.235537506E1,4.953243250E0,1.458083974E1,4.340000153E0,2.265000000E2,6.092473030E0,6.587055683E0
4.220327702E1,5.235534467E1,4.953198380E0,1.426607332E1,4.219999790E0,2.241000061E2,6.409501076E0,6.829536438E0
4.320500384E1,5.235531449E1,4.953152160E0,1.510126980E1,4.449999809E0,2.265000000E2,6.106467247E0,6.664565086E0
4.420277733E1,5.235528608E1,4.953104760E0,1.521069908E1,4.260000229E0,2.276999969E2,6.619341373E0,6.918816566E0
4.520592847E1,5.235526136E1,4.953059260E0,1.542401654E1,4.110000134E0,2.305000000E2,7.424433231E0,7.354603291E0
4.620696816E1,5.235523900E1,4.953016270E0,1.690693110E1,3.819999933E0,2.320000000E2,8.320882797E0,7.641573429E0
4.720072680E1,5.235521645E1,4.952972360E0,1.661817738E1,3.950000048E0,2.330000000E2,8.805060387E0,7.766325951E0
4.820234696E1,5.235518865E1,4.952930500E0,1.702875818E1,4.099999905E0,2.316000061E2,9.090151787E0,7.696702003E0
4.920440170E1,5.235516071E1,4.952891740E0,1.893036840E1,3.910000086E0,2.295000000E2,1.098024845E1,8.192358971E0
5.020279014E1,5.235513567E1,4.952856090E0,1.961280730E1,3.289999962E0,2.276999969E2,1.157971764E1,8.570670128E0
5.120476915E1,5.235510679E1,4.952812160E0,2.056708655E1,4.340000153E0,2.333000031E2,9.629175186E0,8.734061241E0
5.220325498E1,5.235508748E1,4.952754890E0,1.997242154E1,3.940000057E0,2.416000061E2,1.042651749E1,9.082242966E0
5.320129769E1,5.235508081E1,4.952687880E0,1.893471472E1,4.250000000E0,2.508999939E2,1.015289211E1,8.950616837E0
5.420674904E1,5.235506943E1,4.952624970E0,2.101815834E1,4.079999924E0,2.433999939E2,8.432757378E0,8.101413727E0
5.520676701E1,5.235504903E1,4.952566270E0,2.092648168E1,4.369999886E0,2.383999939E2,7.604316235E0,7.434245110E0
5.620678420E1,5.235502482E1,4.952508620E0,1.961354775E1,4.230000019E0,2.326999969E2,7.189341545E0,6.929806232E0
5.720240321E1,5.235499611E1,4.952453870E0,1.800953243E1,4.440000057E0,2.310000000E2,6.926523209E0,6.642882347E0
5.820295336E1,5.235495966E1,4.952399060E0,1.513347236E1,4.670000076E0,2.311999969E2,6.504335880E0,6.288188457E0
5.920047258E1,5.235492608E1,4.952345280E0,1.725875974E1,4.500000000E0,2.293999939E2,6.568443775E0,6.175110817E0
