Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Datetime
0.025771272,-0.4400743842,-1.721017122,-0.1930734813,2024-06-05 20:42:58.025771
0.066251324,-0.7947970033,-0.8860075474,-0.6062507629,2024-06-05 20:42:58.066251
0.151289918,-0.7170349956,-1.529541492,-0.1486000121,2024-06-05 20:42:58.151290
0.191764189,-0.1821548492,-1.663228154,-0.06284874678,2024-06-05 20:42:58.191764
0.232238147,-0.3627118468,-1.746582747,-0.02050573565,2024-06-05 20:42:58.232238
0.272726637,-0.4395417869,-1.549514532,-0.07376738638,2024-06-05 20:42:58.272727
0.313206741,-0.5857450366,-0.9153015018,-0.2266283184,2024-06-05 20:42:58.313207
0.353689918,-0.4701672196,-0.3125127256,0.2669740319,2024-06-05 20:42:58.353690
0.394162574,-0.116643019,0.2591179311,1.148054838,2024-06-05 20:42:58.394163
0.434654866,-0.1941387206,0.2990641594,1.603308797,2024-06-05 20:42:58.434655
0.475135022,-0.2154433727,-0.5370106101,1.398118377,2024-06-05 20:42:58.475135
0.515611406,-0.4627105892,0.07243584841,1.644054055,2024-06-05 20:42:58.515611
0.556113542,0.4920045137,-1.151516914,2.085459948,2024-06-05 20:42:58.556114
0.596614531,1.262301087,0.6762897968,1.42208612,2024-06-05 20:42:58.596615
0.637094844,1.107842326,0.7553833723,0.2319544852,2024-06-05 20:42:58.637095
0.677566667,0.5681686401,1.174286246,0.6453980803,2024-06-05 20:42:58.677567
0.718026875,-0.07216953486,1.146590233,1.141130924,2024-06-05 20:42:58.718027
0.758495885,-0.06737598777,1.287866712,1.065765619,2024-06-05 20:42:58.758496
0.798975625,-0.1627143472,1.920215726,0.9829437733,2024-06-05 20:42:58.798976
0.83944151,-0.6262238622,2.23073101,1.287334085,2024-06-05 20:42:58.839442
0.879910729,-0.9260869622,3.547092915,2.258560419,2024-06-05 20:42:58.879911
0.920429479,-1.558968544,4.805399418,3.028058052,2024-06-05 20:42:58.920429
0.960938542,-0.863504529,2.951228142,2.886382103,2024-06-05 20:42:58.960939
1.001406094,-2.401301622,1.67587781,2.489715815,2024-06-05 20:42:59.001406
1.041876875,-2.696637392,0.2463351339,1.539927483,2024-06-05 20:42:59.041877
1.082337552,-2.147642851,-0.3769593239,0.6784203053,2024-06-05 20:42:59.082338
1.122815104,-1.553376079,0.6186341047,-0.652854681,2024-06-05 20:42:59.122815
1.163285937,-1.077749491,1.415694714,-0.394269377,2024-06-05 20:42:59.163286
1.203743958,-1.238599658,0.7668346167,-0.5447335243,2024-06-05 20:42:59.203744
1.244243125,-1.930601716,0.9404675961,-0.6264901757,2024-06-05 20:42:59.244243
1.284743333,-1.491592526,0.3946688473,-0.4999937415,2024-06-05 20:42:59.284743
1.325236146,-0.6930672526,0.7330134511,-0.7908023596,2024-06-05 20:42:59.325236
1.365699635,-0.2489982247,2.532325268,-0.3687037826,2024-06-05 20:42:59.365700
1.406181562,0.5143743753,3.007685423,0.8995893002,2024-06-05 20:42:59.406182
1.446670364,0.2026605755,2.015021324,0.37296471,2024-06-05 20:42:59.446670
1.487149948,0.7937317491,0.7876066566,0.3764267266,2024-06-05 20:42:59.487150
1.527621823,0.4416722357,-0.4509930313,0.7165023685,2024-06-05 20:42:59.527622
1.568097552,-0.4885424972,-0.4616453648,0.4073184729,2024-06-05 20:42:59.568098
1.608542292,-0.5676360726,-1.538862228,0.339409858,2024-06-05 20:42:59.608542
1.649049792,-0.5511249304,-1.627542853,0.8649691939,2024-06-05 20:42:59.649050
1.689555885,-1.291861296,-1.364696622,0.3940030634,2024-06-05 20:42:59.689556
1.730049167,-1.849377632,-2.774532557,0.634745717,2024-06-05 20:42:59.730049
1.770530312,-2.564814806,-2.633389235,0.8483249545,2024-06-05 20:42:59.770530
1.81100776,-2.649234533,-2.021279573,0.5657718778,2024-06-05 20:42:59.811008
1.851459583,-2.376534939,-2.149640322,0.6121095419,2024-06-05 20:42:59.851460
1.891950677,-0.8366073966,-0.7608426809,0.7151708007,2024-06-05 20:42:59.891951
1.932478646,-0.5649729371,0.2985315621,0.7966611385,2024-06-05 20:42:59.932479
1.972921458,-0.5197005868,0.4862788618,0.6680342555,2024-06-05 20:42:59.972921
2.013372292,-0.1174419373,0.8382052183,0.2388785034,2024-06-05 20:43:00.013372
2.053852344,0.2850829959,1.404509783,-0.1086537689,2024-06-05 20:43:00.053852
2.094325417,1.001052737,0.3936035931,0.4659062922,2024-06-05 20:43:00.094325
2.134868021,0.9355409145,0.1501978636,0.4224980474,2024-06-05 20:43:00.134868
2.175341042,0.3079854846,0.02063889056,-0.1190397888,2024-06-05 20:43:00.175341
2.215787708,0.3740299344,-0.1545919478,-0.1858831644,2024-06-05 20:43:00.215788
2.256269375,0.4011933804,-0.5133091807,-0.2995967865,2024-06-05 20:43:00.256269
2.296757604,0.3300890923,-0.3881442845,-0.09001219273,2024-06-05 20:43:00.296758
2.337259114,0.5862776041,-0.4296883643,-0.01038602181,2024-06-05 20:43:00.337259
2.377739792,0.6904041767,-0.6154384017,-0.6091801524,2024-06-05 20:43:00.377740
2.418195364,0.6848116517,-0.9187634587,-0.511977613,2024-06-05 20:43:00.418195
2.458692552,0.8350095153,-0.8463276625,0.04260931909,2024-06-05 20:43:00.458693
2.499152917,0.2215684652,-1.253646135,-0.07483261824,2024-06-05 20:43:00.499153
2.539647812,-0.04553871229,-0.5271571875,-0.3979976773,2024-06-05 20:43:00.539648
2.580103177,0.5157059431,-0.121836029,-0.2684387267,2024-06-05 20:43:00.580103
2.620583802,0.7340787053,-0.4736292362,-0.5543206334,2024-06-05 20:43:00.620584
2.661068542,0.9616391063,-0.07762885839,-0.802786231,2024-06-05 20:43:00.661069
2.701569427,0.6912030578,0.1744319052,-0.7018554211,2024-06-05 20:43:00.701569
2.742065364,0.4688356817,0.3802881837,-0.7372744083,2024-06-05 20:43:00.742065
2.782542917,0.480286926,0.9505873322,-0.9957265854,2024-06-05 20:43:00.782543
2.823014219,0.5830819011,1.09812212,-1.241262794,2024-06-05 20:43:00.823014
2.863494531,0.7583127618,1.035007,-0.9856068492,2024-06-05 20:43:00.863495
2.903974896,1.229012609,1.760830164,-1.398917317,2024-06-05 20:43:00.903975
2.944455312,0.8955946565,2.261090279,-2.234592676,2024-06-05 20:43:00.944455
2.984922812,0.8275529146,2.368678808,-2.297441244,2024-06-05 20:43:00.984923
3.025394427,0.09933298081,2.059494972,-2.334191799,2024-06-05 20:43:01.025394
3.065909271,-0.2700365782,1.32115531,-1.603042603,2024-06-05 20:43:01.065909
3.10635125,-0.8941299915,1.372819066,-1.439129829,2024-06-05 20:43:01.106351
3.146881927,-0.609446466,3.002093077,-2.56135273,2024-06-05 20:43:01.146882
3.187314844,-0.9686962962,2.242714882,-1.79877913,2024-06-05 20:43:01.187315
3.227795208,-3.29729557,1.784531593,-0.8169005513,2024-06-05 20:43:01.227795
3.268284635,-3.87664938,2.537917614,-0.7902697325,2024-06-05 20:43:01.268285
3.308742708,0.414242506,2.270144701,-1.274284959,2024-06-05 20:43:01.308743
3.349224167,1.729805231,-0.8055824637,1.254844546,2024-06-05 20:43:01.349224
3.389705,1.351514339,0.5938674212,0.2098509073,2024-06-05 20:43:01.389705
3.430194114,1.786262631,0.05752258375,1.011438727,2024-06-05 20:43:01.430194
3.470674531,2.12940073,-1.047390342,1.499448657,2024-06-05 20:43:01.470675
3.511134948,2.117683172,0.4676373005,0.211981371,2024-06-05 20:43:01.511135
3.551639479,1.193060994,1.041398406,-0.7700303197,2024-06-05 20:43:01.551639
3.592107604,-0.07296846062,-1.911560655,1.583602071,2024-06-05 20:43:01.592108
3.632601719,-0.6493926644,0.6951977015,-1.556838036,2024-06-05 20:43:01.632602
3.673130833,0.8527190089,2.423271894,-2.678262234,2024-06-05 20:43:01.673131
3.713612239,1.100385666,-0.9941287041,-1.264431596,2024-06-05 20:43:01.713612
3.754093437,0.6286206245,0.2242315561,-0.5916038156,2024-06-05 20:43:01.754093
3.794502083,0.05352795869,0.7990579009,-0.05539211631,2024-06-05 20:43:01.794502
3.834983594,-0.008788172156,-0.7802832127,-0.2207695395,2024-06-05 20:43:01.834984
3.875466667,-0.6027887464,-1.553509235,-1.386667132,2024-06-05 20:43:01.875467
3.915969271,-0.2897433937,-1.930734873,-1.449782133,2024-06-05 20:43:01.915969
3.95647651,-0.3422061205,0.2987978756,-0.7577801347,2024-06-05 20:43:01.956477
3.996938594,-0.2593842447,0.04473978654,-0.04260931909,2024-06-05 20:43:01.996939
4.037429271,-0.4888088107,1.297720075,-0.2612484097,2024-06-05 20:43:02.037429
4.077900312,-0.02796236612,0.4623111188,0.01384802908,2024-06-05 20:43:02.077900
4.118365885,0.3577851355,-0.5026568174,-0.3264939189,2024-06-05 20:43:02.118366
4.158850729,0.4967980385,0.071104303,-1.234871387,2024-06-05 20:43:02.158851
4.199320417,0.09693620354,0.1339530498,-0.7588453889,2024-06-05 20:43:02.199320
4.239814427,-0.2918738425,0.1336867511,-0.7484593391,2024-06-05 20:43:02.239814
4.280309427,-0.4853467941,0.240476355,-0.7186328173,2024-06-05 20:43:02.280309
4.320774219,-0.5804188251,-0.1750976741,-1.004781008,2024-06-05 20:43:02.320774
4.361259635,-0.2292914093,0.1256974936,-0.5002600551,2024-06-05 20:43:02.361260
4.401718958,0.04367455468,0.9103747606,0.09001219273,2024-06-05 20:43:02.401719
4.442218958,0.1949376464,-0.6141068339,-0.9125052094,2024-06-05 20:43:02.442219
4.482695208,0.7114425302,-3.605547428,-1.640591979,2024-06-05 20:43:02.482695
4.523167656,0.9864057899,-2.923132658,-0.04553871229,2024-06-05 20:43:02.523168
4.563647812,0.4784227908,-1.532470822,-0.6752246022,2024-06-05 20:43:02.563648
4.604128021,0.5002600551,0.3805544972,-0.6318163276,2024-06-05 20:43:02.604128
4.644610469,0.1970681101,-1.276015997,0.3700353205,2024-06-05 20:43:02.644610
4.685060312,0.941666007,-0.6372756362,0.3495295942,2024-06-05 20:43:02.685060
4.725540677,0.4880098701,0.5214315653,0.3292901516,2024-06-05 20:43:02.725541
4.766052448,0.6744256616,0.6611102223,-0.263112545,2024-06-05 20:43:02.766052
4.806550417,0.1501978636,2.44004941,-0.6690995097,2024-06-05 20:43:02.806550
4.847015156,0.1051917598,2.09198451,1.754305601,2024-06-05 20:43:02.847015
4.88749125,0.2557890713,2.592244625,1.966020703,2024-06-05 20:43:02.887491
4.927940156,0.1113168523,0.8030525446,0.3319532275,2024-06-05 20:43:02.927940
4.968449792,0.8617734909,-2.207429171,-0.9850742221,2024-06-05 20:43:02.968450
5.008932708,1.047390342,-1.61768949,-0.8837439418,2024-06-05 20:43:03.008933
5.049400521,0.8838770986,-0.7416685224,0.7306166887,2024-06-05 20:43:03.049401
5.08988651,0.9150351882,-0.05153064802,0.8467270732,2024-06-05 20:43:03.089887
5.130366562,1.049254537,-0.1695052087,-0.2492645234,2024-06-05 20:43:03.130367
5.170872917,0.3737636507,0.3914731443,0.07989247888,2024-06-05 20:43:03.170873
5.211345469,0.1033276021,-0.1047922969,0.4589822888,2024-06-05 20:43:03.211345
5.251822083,-0.2591179311,0.008921326138,0.2202369273,2024-06-05 20:43:03.251822
5.292309531,-0.4480636418,0.4681699276,0.2173075378,2024-06-05 20:43:03.292310
5.332791667,-0.6765561104,1.531538725,-0.8784177899,2024-06-05 20:43:03.332792
5.373272031,-1.047922969,2.031532526,-1.762028575,2024-06-05 20:43:03.373272
5.413752448,-0.2183727771,1.164432883,-0.7159697413,2024-06-05 20:43:03.413752
5.454176198,-0.1685731262,0.6322157979,-0.284417212,2024-06-05 20:43:03.454176
5.494665677,-0.8097102642,0.4772244096,-0.8248898387,2024-06-05 20:43:03.494666
5.535259375,-0.6517894268,-0.5681686401,-0.2777595222,2024-06-05 20:43:03.535259
5.57563875,-1.423417687,0.4420717061,-0.2471340597,2024-06-05 20:43:03.575639
5.616160833,-0.394269377,0.7090457082,-0.77748698,2024-06-05 20:43:03.616161
5.656609219,-0.6171693802,0.2439383566,-0.7484593391,2024-06-05 20:43:03.656609
5.697073333,-0.8081123829,0.6893389225,-0.4035901725,2024-06-05 20:43:03.697073
5.737578437,-1.033009768,1.381873488,0.1826874614,2024-06-05 20:43:03.737578
5.778075156,-0.5985277891,1.406107545,-0.2833519876,2024-06-05 20:43:03.778075
5.818555521,-1.937525749,1.750976801,0.9270190597,2024-06-05 20:43:03.818556
5.858998073,-1.120092511,-1.013302922,-0.1379476786,2024-06-05 20:43:03.858998
5.899527604,-0.4379439354,0.528621912,-0.9818785191,2024-06-05 20:43:03.899528
5.939958073,-0.08042509109,0.2215684652,-2.246576548,2024-06-05 20:43:03.939958
5.980465312,0.14993155,0.01105179265,-3.507013321,2024-06-05 20:43:03.980465
6.020931302,0.6816160083,0.2221010923,-2.298772812,2024-06-05 20:43:04.020931
6.061403437,1.515693426,0.4359466136,0.7332797647,2024-06-05 20:43:04.061403
6.101916875,-0.3752283454,0.2322207987,1.695717812,2024-06-05 20:43:04.101917
6.142359844,-0.5388747454,0.352858454,1.731669426,2024-06-05 20:43:04.142360
6.182832292,0.208785668,-0.01797580719,0.03754946589,2024-06-05 20:43:04.182832
6.223312604,0.02796236612,0.4165061116,-0.02130465955,2024-06-05 20:43:04.223313
6.263791979,-0.0074566314,-0.1521951705,-0.03648423031,2024-06-05 20:43:04.263792
6.304271771,0.1137136221,-0.01611164957,0.04207670316,2024-06-05 20:43:04.304272
6.344767239,0.005858781748,-0.09600412846,0.1086537689,2024-06-05 20:43:04.344767
6.385242396,0.06870753318,-0.1567224115,0.1035939083,2024-06-05 20:43:04.385242
6.42572625,-0.009320789017,-0.1902772486,0.1595186442,2024-06-05 20:43:04.425726
6.466206146,0.1198387146,-0.1575213373,0.1139799356,2024-06-05 20:43:04.466206
6.506698333,0.09587097168,-0.2070546746,-0.1999974996,2024-06-05 20:43:04.506698
6.547198177,-0.02183727734,-0.1394123733,-0.2892107666,2024-06-05 20:43:04.547198
6.587658385,-0.1185071766,-0.146070078,-0.3038577139,2024-06-05 20:43:04.587658
6.628131927,-0.3027924895,-0.2067883611,-0.2327534109,2024-06-05 20:43:04.628132
6.668624479,-0.4621779919,-0.4467321038,-0.3549889028,2024-06-05 20:43:04.668624
6.709064375,-0.3366136253,-0.5050535798,-0.2138455361,2024-06-05 20:43:04.709064
6.749594167,-0.1938724071,-0.3117138147,0.05885412544,2024-06-05 20:43:04.749594
6.790052344,-0.1789591461,-0.07603100687,0.1720351279,2024-06-05 20:43:04.790052
6.830556667,-0.006391398143,-0.01318225823,0.1707035899,2024-06-05 20:43:04.830557
6.871032812,0.07935985923,0.01078548469,0.2197043151,2024-06-05 20:43:04.871033
6.911508437,0.172567755,-0.1804238409,0.270169735,2024-06-05 20:43:04.911508
6.951973385,0.3111811876,-0.02489982173,0.02902759984,2024-06-05 20:43:04.951973
6.992467812,0.3002625704,0.04047885537,-0.0977351293,2024-06-05 20:43:04.992468
7.032958958,0.1270290315,0.09161003679,-0.1398118287,2024-06-05 20:43:05.032959
