"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.242164333E0,3.216810608E0,-8.534502411E0,4.111500092E0
2.281906333E0,3.812122650E0,-1.017808456E1,-3.860023041E0
2.321648833E0,3.273692322E0,-9.368118896E0,1.996997223E0
2.361391833E0,3.702101440E0,-6.601122894E0,-7.229965210E-1
2.401133833E0,4.483925629E0,-7.049590302E0,7.761360168E-1
2.440875833E0,2.098635864E0,-4.341122589E0,1.406475220E0
2.480617833E0,2.279609528E0,-1.010174332E1,7.892337799E0
2.520360833E0,1.737287292E0,-4.029470673E0,1.775308228E-1
2.560102833E0,3.210823059E-1,-2.955603790E0,4.267625427E-1
2.599844833E0,2.396666107E0,-3.027888474E1,1.716031494E0
2.639587833E0,5.626050568E0,-2.622815826E1,6.283034363E0
2.679329833E0,-3.256178741E0,-5.619763641E0,-6.457571411E-1
2.719071833E0,-4.950056305E0,-6.356830902E0,-4.151017914E0
2.758814833E0,-4.839885406E0,-8.674611053E0,-5.111869812E-1
2.798556833E0,-2.523153076E0,-8.813971252E0,1.982477417E0
2.838298833E0,-1.393302612E0,-9.842781830E0,9.132508850E-1
2.878041833E0,-9.550140381E-1,-9.938732300E0,-4.409829712E-1
2.917783833E0,-1.590442657E0,-9.376950531E0,-6.402186584E-1
2.957525833E0,-3.228336639E0,-1.033076706E1,2.760260010E-1
2.997267833E0,-2.498005371E0,-9.155411224E0,6.122268677E-1
3.037010833E0,-1.841919708E0,-9.850715332E0,-1.339714050E-1
3.076752833E0,-7.830216980E-1,-9.477241974E0,-7.030879211E-1
3.116494833E0,1.079255676E-1,-9.859247589E0,-2.779719543E-1
3.156237833E0,-2.847079468E-1,-9.832004242E0,-7.253915405E-1
3.195979833E0,-9.297166443E-1,-9.053922272E0,5.075944519E-1
3.235721833E0,-9.360035706E-1,-9.713151398E0,3.013233948E-1
3.275463833E0,-4.026626587E-1,-8.876241760E0,4.366419983E-1
3.315206833E0,-1.441801758E0,-1.040411453E1,-3.143463135E-1
3.354948083E0,-1.542991333E0,-1.009874954E1,1.823208618E-1
3.394690083E0,-1.022373962E0,-9.728719025E0,8.051756287E-1
3.434433083E0,-7.970924377E-1,-1.005444168E1,9.713301086E-1
3.474175083E0,-8.984317017E-1,-9.795779572E0,1.139131165E-1
3.513917083E0,-1.702260132E0,-1.064780777E1,-9.214837646E-1
3.553659083E0,-1.691632233E0,-9.743238831E0,-7.610174561E-1
3.593402083E0,-2.077380066E0,-1.017149826E1,6.030958557E-1
3.633144083E0,-2.395019531E-2,-8.891510010E0,1.281784515E0
3.672886083E0,9.560618591E-1,-9.751771088E0,-4.152365112E-1
3.712629083E0,8.551716614E-1,-9.807305603E0,-4.858895874E-1
3.752371083E0,3.999682617E-1,-9.925260315E0,8.508306885E-1
3.792113083E0,-1.123264160E0,-1.122770187E1,-1.913021851E-1
3.831855083E0,-3.104843445E0,-1.200234100E1,-1.556163940E0
3.871598083E0,-3.459905090E0,-9.734706573E0,1.641037445E0
3.911340083E0,-1.683399353E0,-8.049061890E0,2.934497681E0
3.951082083E0,1.406475220E0,-5.203628998E0,5.370831299E-1
3.990825083E0,9.385482788E-1,-6.876250763E0,1.010249176E0
4.030567083E0,-2.141596527E0,-1.245529907E1,-2.357597351E-1
4.070309083E0,-3.997287598E0,-1.163949554E1,-2.261796570E-1
4.110051083E0,-4.107009430E0,-9.254804535E0,1.660646667E0
4.149794083E0,-1.410367126E0,-9.333540802E0,1.300345917E0
4.189536083E0,-8.382568359E-1,-9.846973114E0,6.466552734E-1
4.229278083E0,-1.964814148E0,-9.858648834E0,1.534758453E0
4.269021083E0,-1.885179749E0,-1.025307861E1,1.002315674E0
4.308763083E0,-1.565145264E0,-8.350834351E0,7.327262878E-1
4.348505875E0,-2.497107239E0,-9.929750977E0,9.524693298E-1
4.388247875E0,-2.945574646E0,-1.019484970E1,7.390132141E-1
4.427990875E0,-3.111429749E0,-9.776170349E0,1.721420288E-2
4.467732875E0,-2.484084320E0,-9.258546753E0,3.888912964E-1
