"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.132328260E1,5.193108519E1,4.455205076E0,2.765339362E-1,4.130860801E0,1.557076157E2,4.738777317E0,3.371724569E0
4.232326865E1,5.193105063E1,4.455236508E0,6.369443452E-1,4.272317694E0,1.526600794E2,4.738238936E0,3.372481108E0
4.332325554E1,5.193101769E1,4.455267278E0,7.082988881E-1,4.216093907E0,1.532154155E2,4.740784706E0,3.368901513E0
4.432324100E1,5.193098089E1,4.455293228E0,-6.613308284E-2,4.265112570E0,1.527982656E2,4.740555241E0,3.369224398E0
4.532322752E1,5.193094699E1,4.455322984E0,-2.569258818E-1,4.281695329E0,1.534569766E2,4.731916563E0,3.381346281E0
4.632321286E1,5.193090728E1,4.455363018E0,-2.879892495E-1,4.778147586E0,1.489370969E2,4.735821012E0,3.375875646E0
4.732319880E1,5.193087684E1,4.455392523E0,-2.375108581E-1,4.523407616E0,1.470918283E2,4.732199642E0,3.380950101E0
4.832318473E1,5.193083945E1,4.455418381E0,9.413268212E-1,4.489065516E0,1.515234428E2,4.731926921E0,3.381331786E0
4.932316887E1,5.193080473E1,4.455452406E0,8.630238324E-1,4.526076036E0,1.495791597E2,4.736622774E0,3.374750617E0
5.032315326E1,5.193076307E1,4.455484361E0,7.867260464E-2,4.872090092E0,1.517471562E2,4.734565649E0,3.377636030E0
5.132313812E1,5.193072773E1,4.455512230E0,1.892253291E-1,4.665631777E0,1.527673351E2,4.735568358E0,3.376230051E0
5.232312298E1,5.193068960E1,4.455532556E0,8.970453292E-1,4.600325299E0,1.559541065E2,4.743343170E0,3.365298293E0
5.332310820E1,5.193065984E1,4.455583838E0,1.227798994E0,4.580496780E0,1.442706265E2,4.741852071E0,3.367398992E0
5.432309222E1,5.193061437E1,4.455612725E0,-9.008438187E-1,4.908009157E0,1.496141037E2,4.739691601E0,3.370439224E0
5.532307625E1,5.193057960E1,4.455636233E0,6.339756632E-1,4.714819302E0,1.503478612E2,4.737349624E0,3.373730216E0
5.632306099E1,5.193054626E1,4.455677349E0,-2.422714122E-1,4.676191676E0,1.465864146E2,4.737647438E0,3.373311990E0
5.732304561E1,5.193050572E1,4.455707376E0,-3.174285982E-1,4.862234996E0,1.487189356E2,4.738417906E0,3.372229645E0
5.832302916E1,5.193047372E1,4.455727315E0,6.462784410E-1,4.284945237E0,1.540273739E2,4.741624798E0,3.367719006E0
5.932301366E1,5.193044219E1,4.455775796E0,3.339948133E-1,4.458335943E0,1.438555741E2,4.742019877E0,3.367162681E0
6.032299709E1,5.193040756E1,4.455793930E0,7.289674189E-1,4.194639021E0,1.519657923E2,4.738897374E0,3.371555829E0
6.132298052E1,5.193037026E1,4.455805488E0,4.840665981E-1,4.148415117E0,1.620976824E2,4.739495456E0,3.370715036E0
6.232296443E1,5.193033463E1,4.455851620E0,-8.641074691E-2,4.506206634E0,1.518935656E2,4.739298249E0,3.370992308E0
6.332294881E1,5.193030158E1,4.455891376E0,-3.765363423E-1,4.514880314E0,1.479625403E2,4.744344191E0,3.363886922E0
6.432293236E1,5.193027103E1,4.455917499E0,2.976649767E-1,4.222597240E0,1.464175260E2,4.753522534E0,3.350904438E0
6.532291567E1,5.193023333E1,4.455930935E0,-5.635470217E-1,4.158209828E0,1.574908147E2,4.747080611E0,3.360024213E0
6.632289970E1,5.193020238E1,4.455975043E0,-7.819932913E-1,4.292873001E0,1.465685841E2,4.751932518E0,3.353158865E0
6.732288384E1,5.193016936E1,4.456009830E0,-2.304681409E-1,4.392567874E0,1.469959240E2,4.747973855E0,3.358761872E0
6.832286644E1,5.193013632E1,4.456026002E0,-7.285425877E-1,4.076363587E0,1.535325464E2,4.744964319E0,3.363012139E0
6.932285011E1,5.193009413E1,4.456043044E0,-2.214252101E-1,4.483573708E0,1.574577466E2,4.743519807E0,3.365049313E0
7.032283342E1,5.193005774E1,4.456068182E0,1.652258402E-1,4.435679695E0,1.585542504E2,4.738452820E0,3.372180587E0
7.132281625E1,5.193001809E1,4.456098041E0,-1.535821678E-1,4.663626645E0,1.564147123E2,4.761443085E0,3.339640217E0
7.232280016E1,5.192998785E1,4.456132864E0,-2.242573332E-1,4.365729609E0,1.494665521E2,4.754276368E0,3.349834809E0
7.332278383E1,5.192995467E1,4.456170939E0,-4.641084028E-1,4.381224233E0,1.457145957E2,4.763615125E0,3.336541319E0
7.432276678E1,5.192992869E1,4.456195764E0,8.475801721E-2,3.852075158E0,1.467128654E2,4.752729812E0,3.352028694E0
7.532275033E1,5.192987924E1,4.456201357E0,7.989071617E-1,4.528100860E0,1.596219717E2,4.744073566E0,3.364268573E0
7.632273304E1,5.192984249E1,4.456211690E0,2.794265747E-1,4.321450696E0,1.637633289E2,4.748275622E0,3.358335250E0
7.732271707E1,5.192980557E1,4.456216047E0,1.130473688E-1,4.311587225E0,1.689121945E2,4.772204593E0,3.324244328E0
7.832269895E1,5.192977064E1,4.456228682E0,-4.731315654E-2,4.190618596E0,1.685686673E2,4.797236735E0,3.288017144E0
7.932268345E1,5.192975121E1,4.456260541E0,2.808987005E-1,3.430723762E0,1.523944284E2,4.838132943E0,3.227538792E0
8.032266593E1,5.192974083E1,4.456278068E0,-6.500686426E-2,2.271491507E0,1.388544365E2,4.771514472E0,3.325234831E0
8.132264936E1,5.192972997E1,4.456301384E0,-5.051427521E-3,2.057357140E0,1.371746690E2,4.786464726E0,3.303678626E0
8.232263231E1,5.192973891E1,4.456414239E0,3.204425899E-1,3.530319723E0,1.044453576E2,4.798950454E0,3.285515420E0
8.332261848E1,5.192975330E1,4.456481780E0,6.819639280E-1,3.921790100E0,9.053146547E1,4.807731852E0,3.272652054E0
8.432259786E1,5.192978352E1,4.456548109E0,3.044313593E-1,4.180390975E0,7.428221443E1,4.772195797E0,3.324256956E0
8.532258177E1,5.192979154E1,4.456590643E0,4.364586454E-1,3.520229883E0,7.382061988E1,4.768389246E0,3.329714857E0
8.632256424E1,5.192980243E1,4.456651138E0,8.400480542E-1,3.826403245E0,7.409984000E1,4.772020876E0,3.324508052E0
8.732254755E1,5.192982341E1,4.456712869E0,7.430906370E-1,4.237866569E0,6.652755786E1,4.773571429E0,3.322281271E0
8.832253039E1,5.192984604E1,4.456758861E0,7.446043957E-1,4.054428198E0,6.031521332E1,4.776198110E0,3.318503978E0
8.932251358E1,5.192985799E1,4.456814730E0,1.251026045E0,4.143659344E0,6.693454571E1,4.777343140E0,3.316855371E0
9.032249582E1,5.192987224E1,4.456876209E0,1.297399518E0,4.364450814E0,6.676042427E1,4.773909677E0,3.321795212E0
9.132247972E1,5.192989088E1,4.456930462E0,1.375214174E0,4.470513380E0,6.245222182E1,4.780166290E0,3.312785425E0
9.232246256E1,5.192990733E1,4.456982407E0,1.467079110E0,4.216950222E0,6.287910921E1,4.784799589E0,3.306089824E0
9.332244539E1,5.192992975E1,4.457029466E0,1.340683632E0,4.161744285E0,5.906897959E1,4.785779728E0,3.304670850E0
9.432242787E1,5.192994574E1,4.457079226E0,1.540617006E0,4.023940067E0,5.988697294E1,4.791125287E0,3.296916061E0
9.532241154E1,5.192995484E1,4.457137337E0,1.435760572E0,4.007737959E0,6.508936113E1,4.801593308E0,3.281651831E0
9.632239389E1,5.192997010E1,4.457196028E0,1.289868152E0,4.243744675E0,6.367396307E1,4.806086126E0,3.275068424E0
9.732237661E1,5.192996536E1,4.457277720E0,1.767728445E0,4.703060167E0,7.922473311E1,4.813066728E0,3.264801021E0
9.832235944E1,5.192997861E1,4.457332810E0,1.491057162E0,4.429891343E0,7.231052976E1,4.823118223E0,3.249933483E0
9.932234311E1,5.192999514E1,4.457379945E0,1.578278611E0,4.067051980E0,6.202736744E1,4.829964363E0,3.239750189E0
1.003223257E2,5.193001416E1,4.457437009E0,1.929707790E0,4.215483023E0,5.970277811E1,4.822372120E0,3.251040475E0
1.013223090E2,5.193003059E1,4.457504909E0,1.582947468E0,4.587126087E0,6.107326804E1,4.829795436E0,3.240002019E0
1.023222917E2,5.193005159E1,4.457571294E0,1.870052359E0,4.954763307E0,6.121524385E1,4.836768543E0,3.229583114E0
1.033222743E2,5.193006804E1,4.457624487E0,1.581744548E0,4.501597866E0,6.121913795E1,4.847788709E0,3.213017532E0
1.043222575E2,5.193007941E1,4.457701817E0,1.350167123E0,4.938023295E0,6.765947177E1,4.875027666E0,3.171536266E0
1.053222404E2,5.193010078E1,4.457754862E0,1.078829591E0,4.740018844E0,6.233340822E1,4.849823983E0,3.209944605E0
1.063222222E2,5.193012028E1,4.457805458E0,1.188505880E0,4.445516192E0,6.136344115E1,4.844184204E0,3.218449383E0
1.073222059E2,5.193014029E1,4.457863482E0,1.393022690E0,4.539491436E0,6.308096087E1,4.849914307E0,3.209808133E0
1.083221887E2,5.193015982E1,4.457922723E0,9.958370412E-1,4.528972246E0,6.231202506E1,4.845007476E0,3.217209907E0
1.093221717E2,5.193017795E1,4.457978065E0,1.000002607E0,4.440778078E0,6.171499603E1,4.838532658E0,3.226939534E0
1.103221544E2,5.193019472E1,4.458028935E0,1.116150685E0,4.144689519E0,6.421667290E1,4.850520257E0,3.208892374E0
1.113221372E2,5.193021199E1,4.458078987E0,9.956790404E-1,4.085078478E0,6.409879179E1,4.849967230E0,3.209728167E0
1.123221203E2,5.193022135E1,4.458137371E0,7.824916271E-1,4.021471280E0,6.450085242E1,4.851843084E0,3.206891909E0
1.133221034E2,5.193024275E1,4.458175385E0,7.601422695E-1,3.680738437E0,5.982953227E1,4.848257740E0,3.212309749E0
1.143220856E2,5.193027543E1,4.458211390E0,1.484999914E0,3.908842055E0,4.888276316E1,4.826422727E0,3.245023989E0
1.153220685E2,5.193029625E1,4.458241107E0,1.815131584E0,3.398106833E0,5.102153831E1,4.811005142E0,3.267838208E0
1.163220513E2,5.193032439E1,4.458274122E0,2.004663222E0,3.433002873E0,5.203126710E1,4.804121618E0,3.277949437E0
1.173220339E2,5.193034862E1,4.458315166E0,1.666042867E0,3.622396640E0,5.895559749E1,4.800900410E0,3.282665424E0
1.183220179E2,5.193036796E1,4.458360160E0,2.152493672E0,3.787899127E0,5.919537792E1,4.797846945E0,3.287126667E0
1.193220004E2,5.193038253E1,4.458391819E0,1.897533972E0,3.242338991E0,5.919865432E1,4.789156536E0,3.299775250E0
1.203219830E2,5.193038642E1,4.458435751E0,2.149932587E0,3.070929460E0,6.585636799E1,4.774950091E0,3.320299484E0
1.213219659E2,5.193040172E1,4.458468436E0,2.072564693E0,2.912467512E0,6.378907408E1,4.771759812E0,3.324882755E0
1.223219477E2,5.193040837E1,4.458500952E0,2.345854086E0,2.407617238E0,6.983857644E1,4.769990154E0,3.327421069E0
1.233219309E2,5.193042267E1,4.458525032E0,1.263571816E0,2.141694662E0,6.732823644E1,4.758778702E0,3.343435702E0
1.243219140E2,5.193042306E1,4.458548259E0,1.658058020E0,1.656478118E0,7.702994422E1,4.754795698E0,3.349097625E0
1.253218969E2,5.193042036E1,4.458553601E0,1.540946056E0,6.189545674E-1,8.548509498E1,4.749848560E0,3.356110202E0
1.263218802E2,5.193041986E1,4.458551994E0,1.686599210E0,1.848390421E-1,8.737877469E1,4.752841361E0,3.351870526E0
1.273218623E2,5.193041724E1,4.458551680E0,2.036225363E0,8.938824619E-2,8.737877582E1,4.746910143E0,3.360265038E0
1.283218451E2,5.193042467E1,4.458541149E0,2.747385345E0,0.000000000E0,3.505708223E2,4.747285552E0,3.359734650E0
