"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.233467020E1,4.864932400E0,9.471622327E0,NaN,NaN,1.391199970E1,1.005667329E0
1.768921210E-1,5.233563380E1,4.867693500E0,NaN,NaN,NaN,6.999990234E2,0.000000000E0
2.031189212E1,5.233667740E1,4.866633900E0,NaN,NaN,NaN,1.299999023E3,0.000000000E0
4.033989212E1,5.233512450E1,4.863873900E0,NaN,NaN,NaN,6.000000000E2,0.000000000E0
5.323384618E1,5.233470200E1,4.864964660E0,3.031276141E1,0.000000000E0,NaN,1.850790024E1,2.006102371E1
5.423599055E1,5.233470502E1,4.864961630E0,2.617403101E1,0.000000000E0,NaN,1.795384979E1,1.959011650E1
5.523601394E1,5.233470760E1,4.864908860E0,1.007018364E1,0.000000000E0,NaN,1.435553360E1,1.495066738E1
5.623563951E1,5.233471167E1,4.864902560E0,1.589717012E0,0.000000000E0,NaN,1.174820328E1,1.231375790E1
5.723526446E1,5.233472758E1,4.864884340E0,2.254523883E0,1.549999952E0,8.399999619E0,8.587189674E0,9.007805824E0
5.823529732E1,5.233478017E1,4.864834080E0,4.326651603E0,8.600000143E-1,3.552999878E2,7.417060375E0,7.925290585E0
5.923509878E1,5.233481075E1,4.864825000E0,3.085600548E0,1.690000057E0,3.467000122E2,6.657328129E0,7.104363918E0
6.023519388E1,5.233482134E1,4.864793990E0,6.825710000E0,1.009999990E0,1.299999952E0,6.557362556E0,6.949699402E0
6.123638326E1,5.233486219E1,4.864796410E0,8.426843056E0,7.599999905E-1,1.039999962E1,6.008769035E0,6.300798893E0
6.223528565E1,5.233487787E1,4.864822450E0,1.096148694E1,1.409999967E0,3.409999847E1,6.063461781E0,6.438397884E0
6.323568670E1,5.233489090E1,4.864841760E0,1.055734152E1,9.399999976E-1,3.420000076E1,5.803314686E0,6.304859638E0
6.423586367E1,5.233490831E1,4.864863290E0,1.112970499E1,1.529999971E0,2.820000076E1,6.285314083E0,6.961575985E0
6.523602576E1,5.233493661E1,4.864907170E0,1.266419373E1,2.319999933E0,4.540000153E1,6.808166981E0,7.587168217E0
6.623447586E1,5.233495661E1,4.864932500E0,1.426744680E1,1.480000019E0,5.340000153E1,7.101397514E0,8.066588402E0
6.723415315E1,5.233496387E1,4.864943890E0,1.321668228E1,1.100000024E0,6.020000076E1,6.734496593E0,7.742592812E0
6.823716102E1,5.233496330E1,4.864958380E0,1.144306917E1,1.330000043E0,6.930000305E1,6.754178524E0,7.869557381E0
6.923658716E1,5.233496171E1,4.864973610E0,1.219716501E1,1.419999957E0,6.550000000E1,6.302290440E0,7.545070648E0
7.023500789E1,5.233496391E1,4.864989890E0,1.181088591E1,1.379999995E0,6.419999695E1,6.322619915E0,7.693245411E0
7.123411450E1,5.233496379E1,4.865007090E0,1.041972127E1,1.350000024E0,6.730000305E1,6.316518307E0,7.781944752E0
7.223452383E1,5.233496447E1,4.865018100E0,1.209904982E1,1.490000010E0,4.529999924E1,6.205414772E0,7.601367474E0
7.323727440E1,5.233496434E1,4.865029510E0,1.306475441E1,1.490000010E0,7.180000305E1,5.500306129E0,6.854972839E0
7.423651252E1,5.233495798E1,4.865045650E0,1.255120490E1,1.379999995E0,9.209999847E1,5.424046040E0,6.909934998E0
7.523625320E1,5.233495031E1,4.865059000E0,1.191692441E1,1.220000029E0,1.016999969E2,5.341794014E0,6.900559902E0
7.623657539E1,5.233494316E1,4.865071810E0,1.152898223E1,1.220000029E0,1.036999969E2,5.242155552E0,6.730216980E0
7.723562778E1,5.233493726E1,4.865085580E0,9.803456909E0,1.200000048E0,1.050000000E2,4.947906017E0,6.497429848E0
7.823641523E1,5.233492949E1,4.865095360E0,8.843856851E0,1.120000005E0,1.120999985E2,4.724129677E0,6.045142651E0
7.923903007E1,5.233492280E1,4.865107420E0,7.157025731E0,1.120000005E0,1.100999985E2,4.586415291E0,5.966373444E0
8.023669174E1,5.233491440E1,4.865113660E0,6.229405183E0,1.080000043E0,1.305000000E2,4.210679531E0,5.457343102E0
8.123359002E1,5.233490650E1,4.865122700E0,6.779326003E0,1.049999952E0,1.239000015E2,4.202270508E0,5.355653763E0
8.223854153E1,5.233490463E1,4.865138040E0,6.609593383E0,1.240000010E0,9.180000305E1,4.146261692E0,5.252000332E0
8.323809700E1,5.233490855E1,4.865144290E0,9.153547786E0,1.039999962E0,7.000000000E1,4.304008484E0,5.798438549E0
8.423629669E1,5.233490527E1,4.865153540E0,8.834456670E0,1.139999986E0,9.940000153E1,4.437319756E0,6.242137432E0
8.523792481E1,5.233489983E1,4.865165370E0,7.867048563E0,1.029999971E0,1.095000000E2,4.099382401E0,5.816843033E0
8.623819601E1,5.233489570E1,4.865175240E0,7.133588930E0,1.000000000E0,1.051999969E2,3.790092468E0,4.814105034E0
8.723404340E1,5.233489565E1,4.865185930E0,7.328968513E0,9.700000286E-1,9.280000305E1,3.790092468E0,4.298728943E0
8.823680195E1,5.233489904E1,4.865199410E0,7.614747597E0,1.009999990E0,9.109999847E1,3.790092468E0,3.954002380E0
8.923574669E1,5.233490303E1,4.865214720E0,7.655777596E0,9.399999976E-1,8.830000305E1,3.790092468E0,3.544116974E0
9.023659611E1,5.233490457E1,4.865227130E0,7.804285400E0,7.699999809E-1,9.309999847E1,3.790092468E0,3.370574236E0
9.123712028E1,5.233490387E1,4.865240220E0,7.557160559E0,8.000000119E-1,9.569999695E1,3.790092468E0,3.094537735E0
9.223683736E1,5.233490527E1,4.865254470E0,7.930888946E0,8.199999928E-1,9.319999695E1,3.790092468E0,2.838653326E0
9.323699658E1,5.233490724E1,4.865267810E0,7.787039488E0,7.300000191E-1,9.009999847E1,3.790092468E0,3.018572330E0
