"event","experiment time","system time","system time text"
"START",0.000000000E0,1717605844.285,"2024-06-05 18:44:04.285 UTC+02:00"
"PAUSE",3.007585860E2,1717606145.044,"2024-06-05 18:49:05.044 UTC+02:00"
