"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.161682522E2,5.233648588E1,4.872437230E0,-2.257293792E0,1.129999995E0,8.219999695E1,1.040928936E1,8.417129517E0
1.171670594E2,5.233649156E1,4.872456250E0,-2.927929200E0,1.110000014E0,8.119999695E1,1.027041149E1,8.353378296E0
1.181680743E2,5.233650466E1,4.872475370E0,-2.000714748E0,1.159999967E0,6.419999695E1,9.354146957E0,7.930582523E0
1.191728417E2,5.233651651E1,4.872498030E0,-2.253004423E0,1.279999971E0,7.290000153E1,8.358604431E0,7.570950985E0
1.201733337E2,5.233652715E1,4.872516280E0,-1.994800280E0,9.900000095E-1,8.219999695E1,7.899618626E0,7.251349926E0
1.211728176E2,5.233653631E1,4.872533230E0,-1.273403165E0,1.100000024E0,7.669999695E1,7.893776417E0,7.368853092E0
1.221728584E2,5.233654580E1,4.872550560E0,2.164272502E-1,1.100000024E0,7.150000000E1,7.761317253E0,7.317955494E0
1.231715261E2,5.233655539E1,4.872565370E0,4.596206611E-3,1.110000014E0,5.620000076E1,7.932673454E0,7.597543716E0
1.241769284E2,5.233656323E1,4.872583870E0,1.622537761E0,1.200000048E0,8.030000305E1,7.760003567E0,7.830084801E0
1.251668635E2,5.233656777E1,4.872601690E0,1.867366370E0,1.080000043E0,8.040000153E1,7.979677677E0,8.279094696E0
1.261680296E2,5.233656743E1,4.872616850E0,8.608438114E-1,1.220000029E0,1.090000000E2,7.704617500E0,7.987110615E0
1.271676907E2,5.233656617E1,4.872630740E0,1.038889542E0,1.070000052E0,1.088000031E2,7.734023094E0,7.932817936E0
1.281671313E2,5.233656691E1,4.872644750E0,1.628193041E0,1.129999995E0,8.930000305E1,7.853972912E0,7.984811306E0
1.291668138E2,5.233656953E1,4.872659230E0,2.201691350E0,1.080000043E0,7.650000000E1,8.049130440E0,8.080191612E0
1.301704576E2,5.233657246E1,4.872672250E0,3.803204396E0,1.039999962E0,7.250000000E1,8.030782700E0,8.004612923E0
1.311694449E2,5.233657650E1,4.872686020E0,3.687007033E0,1.120000005E0,5.509999847E1,8.258795738E0,8.173150063E0
1.321660960E2,5.233657898E1,4.872701050E0,3.792487882E0,1.149999976E0,7.590000153E1,8.576002121E0,8.469588280E0
1.331678953E2,5.233658205E1,4.872713870E0,2.914508823E0,1.029999971E0,5.870000076E1,8.602980614E0,8.491257668E0
1.341663070E2,5.233658669E1,4.872726360E0,3.591524462E0,1.039999962E0,6.709999847E1,7.963026047E0,7.912173271E0
1.351653910E2,5.233658767E1,4.872741840E0,3.408978555E0,1.120000005E0,8.869999695E1,7.472422600E0,7.543939114E0
1.361709509E2,5.233658572E1,4.872758680E0,3.763660746E0,1.059999943E0,9.530000305E1,7.211940765E0,7.356186390E0
1.371672420E2,5.233658285E1,4.872774610E0,3.965387019E0,1.070000052E0,9.740000153E1,7.338371277E0,7.563895702E0
1.381658074E2,5.233658008E1,4.872793520E0,4.743164943E0,1.259999990E0,9.450000000E1,7.379691124E0,7.768316746E0
1.391684806E2,5.233657782E1,4.872814180E0,4.551279061E0,1.419999957E0,9.090000153E1,7.565801620E0,7.871959686E0
1.401703169E2,5.233657423E1,4.872833710E0,5.472244663E0,1.309999943E0,1.038000031E2,7.856289387E0,8.120148659E0
1.411716139E2,5.233657053E1,4.872849060E0,5.772052931E0,1.029999971E0,1.041999969E2,7.968920231E0,8.294700623E0
1.421688010E2,5.233656765E1,4.872865460E0,5.925378580E0,1.100000024E0,9.680000305E1,7.849648952E0,8.310815811E0
1.431677523E2,5.233656821E1,4.872882110E0,6.149143786E0,1.129999995E0,7.480000305E1,8.009649277E0,8.626577377E0
1.441672943E2,5.233656738E1,4.872897450E0,5.910870152E0,1.110000014E0,9.909999847E1,8.311847687E0,8.966709137E0
1.451657294E2,5.233656772E1,4.872913060E0,5.190542656E0,1.179999948E0,8.050000000E1,8.443099976E0,9.057636261E0
1.461688239E2,5.233657136E1,4.872935300E0,4.781258759E0,1.570000052E0,7.309999847E1,8.677233696E0,9.377560616E0
1.471685851E2,5.233657273E1,4.872961930E0,6.514613341E0,1.750000000E0,9.230000305E1,8.704668999E0,9.620841980E0
1.481710692E2,5.233656983E1,4.872987560E0,7.092932040E0,1.750000000E0,1.055000000E2,8.977984428E0,1.007783604E1
1.491678333E2,5.233656334E1,4.873009450E0,7.445779675E0,1.769999981E0,1.249000015E2,8.872804642E0,1.006405830E1
1.501658524E2,5.233655773E1,4.873031730E0,8.717390980E0,1.639999986E0,1.144000015E2,8.841106415E0,1.013924408E1
1.511676053E2,5.233655618E1,4.873051940E0,9.138848125E0,1.190000057E0,1.023000031E2,8.865118980E0,1.016483879E1
1.521669871E2,5.233655925E1,4.873066510E0,9.179571241E0,1.009999990E0,8.209999847E1,8.854946136E0,1.028267288E1
1.531689100E2,5.233656195E1,4.873079520E0,9.413164036E0,9.499999881E-1,9.400000000E1,8.782436371E0,9.880278587E0
1.541721107E2,5.233656191E1,4.873097800E0,1.035458070E1,1.340000033E0,1.010999985E2,8.910548210E0,9.943268776E0
1.551677032E2,5.233656059E1,4.873122850E0,1.091398039E1,1.639999986E0,1.005000000E2,9.176190376E0,1.028134918E1
1.561677875E2,5.233656239E1,4.873150260E0,1.141729452E1,1.730000019E0,8.159999847E1,9.448614120E0,1.074116325E1
1.571701097E2,5.233656684E1,4.873173740E0,1.185408181E1,1.350000024E0,8.059999847E1,9.222671509E0,1.049045181E1
1.581658197E2,5.233657383E1,4.873190330E0,1.167343709E1,1.080000043E0,5.500000000E1,9.390394211E0,1.065975952E1
1.591681030E2,5.233658209E1,4.873202870E0,1.135393686E1,1.090000033E0,5.429999924E1,9.181251526E0,1.046782494E1
1.601680189E2,5.233659303E1,4.873220600E0,1.125996828E1,1.629999995E0,4.959999847E1,9.206803322E0,1.051448631E1
1.611677294E2,5.233660362E1,4.873238570E0,1.241483967E1,1.440000057E0,3.959999847E1,9.016183853E0,1.053245354E1
1.621717282E2,5.233661450E1,4.873247930E0,1.246741162E1,1.179999948E0,2.200000000E1,8.930165291E0,1.050889301E1
1.631714193E2,5.233662352E1,4.873252590E0,1.244850610E1,9.800000191E-1,2.600000000E1,8.801108360E0,1.066788197E1
1.641704804E2,5.233663461E1,4.873253360E0,1.306131512E1,1.279999971E0,2.400000095E0,8.467127800E0,1.053562450E1
1.651701010E2,5.233664915E1,4.873255860E0,1.297839025E1,1.580000043E0,1.460000038E1,8.195215225E0,1.031022263E1
1.661668027E2,5.233666367E1,4.873254860E0,1.211256540E1,1.610000014E0,3.517000122E2,8.087633133E0,1.017006779E1
1.671700622E2,5.233667622E1,4.873258950E0,1.193857418E1,1.350000024E0,2.489999962E1,8.030868530E0,1.016547680E1
1.681663458E2,5.233668586E1,4.873267530E0,1.304418349E1,9.900000095E-1,1.910000038E1,8.194508553E0,1.042104816E1
1.691683883E2,5.233669406E1,4.873278350E0,1.242310748E1,1.059999943E0,3.800000000E1,8.202680588E0,1.039524269E1
1.701683151E2,5.233670342E1,4.873287870E0,1.173812856E1,1.049999952E0,1.850000000E1,8.442811012E0,1.059993744E1
1.711691461E2,5.233671245E1,4.873299420E0,1.232555023E1,1.100000024E0,4.240000153E1,8.496792793E0,1.066533279E1
1.721661150E2,5.233672272E1,4.873307460E0,1.331073775E1,1.100000024E0,1.589999962E1,8.566771507E0,1.066088009E1
1.731658098E2,5.233673375E1,4.873311210E0,1.402187604E1,1.019999981E0,3.900000095E0,8.476457596E0,1.070964146E1
1.741676668E2,5.233674415E1,4.873313050E0,1.407596889E1,1.019999981E0,3.583999939E2,8.436410904E0,1.052148056E1
1.751681468E2,5.233675498E1,4.873316690E0,1.465850575E1,1.009999990E0,5.400000095E0,1.234713554E1,1.068065929E1
1.761718987E2,5.233676577E1,4.873322280E0,1.477644407E1,1.000000000E0,3.500000000E0,1.244444466E1,1.079857159E1
1.771727038E2,5.233677643E1,4.873327470E0,1.513064906E1,1.000000000E0,1.299999952E0,1.251426983E1,1.096825790E1
1.781687596E2,5.233678622E1,4.873331450E0,1.495256454E1,1.009999990E0,3.540000000E2,1.249650097E1,1.089410305E1
1.791685211E2,5.233679639E1,4.873333400E0,1.594788027E1,1.009999990E0,3.491000061E2,1.244779587E1,1.073368740E1
1.801671580E2,5.233680540E1,4.873334640E0,1.446589904E1,8.899999857E-1,3.477000122E2,1.244215488E1,1.061959934E1
1.811675517E2,5.233681509E1,4.873336090E0,1.465457319E1,1.000000000E0,3.452000122E2,1.248813629E1,1.070223331E1
1.821668519E2,5.233682625E1,4.873338600E0,1.570604298E1,1.059999943E0,3.516000061E2,1.247678089E1,1.064224052E1
1.831689729E2,5.233683778E1,4.873343590E0,1.644708990E1,1.029999971E0,5.800000191E0,1.264919853E1,1.097718430E1
1.841687402E2,5.233684761E1,4.873344180E0,1.596968709E1,1.080000043E0,3.420000000E2,1.259659958E1,1.093132877E1
1.851678780E2,5.233685827E1,4.873347560E0,1.671451605E1,1.080000043E0,3.200000048E0,1.248609447E1,1.071968365E1
1.861675626E2,5.233686836E1,4.873352750E0,1.795952835E1,9.900000095E-1,3.526000061E2,1.241935062E1,1.047100830E1
1.871674683E2,5.233687787E1,4.873357470E0,1.850062110E1,9.900000095E-1,3.586000061E2,1.239082241E1,1.037529373E1
1.881689106E2,5.233688802E1,4.873360110E0,1.973287568E1,1.149999976E0,3.387000122E2,1.243244171E1,1.038658714E1
1.891676899E2,5.233689475E1,4.873358220E0,2.039151444E1,1.070000052E0,3.323999939E2,1.238878441E1,1.016286278E1
1.901681160E2,5.233690186E1,4.873357540E0,2.121891664E1,1.070000052E0,3.340000000E2,1.236388683E1,9.924332619E0
1.911713823E2,5.233691163E1,4.873359770E0,2.275140238E1,1.169999957E0,3.532999878E2,1.223126411E1,9.560044289E0
1.921707339E2,5.233692237E1,4.873362480E0,2.334577941E1,1.100000024E0,3.472999878E2,1.224036598E1,9.475454330E0
1.931705563E2,5.233693239E1,4.873365850E0,2.403555375E1,1.169999957E0,9.199999809E0,1.223914719E1,9.609628677E0
1.941706504E2,5.233694244E1,4.873368900E0,2.504142902E1,1.090000033E0,4.500000000E0,1.228376961E1,9.792690277E0
1.951677392E2,5.233695253E1,4.873369420E0,2.669824284E1,1.090000033E0,0.000000000E0,1.227784157E1,9.869180679E0
1.961683813E2,5.233696241E1,4.873369120E0,2.780952368E1,1.100000024E0,3.535000000E2,1.215437794E1,9.784238815E0
1.971655466E2,5.233697215E1,4.873367690E0,2.877511274E1,1.090000033E0,3.490000000E2,1.210280704E1,9.572259903E0
1.981670394E2,5.233698157E1,4.873362980E0,2.979117556E1,1.169999957E0,3.281000061E2,1.214525986E1,9.678204536E0
1.991662631E2,5.233699122E1,4.873359900E0,3.081059656E1,1.129999995E0,3.512000122E2,1.199536896E1,9.253638268E0
2.001700422E2,5.233700158E1,4.873360450E0,3.252960561E1,1.100000024E0,3.598999939E2,1.198197365E1,9.178749084E0
2.011717446E2,5.233701262E1,4.873353220E0,3.411854523E1,1.470000029E0,3.167000122E2,1.197108936E1,9.130629539E0
2.021682082E2,5.233702215E1,4.873346380E0,3.578731694E1,1.029999971E0,3.247999878E2,1.187191868E1,8.816848755E0
2.031690872E2,5.233703241E1,4.873345130E0,3.538602452E1,1.110000014E0,3.377000122E2,1.187351704E1,8.777612686E0
2.041676982E2,5.233704249E1,4.873348620E0,3.586303046E1,1.230000019E0,7.599999905E0,1.177013111E1,8.704320908E0
2.051666340E2,5.233705417E1,4.873353580E0,3.585511518E1,1.100000024E0,3.580000000E2,1.170602512E1,8.716940880E0
2.061652521E2,5.233706682E1,4.873351160E0,3.681020973E1,1.259999990E0,3.282999878E2,1.165234566E1,8.582809448E0
2.071719846E2,5.233708117E1,4.873350480E0,3.697587896E1,1.230000019E0,3.565000000E2,1.173276043E1,8.779010773E0
2.081728124E2,5.233709562E1,4.873348650E0,3.589630842E1,1.100000024E0,3.325000000E2,1.174686432E1,8.784833908E0
2.091719536E2,5.233710958E1,4.873346690E0,3.526241582E1,1.129999995E0,3.497999878E2,1.180811977E1,8.880559921E0
2.101745222E2,5.233712428E1,4.873348560E0,3.443748642E1,1.090000033E0,3.570000000E2,1.188027573E1,8.900647163E0
