"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.609265782E0,-2.011426210E0,1.467092156E0,-5.448666811E-1
3.649745000E0,-1.912625909E0,2.166018248E0,-1.158307791E0
3.690223907E0,-9.752208591E-1,7.781527042E-1,-8.191642165E-1
3.730732813E0,1.765623689E-1,-2.022611201E-1,-1.096524239E0
3.771224584E0,-1.264964230E-2,-1.873478591E-1,-7.275541425E-1
3.811700625E0,1.176416755E0,4.412727654E-1,-3.717663288E-1
3.852193177E0,1.139666200E0,9.175651073E-1,-5.645735264E-1
3.892699896E0,9.681636691E-1,1.025952578E0,-6.513900161E-1
3.933197917E0,1.667089611E-1,3.312874734E-1,-3.730978668E-1
3.973689948E0,-8.133054376E-1,4.620448127E-2,-4.391423166E-1
4.014170000E0,-5.464645624E-1,1.183740199E-1,2.676397935E-2
4.054676667E0,-2.635120153E-1,4.828168750E-1,7.576470077E-2
4.095174948E0,-1.584534161E-2,9.055812359E-1,-4.340824485E-1
4.135638646E0,4.540555924E-2,4.348813891E-1,-8.828118443E-2
4.176129844E0,-5.070509315E-1,4.010602236E-1,1.364829838E-1
4.216653334E0,-7.746906877E-1,3.091838956E-1,5.049204826E-1
4.257144323E0,-1.290130377E0,-6.457975507E-2,8.564473391E-1
4.297659167E0,-4.057206213E-1,8.668334037E-2,8.292838931E-1
4.338114011E0,1.089866519E0,7.696308494E-1,5.597799420E-1
4.378601719E0,-5.014584661E-1,3.568530679E-1,8.591104150E-1
4.419091719E0,-1.750177860E0,-2.941374779E-1,8.798824549E-1
4.459600052E0,-1.400648236E0,-4.742949903E-1,-1.266295761E-1
4.500109011E0,-6.151720881E-1,-2.110492885E-1,-6.995918155E-1
4.540608698E0,-2.547238469E-1,2.075872868E-1,-1.258972287E0
4.581087240E0,-5.768237114E-1,-1.229012609E-1,-2.705958128E0
4.621569844E0,-8.303491473E-1,-9.304810166E-1,-1.513429761E0
4.662068698E0,3.235645220E-2,1.226216316E0,-2.267614752E-1
4.702608073E0,-4.966649115E-1,1.115165830E0,7.709623873E-2
4.743082761E0,-4.283568263E-1,1.020892739E0,3.348826170E-1
4.783557813E0,-9.706936032E-2,5.874760151E-1,3.853480518E-1
4.824051198E0,2.045247406E-1,5.898727775E-1,1.287600398E-1
4.864534844E0,5.555190444E-1,6.881405115E-1,-9.866721183E-2
4.905023073E0,4.729634523E-1,7.453967929E-1,-1.151783243E-1
4.945517448E0,-1.484668553E-1,-6.165036187E-2,-4.220985994E-2
4.986011823E0,-2.049241960E-1,-9.075785279E-1,2.773600519E-1
5.026480938E0,-1.331541280E-4,-8.135717511E-1,1.503310055E-1
5.067004740E0,6.974613070E-1,-1.772814035E0,-7.179670334E-1
5.107508802E0,1.262434244E0,-1.413431048E0,3.292901516E-1
5.148007865E0,1.431406856E0,-1.965354919E0,-2.368811965E-1
5.188499167E0,1.098654747E0,-1.895848513E0,-1.152715325E0
5.228989896E0,6.074491143E-1,-6.457974911E-1,-1.668687582E0
5.269484167E0,1.675078869E-1,-2.842840552E-1,-1.669486403E0
5.309978490E0,-7.760222554E-1,-9.256874919E-1,-8.864070177E-1
5.350440104E0,-1.374283791E0,-6.322157979E-1,-1.130079031E0
5.390958334E0,-1.410501719E0,-5.027899742E-1,-1.967219114E0
5.431443021E0,1.185071748E-2,-1.409170151E0,-8.425993323E-1
5.472039688E0,3.770924807E-1,4.894745648E-1,1.463363916E-1
5.512428229E0,-7.027874589E-1,1.368691325E0,-1.299717426E0
5.552970365E0,3.914731443E-1,-2.251636237E-1,-5.989272594E-1
5.593429896E0,4.111799598E-1,-1.183740199E-1,-8.388710208E-3
5.633917188E0,-8.902685046E-1,-1.653774261E0,6.884068251E-2
5.674402761E0,-9.885362387E-1,-2.043915838E-1,-1.675611496E0
5.714935521E0,-1.522617459E0,1.604773521E0,-2.804492235E0
5.755419792E0,-1.934463143E0,3.700752735E0,-4.351743221E0
5.795932761E0,1.192395210E0,-2.214353085E0,-1.543256402E0
5.836387917E0,-1.707834840E0,-1.591324925E0,-2.642709970E0
5.876869636E0,-2.482125998E0,-4.892082810E-1,-3.842961311E0
5.917374115E0,-6.591129303E-1,-1.812494040E0,1.451379992E-2
5.957938907E0,8.375394344E-2,-1.793852448E0,-6.772218943E-1
5.998343854E0,-4.407401755E-2,1.093594909E0,-4.676373005E-1
6.038816354E0,7.575138211E-1,-3.620460629E-1,2.709686458E-1
6.079344792E0,1.844717264E0,-5.509917736E-1,6.745588183E-1
6.119845886E0,3.295431614E0,2.407426685E-1,7.741581202E-1
6.160331667E0,3.006620169E0,1.042463660E0,5.256925225E-1
6.200812032E0,1.706236959E0,4.726971686E-1,2.086525112E-1
6.241357865E0,1.942985058E0,-9.693620801E-1,-5.872096866E-2
6.281800157E0,9.974575639E-1,-6.231613159E-1,4.306204617E-1
6.322293073E0,1.134073734E0,-7.003906965E-1,1.062436819E0
6.362796979E0,7.025212049E-1,-1.360169411E0,9.057143927E-1
6.403293698E0,-2.027937323E-1,-1.283472657E0,5.363448262E-1
6.443810209E0,-8.625724316E-1,-1.283206344E0,-1.717688330E-2
6.484275209E0,-9.198287129E-1,-1.340462565E0,-5.387415886E-1
6.524778021E0,1.560566425E-1,-4.703003764E-1,-1.717688330E-2
6.565257969E0,6.170362234E-1,-8.724258542E-1,7.286193967E-1
6.605747500E0,-3.950682878E-1,-9.861394763E-1,-2.408758104E-1
6.646243802E0,-1.972012669E-1,-5.608451962E-1,-1.750976741E-1
6.686770782E0,-7.153039575E-1,-5.680354834E-1,1.636464298E-1
6.727297084E0,-1.342060447E0,-3.516600430E-1,-2.118482143E-1
6.767723646E0,-7.312824726E-1,-5.177032351E-1,-7.925333977E-1
6.808217448E0,-1.037536979E0,-2.600899696E0,-6.876079440E-1
6.848711198E0,-1.232341409E0,-4.460663199E-1,3.284912407E-1
6.889221094E0,-1.401979804E0,-2.496639937E-1,4.252942801E-1
6.929714375E0,-9.107742310E-1,1.148720622E0,2.102503628E-1
6.970208542E0,-1.054314375E0,5.981283188E-1,-2.115819156E-1
7.010691563E0,-1.155378342E0,-7.283531129E-2,-4.354139864E-1
7.051189219E0,-7.131735086E-1,-2.078536004E-1,-4.846810400E-1
7.091698282E0,-1.697715074E-1,1.051917579E-2,-4.197018147E-1
7.132174167E0,-7.443315536E-2,2.569874749E-2,-6.218297780E-2
7.172659271E0,5.294207931E-1,-2.703028731E-2,4.189028740E-1
