"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.126757667E0,-5.705361366E-1,-9.396507740E-1,6.545696259E-1
3.167245323E0,1.929785252E0,2.121142149E-1,-1.863117218E-1
3.207776313E0,2.727124214E0,8.135590553E-1,-2.097028732E0
3.248229125E0,8.823423386E-1,-9.306466579E-2,-3.551301956E-1
3.288775480E0,-1.745285392E0,-6.953623891E-1,4.490013123E-1
3.329194594E0,-1.022705078E0,7.638486624E-1,8.600282669E-1
3.369682667E0,-2.418481350E0,1.034249306E0,3.681232452E0
3.410240271E0,2.184255600E0,2.683231831E0,7.314157486E-1
3.450728344E0,3.017517328E-1,1.203129172E0,1.581635475E0
3.491216417E0,3.207912445E0,1.281076670E0,9.189643860E-1
3.531699855E0,6.006174088E0,7.410522699E-1,1.456526756E0
3.572152980E0,3.951173544E0,-1.546524644E0,2.586429596E0
3.612641053E0,1.832180619E0,-1.341862082E0,-2.368132114E0
3.653129125E0,3.625322580E0,2.118571520E0,3.537197113E0
3.693642563E0,4.482415676E0,3.719523191E0,-3.186922073E-1
3.734149490E0,-1.363672256E0,-1.159574509E0,-4.099465847E0
3.774639542E0,7.285833359E-2,-1.167123914E0,1.502589226E0
3.815125219E0,-4.972782135E-1,-3.370676041E-1,-5.291309357E-1
3.855604594E0,2.314891338E0,-1.199457645E-1,-4.766592979E-1
3.896083709E0,-4.270101547E0,-2.489359140E0,-1.210427284E-1
3.936578865E0,-7.168641090E-1,-2.247296572E0,1.899003983E-1
3.977070480E0,-5.753941536E-1,-3.073322058E0,7.438521385E-1
4.017558500E0,-3.299736977E-1,1.855582714E0,-2.482723713E0
4.058024750E0,-2.228012085E-1,-7.564519644E-1,5.673742294E-1
4.098489490E0,2.813196182E-1,-4.804701805E-1,-1.042239666E0
4.138999178E0,1.114304543E0,-1.557958722E0,-1.625618935E-1
4.179516625E0,8.008604050E-1,4.871199131E-1,1.590091705E0
4.220013500E0,-3.138160706E-1,1.724851131E0,-5.679588318E-1
4.260480636E0,7.023282051E-1,4.971257210E0,-1.092875481E0
4.300993032E0,-3.928723335E-1,3.375878334E-1,3.051548004E-1
4.341483709E0,-5.839247704E-1,3.266996384E0,-5.963129997E-1
4.381955480E0,1.952782631E0,3.405815125E0,1.870038033E0
4.422439178E0,3.568263531E0,1.368518949E0,-8.246183395E-1
4.462917563E0,-1.978956223E0,-2.511887074E0,1.990424633E0
4.503387094E0,-1.820985794E0,-2.162679195E0,-1.339625120E0
4.543874698E0,-6.719827652E0,-5.016480446E0,-1.505570412E-1
4.584358292E0,-2.703419685E0,-3.812532663E0,-2.777427197E0
4.624847823E0,4.589980125E0,-3.019657850E0,2.805247307E-1
4.665338813E0,4.071136951E0,-7.050889134E-1,-1.509145975E0
4.705865844E0,-1.251716614E-1,-2.937223911E-1,-7.779812813E-1
4.746353292E0,-1.045110703E0,-7.961983681E-1,5.837292671E-1
4.786822928E0,5.430674553E-1,-1.515531659E0,-3.695983887E-1
4.827309803E0,4.519348145E-1,-2.751374722E0,5.064959526E-1
4.867784386E0,1.263830185E0,-1.814980865E0,6.978507042E-1
4.908278709E0,6.774234772E-1,-1.159994006E0,1.845831871E-1
4.948766834E0,2.876470089E0,-2.279161453E0,-1.880814791E0
4.989254907E0,3.212407589E0,-4.043094516E-1,2.201474667E0
5.029743032E0,1.900010109E0,2.193639994E0,-5.628676414E-1
5.070227563E0,-5.593024254E0,3.696457863E0,-6.869926453E-1
5.110718292E0,-3.386680603E0,8.516450524E-1,4.779000282E-1
5.151165011E0,6.072492599E-1,1.717199683E-1,-6.560134888E-1
5.191720323E0,-2.972431183E-1,-2.828747630E-1,-2.793025970E-1
5.232238344E0,-4.033670425E-1,-4.571908712E-2,-7.432126999E-1
5.272732615E0,5.394582748E-1,3.407734632E-2,-1.030385256E0
5.313221886E0,3.306970596E-1,-7.453107834E-2,-9.380657673E-1
5.353707146E0,8.543949127E-1,1.436786056E-1,-7.127811909E-1
5.394156886E0,7.940568924E-1,3.033828139E-1,-4.866652489E-1
5.434645219E0,4.045000076E-1,2.614490688E-1,-9.029092789E-1
5.475133553E0,9.548187256E-2,-8.021914959E-2,-1.083396435E0
