"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.871649230E0,-1.850842386E-1,-4.014596939E-1,-5.356790423E-1
1.912096938E0,5.552527308E-2,-4.256937504E-1,-4.137098789E-1
1.952571365E0,6.484606117E-2,-1.537930220E-1,2.103835158E-2
1.993059542E0,-6.191666797E-2,-1.644453406E-1,-3.061213493E-1
2.033547771E0,3.342168778E-2,-1.335535944E-1,-4.219654202E-1
2.074035948E0,-1.890788674E-1,-4.793548584E-2,-9.081111848E-2
2.114524178E0,-1.744319052E-1,-6.524552405E-2,2.130466048E-3
2.155038917E0,2.624467909E-1,-2.742975019E-2,-2.054568231E-1
2.195557459E0,3.977313936E-1,-1.860163212E-1,-2.344844192E-1
2.236035532E0,3.151758313E-1,-1.572550237E-1,-1.977338791E-1
2.276501417E0,8.748225868E-2,-2.307561040E-1,-1.948044896E-1
2.317003969E0,-4.087831825E-2,-1.956034154E-1,-1.782933772E-1
2.357504386E0,-2.985315621E-1,-1.362166703E-1,2.316881903E-2
2.398006157E0,-2.961347699E-1,1.802906841E-1,2.559222281E-1
2.438467875E0,-6.271559745E-2,6.339467764E-1,5.561847687E-1
2.478922875E0,8.921326138E-3,1.252980351E0,6.155715585E-1
2.519411313E0,-1.912093312E-1,8.792167306E-1,7.844109535E-1
2.559899698E0,-3.121132851E-1,8.761541545E-2,3.022598624E-1
2.600388084E0,-5.027899742E-1,2.002638131E-1,4.559197426E-1
2.640876469E0,-4.713656008E-1,-2.689713426E-2,4.463326335E-1
2.681370271E0,-3.693695366E-1,-3.711005449E-1,4.852136374E-1
2.721898240E0,-6.484606117E-2,1.094526947E-1,1.818885356E-1
2.762418917E0,-2.719007432E-1,-1.282274276E-1,4.436695576E-1
2.802916053E0,-8.455286920E-2,-1.036205411E0,3.195699155E-1
2.843406105E0,-2.471340597E-1,4.639089704E-1,5.197005868E-1
2.883893032E0,-3.613803089E-1,8.872059584E-1,1.180278182E0
2.924352303E0,1.066564545E-1,9.826774895E-2,8.648360372E-1
2.964784021E0,2.960016131E-1,2.396774292E-1,1.115032673E0
3.005273396E0,4.312862158E-1,2.732322812E-1,1.351248145E0
3.045768448E0,4.300878197E-2,4.965317547E-1,1.560300112E0
3.086269178E0,-5.800193548E-1,1.320622683E0,1.760164380E0
3.126757667E0,-2.607157826E-1,1.105445623E0,1.990787387E0
3.167245323E0,-1.107842326E-1,7.332797647E-1,1.475081444E0
3.207776313E0,-7.676335573E-1,1.219691753E0,1.031545043E0
3.248229125E0,-5.970631242E-1,1.247387886E0,1.224751711E0
3.288775480E0,-7.135729790E-1,1.893584847E0,1.799578071E0
3.329194594E0,-9.681636691E-1,3.277588844E0,2.139121056E0
3.369682667E0,-1.137136221E-1,2.521672964E0,2.552564621E0
3.410240271E0,-1.350182891E-1,2.448438168E0,2.162023544E0
3.450728344E0,1.244991124E-1,1.925541878E0,2.393844843E0
3.491216417E0,3.005288541E-1,1.841654778E0,1.882133603E0
3.531699855E0,4.722976983E-1,2.135126352E0,9.939955473E-1
3.572152980E0,4.327509180E-2,2.499569178E0,8.243572116E-1
3.612641053E0,1.588528752E-1,5.998593569E-1,5.388747454E-1
3.653129125E0,1.639127284E-1,1.139266729E0,-1.004248381E0
3.693642563E0,-1.637795754E-2,1.345655560E0,-2.393844843E0
3.734149490E0,-2.434057444E-1,2.500634491E-1,-2.335789680E0
3.774639542E0,1.295589656E-1,9.236901999E-1,-2.494509459E0
3.815125219E0,-3.027924895E-1,1.843518853E0,-2.042318106E0
3.855604594E0,-3.741630912E-2,1.031811357E0,-2.340583324E0
3.896083709E0,4.528571963E-1,5.830819011E-1,-1.195457816E0
3.936578865E0,3.354152441E-1,9.138367772E-1,-1.727008969E-1
3.977070480E0,8.489907384E-1,8.286181092E-1,9.726908803E-1
4.017558500E0,2.065220475E-1,-2.025274336E-1,-2.503297664E-2
4.058024750E0,2.454030514E-1,-7.003907114E-2,4.873441160E-2
4.098489490E0,3.609808385E-1,-5.631088018E-1,-2.174406946E-1
4.138999178E0,1.194392517E-1,2.916075289E-1,-1.055645943E0
4.179516625E0,7.131735086E-1,2.382127285E0,-7.021217346E-1
4.220013500E0,6.710968018E-1,8.091776371E-1,1.225017942E-2
4.260480636E0,4.394086078E-3,-5.697665215E-1,-6.765561104E-1
4.300993032E0,1.098521575E-1,3.003957272E-1,-8.761541545E-2
4.341483709E0,-4.484631121E-1,2.338186502E-1,-1.822880059E-1
4.381955480E0,-9.287500381E-1,3.148962021E0,-6.179683208E-1
4.422439178E0,3.452686667E-1,1.276681781E0,-7.230269313E-1
4.462917563E0,9.296821356E-1,2.401035309E0,1.055779099E0
4.503387094E0,9.443290830E-1,8.054493070E-1,5.015916228E-1
4.543874698E0,5.424699187E-1,-5.386084318E-1,1.319024801E0
4.584358292E0,5.206326395E-2,-9.089100957E-1,1.583735228E0
4.624847823E0,2.139786780E-1,-5.292876363E-1,3.563204408E-1
4.665338813E0,-2.348838747E-1,-5.617772937E-1,-4.163729548E-1
4.705865844E0,-5.083824396E-1,-6.033213735E-1,-4.736292362E-1
4.746353292E0,9.547150880E-2,-1.423417628E-1,5.085155964E-1
4.786822928E0,2.137123793E-1,-2.272941023E-1,6.837464571E-1
4.827309803E0,4.150414169E-1,3.126458824E-1,1.316361666E0
4.867784386E0,3.300890923E-1,8.246235251E-1,1.291861296E0
4.908278709E0,9.307473898E-2,4.258269072E-1,2.527265251E-1
4.948766834E0,-4.663057625E-1,-2.166417688E-1,-7.832126021E-1
4.989254907E0,6.457975507E-2,1.756169796E0,8.335448056E-2
5.029743032E0,-7.603100687E-2,1.249252081E0,-5.679023266E-1
5.070227563E0,6.631075740E-1,1.310236603E-1,-5.162385702E-1
5.110718292E0,6.439333558E-1,3.376788795E-1,-1.198387146E-2
5.151165011E0,6.220960617E-1,1.906767040E-1,-1.054580659E-1
5.191720323E0,5.547201037E-1,3.611139953E-1,-3.834838793E-2
5.232238344E0,4.406070113E-1,2.660419345E-1,-3.541899845E-2
5.272732615E0,3.612471521E-1,-9.800143540E-2,-1.636464298E-1
5.313221886E0,1.790923029E-1,-1.003982127E-1,-2.744306624E-1
5.353707146E0,6.671021879E-2,-2.515281439E-1,-4.422048628E-1
5.394156886E0,1.531272475E-2,-2.707023323E-1,-6.065170765E-1
5.434645219E0,-1.294258088E-1,-3.489969671E-1,-6.912030578E-1
5.475133553E0,-2.604494691E-1,-3.785571754E-1,-7.315487862E-1
5.515621886E0,-2.213021666E-1,-1.455374658E-1,-4.866783321E-1
5.556104230E0,-6.031882018E-2,2.769605815E-2,-2.089188248E-1
5.596589646E0,-4.567186534E-2,2.766942680E-1,-7.030537724E-2
5.637100688E0,-6.750914454E-2,2.423405200E-1,-1.114500016E-1
5.677600480E0,-1.896114796E-1,6.178351492E-2,-2.800231278E-1
5.718076938E0,-2.833519876E-1,2.157096937E-2,-3.945356905E-1
5.758541313E0,-2.732322812E-1,-6.178351492E-2,-3.945356905E-1
5.799029855E0,-1.248985752E-1,-1.051917598E-1,-2.352833450E-1
5.839519073E0,7.390054315E-2,-4.687025398E-2,-2.769605815E-2
5.880027615E0,2.001306564E-1,4.154408723E-2,5.326165259E-2
5.920548605E0,2.472672164E-1,1.352845877E-1,-4.154408723E-2
5.961012407E0,2.049241960E-1,1.746982187E-1,-1.870815456E-1
6.001477094E0,1.780270636E-1,1.904104054E-1,-2.528596818E-1
6.041978917E0,2.054568231E-1,1.805569977E-1,-2.067883611E-1
6.082465740E0,2.323539555E-1,1.320888996E-1,-1.210371032E-1
6.122965636E0,2.022611201E-1,1.163767055E-1,-5.166380107E-2
6.163483813E0,1.205044836E-1,5.299534276E-2,-2.050573565E-2
6.203967615E0,7.323476952E-3,2.370143496E-2,6.125089712E-3
6.244468292E0,-1.179745570E-1,9.853405878E-3,2.077204362E-2
6.284954594E0,-2.021279633E-1,-4.846810177E-2,3.541899845E-2
6.325446834E0,-2.420742065E-1,-9.400681406E-2,5.113118514E-2
6.365933240E0,-1.874810159E-1,-6.497921795E-2,9.533835202E-2
6.406418553E0,-1.600512564E-1,-1.495320797E-1,1.400781423E-1
6.446907250E0,-1.217028722E-1,-3.914731368E-2,9.933298081E-2
6.487395948E0,-6.937330216E-2,-8.388710022E-2,2.122476846E-1
6.527884646E0,-1.291595027E-2,6.391398143E-3,2.940043211E-1
6.568320844E0,-3.768261895E-2,-9.320789017E-3,2.830856740E-1
6.608834438E0,-4.380770773E-2,-1.970681176E-2,1.778939217E-1
6.649323448E0,-1.717688330E-2,-3.754946589E-2,7.696308941E-2
6.689833032E0,-1.025286783E-2,-5.299534276E-2,3.728315700E-3
6.730267771E0,-2.463351376E-2,-1.599181145E-1,-8.681648970E-2
6.770828917E0,-9.400681406E-2,-1.689725816E-1,-2.105166763E-1
6.811314438E0,-1.541924775E-1,-1.161103994E-1,-2.757622004E-1
6.851804178E0,-1.475347728E-1,1.358172111E-2,-2.174406946E-1
6.892292198E0,-9.214265645E-2,1.022623703E-1,-1.062569916E-1
6.932781521E0,-2.916075476E-2,5.299534276E-2,4.527240526E-3
6.973244021E0,1.557903271E-2,3.728315700E-3,7.430000603E-2
7.013707459E0,4.540555924E-2,-5.139749497E-2,7.696308941E-2
7.054191782E0,4.886756465E-2,-6.657706201E-2,3.621792421E-2
