"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.200396460E0,6.487269402E-1,-2.587184608E-1,-7.480598688E-1
3.240907501E0,7.541849613E-1,-1.721682847E-1,-5.193011090E-2
3.281442605E0,6.045197248E-1,-2.845503688E-1,2.564548552E-1
3.321955105E0,7.126408815E-1,-2.166417688E-1,-6.897383928E-2
3.362445626E0,1.744319126E-2,-4.047885537E-2,-7.323476672E-2
3.402914949E0,-8.508548886E-2,-1.171756350E-2,-4.118457139E-1
3.443384116E0,-7.559159994E-1,-2.583190054E-2,-8.300828338E-1
3.483845730E0,1.205044836E-1,1.991985738E-1,1.067896113E-1
3.524359168E0,2.331528813E-1,1.805569977E-1,-2.896102369E-1
3.564880730E0,-9.214265645E-2,3.621792197E-1,-1.548582464E-1
3.605335991E0,-1.054580659E-1,4.933360517E-1,5.183690190E-1
3.645835835E0,6.854774356E-1,1.113701105E0,8.947957307E-2
3.686265574E0,3.157084286E-1,1.599979997E0,-1.099853039E0
3.726754741E0,8.820129633E-1,-4.234301299E-2,9.239565134E-1
3.767263855E0,9.730903506E-1,-7.110430300E-2,1.127016544E0
3.807761668E0,8.378057480E-1,-2.169080675E-1,7.814815640E-1
3.848304845E0,4.706998467E-1,-2.467346042E-1,-3.834838793E-2
3.888754428E0,1.316894293E-1,-3.396761715E-1,-2.648435533E-1
3.929237501E0,-1.302247345E-1,-1.529940963E-1,-1.679073572E-1
3.969765470E0,-3.323526978E-1,1.736329794E-1,-3.556546867E-1
4.010230210E0,-3.153089881E-1,-2.187722325E-1,-7.021217346E-1
4.050697658E0,-3.009283245E-1,-4.206338823E-1,-4.360797703E-1
4.091189324E0,-3.350157738E-1,-3.740299344E-1,-2.003969699E-1
4.131666147E0,-2.623136342E-1,-2.398105860E-1,-4.687025398E-2
4.172229793E0,-8.814803511E-2,1.531272531E-1,-2.262288630E-1
4.212711460E0,-5.685681105E-2,-5.166380107E-2,-2.403431982E-1
4.253153439E0,-1.296921223E-1,1.145125460E-2,-5.790873170E-1
4.293673074E0,7.736254483E-2,-2.778926790E-1,-3.673722446E-1
4.334180574E0,6.378082931E-2,-2.086525112E-1,-3.348826170E-1
4.374607085E0,8.109086752E-2,-6.924014539E-2,-1.777607650E-1
4.415098491E0,-2.516612969E-2,-1.011971384E-2,-1.450048387E-1
4.455597710E0,-4.394086078E-3,-1.631138027E-1,-1.817553788E-1
4.496129897E0,-2.889444493E-2,-1.311568171E-1,-1.298252791E-1
4.536597293E0,4.194355011E-2,-6.870753318E-2,-7.935985923E-2
4.577135939E0,8.508548886E-2,-8.468602598E-2,-1.022623703E-1
4.617589480E0,7.150376588E-2,-3.994623944E-2,-6.311506033E-2
4.658063022E0,9.227581322E-2,1.496652365E-1,-5.805519968E-2
4.698530574E0,2.596505545E-2,5.459319428E-2,-6.977276504E-2
4.739069480E0,-1.342193633E-1,1.315562725E-1,1.145125460E-2
4.779517241E0,-2.599168718E-1,1.754971445E-1,1.611164957E-1
4.820018543E0,-4.292888939E-1,2.402100414E-1,2.481992990E-1
4.860490158E0,-5.975957513E-1,3.536573648E-1,2.769605815E-1
4.900969845E0,-5.110455155E-1,3.163742125E-1,2.202369273E-1
4.941475105E0,-3.195699155E-1,-1.091863867E-2,4.873441160E-2
4.982017970E0,-3.994623839E-4,-1.316894293E-1,1.864157803E-2
5.022462814E0,3.223661482E-1,1.728340536E-1,1.683068126E-1
5.062946824E0,6.745588183E-1,4.740287066E-1,4.442021847E-1
5.103493283E0,1.034341216E0,4.314193726E-1,9.407339096E-1
5.143974689E0,8.212946653E-1,2.205032408E-1,7.660356760E-1
5.184453439E0,5.936011076E-1,-2.938711643E-1,2.466014475E-1
5.224895053E0,3.926715255E-1,-2.808220685E-1,-6.764229387E-2
5.265385939E0,2.528596818E-1,-3.541899845E-2,-2.659088075E-1
5.305902866E0,4.544550478E-1,-3.804213405E-1,-3.471328020E-1
5.346393074E0,7.246247530E-1,-1.105179265E-1,-3.655080795E-1
5.386829116E0,5.456656218E-1,1.326215118E-1,-3.716331720E-1
5.427389272E0,5.882749557E-1,2.809551954E-1,-4.794880152E-1
5.467805626E0,5.938674212E-1,2.580527067E-1,-4.499278069E-1
5.508294012E0,5.754921436E-1,2.796236612E-2,-3.348826170E-1
5.548811512E0,5.680354834E-1,-8.761541545E-2,-3.468665183E-1
5.589331720E0,4.256937504E-1,-1.225017942E-2,-3.889431953E-1
5.629796980E0,3.287575543E-1,-3.222329915E-2,-3.473991156E-1
5.670281408E0,1.995980442E-1,1.145125460E-2,-2.443378270E-1
5.710771668E0,-1.424749196E-2,-6.577813625E-2,-6.684337556E-2
5.751279845E0,-2.133129090E-1,-5.379426852E-2,7.989247888E-2
5.791781408E0,-2.857487500E-1,-9.587096982E-3,2.093182951E-1
5.832230887E0,-2.375469655E-1,-6.018566713E-2,2.881455421E-1
5.872714949E0,-2.399437428E-1,-1.181077138E-1,2.854824364E-1
5.913201928E0,-2.173075378E-1,-7.403369248E-2,2.319544852E-1
5.953710574E0,-1.621817350E-1,-7.722939365E-3,1.723014414E-1
5.994220783E0,-8.588441461E-2,2.370143496E-2,9.347419441E-2
6.034689480E0,1.344856713E-2,-9.853405878E-3,-1.278279629E-2
6.075161199E0,7.869409025E-2,-8.255556226E-3,-7.483261824E-2
6.115631668E0,1.106510833E-1,2.263620123E-2,-1.006645188E-1
6.156138074E0,1.151783243E-1,3.222329915E-2,-1.082543060E-1
6.196651720E0,9.254211932E-2,3.488638252E-2,-9.107742459E-2
6.237136303E0,5.579157919E-2,2.370143496E-2,-5.725627393E-2
6.277645314E0,7.323476952E-3,2.583190054E-2,-2.023942769E-2
6.318063387E0,-3.022598661E-2,1.304910425E-2,1.970681176E-2
6.358598126E0,-4.700340703E-2,-7.989247330E-3,3.621792421E-2
6.399098074E0,-3.901416063E-2,-3.408745676E-2,4.367455468E-2
6.439577814E0,-2.223674022E-2,-3.435376659E-2,3.248960897E-2
6.480063699E0,-3.328853287E-3,-2.316881903E-2,1.517957076E-2
6.520572033E0,1.557903271E-2,2.157096937E-2,3.994623665E-3
6.561054845E0,1.026618332E-1,2.964010835E-1,9.507204592E-2
6.601526564E0,1.344856713E-2,5.700328350E-1,2.471340597E-1
6.642050053E0,-1.408770680E-1,1.989322603E-1,3.009283245E-1
6.682523387E0,-2.862813771E-1,1.624480449E-2,2.809551954E-1
6.722993803E0,-3.485974967E-1,-7.722939365E-3,3.240971565E-1
6.763526303E0,-4.396749437E-1,7.030537724E-2,3.595161438E-1
