"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717604970304844E9,"2024-06-05 18:29:30.305 UTC+02:00"
"PAUSE",2.975226105833281E2,1.717605267821754E9,"2024-06-05 18:34:27.822 UTC+02:00"
