"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718528723307637E9,"2024-06-16 11:05:23.308 UTC+02:00"
"PAUSE",2.804801222500391E2,1.718529003861828E9,"2024-06-16 11:10:03.862 UTC+02:00"
