"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717507304145309E9,"2024-06-04 15:21:44.145 UTC+02:00"
"PAUSE",1.317969387500016E2,1.717507435951019E9,"2024-06-04 15:23:55.951 UTC+02:00"
