"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.069213593E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.607075784E1,1.313236060E0
8.169213212E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.640898228E1,1.324383782E0
8.269212687E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.611587296E1,1.286054300E0
8.369212127E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.589937395E1,1.275042753E0
8.469211674E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.593423413E1,1.289103465E0
8.569211280E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.580926224E1,1.305432378E0
8.669210684E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.583058264E1,1.280611579E0
8.769210339E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.571770479E1,1.277844907E0
8.869209814E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.577132934E1,1.275439987E0
8.969209266E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.567558148E1,1.273602291E0
9.069208777E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.554280566E1,1.272089316E0
9.169208324E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.559398192E1,1.292698550E0
9.269207728E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.554052755E1,1.269548322E0
9.369207346E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.560306604E1,1.267987491E0
9.469206822E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.568002026E1,1.288752804E0
9.569206285E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.572926953E1,1.265716928E0
9.669205844E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.580589131E1,1.285490644E0
9.769205320E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.584275087E1,1.241625053E0
9.869204760E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.593189270E1,1.281768227E0
9.969204390E1,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.607161641E1,1.311305394E0
1.006920377E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.257204018E1,1.306436759E0
1.016920333E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.263548845E1,1.282006971E0
1.026920282E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.269875304E1,1.257945782E0
1.036920226E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.280195728E1,1.299049236E0
1.046920180E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.286534613E1,1.274709386E0
1.056920128E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.295622925E1,1.294001431E0
1.066920078E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.303292169E1,1.291680503E0
1.076920029E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.309494128E1,1.267993030E0
1.086919984E2,5.235781835E1,4.912014842E0,1.966955806E0,0.000000000E0,NaN,1.318530740E1,1.287818053E0
1.096919934E2,5.235777104E1,4.911927678E0,1.934081605E0,4.914491694E-3,NaN,1.334003028E1,1.295511790E0
1.106919879E2,5.235777103E1,4.911927615E0,1.914797034E0,6.002079620E-3,NaN,1.370667312E1,1.302123209E0
1.116919823E2,5.235777102E1,4.911927537E0,1.897154003E0,7.647368349E-3,NaN,1.480371515E1,1.353814220E0
1.126919776E2,5.235777102E1,4.911927466E0,1.882737231E0,8.852183214E-3,NaN,1.664554687E1,1.376013303E0
1.137170014E2,5.235777101E1,4.911927424E0,1.878318793E0,0.000000000E0,NaN,1.965378979E1,1.418792787E0
1.147172550E2,5.235777100E1,4.911927324E0,1.863109075E0,9.476765550E-3,NaN,2.273869744E1,1.401278219E0
1.216919328E2,5.235777100E1,4.911927303E0,1.860677855E0,0.000000000E0,NaN,1.895513212E1,3.153431481E0
1.226919276E2,5.235777100E1,4.911927303E0,1.860677855E0,0.000000000E0,NaN,1.846796779E1,2.001963285E0
1.236919228E2,5.235777102E1,4.911927538E0,1.856416396E0,1.027435509E-3,NaN,1.825993460E1,1.647076083E0
1.246919178E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.868219450E1,1.482369658E0
1.256919119E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.946739255E1,1.415463367E0
1.266919076E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,2.069319984E1,1.416438256E0
1.276919025E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,2.193799848E1,1.392065430E0
1.286918974E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,2.353377789E1,1.401272470E0
1.296918917E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,2.531420207E1,1.411897237E0
1.306918870E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,2.058628043E1,1.374477380E0
1.316918821E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.439873999E1,1.319941895E0
1.326918765E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.444203385E1,1.319092944E0
1.336918715E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.448340774E1,1.300873042E0
1.346918670E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.453635768E1,1.287406594E0
1.356918614E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.459536632E1,1.277753808E0
1.366918567E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.464067805E1,1.250144830E0
1.376925043E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.472260616E1,1.265838425E0
1.386925070E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.480427831E1,1.282825836E0
1.396924956E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.485497331E1,1.259143010E0
1.406924921E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.493660723E1,1.277970990E0
1.416924891E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.509717767E1,1.307856914E0
1.426924773E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.515895899E1,1.305919910E0
1.436924765E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.520524822E1,1.281127189E0
1.446924726E2,5.235777102E1,4.911927537E0,1.859132934E0,0.000000000E0,NaN,1.526878451E1,1.279306180E0
1.456924618E2,5.235773758E1,4.911843035E0,2.741115639E0,0.000000000E0,NaN,5.847149157E1,4.000000000E0
1.466924634E2,5.235773758E1,4.911843035E0,2.841518471E0,0.000000000E0,NaN,5.526469593E1,4.000000000E0
1.476924624E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,5.657509487E1,4.000000000E0
1.486924499E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,7.439341544E1,4.000000000E0
1.496924441E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,9.681520735E1,4.000000000E0
1.507054408E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,2.081058190E1,3.766039849E0
1.516924393E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,2.447896673E1,1.431614430E0
1.526924300E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,2.819328396E1,1.437572077E0
1.536924207E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,1.671980285E1,6.553962852E0
1.546924132E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,1.495964890E1,1.338858828E0
1.556924045E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,1.471682338E1,1.313877506E0
1.566923962E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,1.463456711E1,1.294916793E0
1.576923884E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,1.459114305E1,1.260522923E0
1.586923797E2,5.235773787E1,4.911841275E0,2.805812904E0,0.000000000E0,NaN,1.465911780E1,1.292835166E0
1.596923721E2,5.235777328E1,4.911909165E0,1.601675410E0,3.089700600E-3,NaN,1.486401113E1,1.273344737E0
1.606923647E2,5.235777329E1,4.911909158E0,1.655633432E0,6.623220407E-3,NaN,1.527364331E1,1.323608084E0
1.616923579E2,5.235777329E1,4.911909151E0,1.703787968E0,1.381294280E-2,NaN,1.607940079E1,1.350429345E0
1.627160887E2,5.235777329E1,4.911909143E0,1.746115857E0,1.848915798E-2,NaN,1.774635326E1,1.399149240E0
1.636923423E2,5.235777329E1,4.911909137E0,1.776266462E0,2.087440286E-2,NaN,1.982305434E1,1.388286555E0
1.646923349E2,5.235777329E1,4.911909130E0,1.802327235E0,2.141913160E-2,NaN,2.321645747E1,1.426461110E0
1.656923285E2,5.235777328E1,4.911909123E0,1.818985319E0,2.059245852E-2,NaN,2.706556726E1,1.435160735E0
1.666923217E2,5.235777434E1,4.911904879E0,1.829844610E0,6.095901945E-2,NaN,3.145549221E1,1.439879997E0
1.676923146E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,3.643220088E1,1.442389644E0
1.686923076E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,4.184568626E1,1.443483841E0
1.696923013E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,4.756123517E1,1.443950999E0
1.706922938E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,5.288158553E1,1.417599820E0
1.716922874E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,5.589074682E1,1.554758797E0
1.726922809E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,7.336095267E1,4.000000000E0
1.736922750E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,6.796553469E1,4.000000000E0
1.746922683E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,4.860443023E1,4.000000000E0
1.756922622E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,5.179435376E1,4.000000000E0
1.766922557E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,4.788706990E1,4.000000000E0
1.776922486E2,5.235777450E1,4.911904246E0,1.826840596E0,0.000000000E0,NaN,1.695937568E1,6.304578894E0
1.786922426E2,5.235778313E1,4.911904434E0,1.787987360E0,0.000000000E0,NaN,1.700309285E1,6.266809866E0
1.796922370E2,5.235778313E1,4.911904434E0,1.787987360E0,0.000000000E0,NaN,1.645092566E1,1.315912267E0
1.806922306E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.696488482E1,1.343961773E0
1.816922249E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,1.774195145E1,1.367982236E0
1.826922181E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,4.730156065E1,4.000000000E0
1.836922127E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,4.570676635E1,4.000000000E0
1.846922070E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,4.761302807E1,4.000000000E0
1.856922003E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,4.578130429E1,4.000000000E0
1.866921943E2,5.235778320E1,4.911904405E0,1.772759070E0,0.000000000E0,NaN,4.584601810E1,4.000000000E0
