"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.621776583E0,6.375849247E-1,8.344032168E-1,-1.594728351E0
1.662076583E0,-2.266828567E-1,1.289725542E0,-1.624513745E0
1.702375583E0,-1.823507249E-1,1.307502985E0,-7.327594757E-1
1.742676083E0,2.399988919E-1,1.924073100E-1,-3.440964520E-1
1.782975083E0,2.742210031E-1,2.280500531E-1,-6.719885767E-2
1.823275083E0,-1.031344831E-1,1.242470443E-1,2.068553306E-2
1.863574083E0,-1.132348552E-1,2.597403899E-2,1.454492211E-1
1.903873083E0,-1.482746452E-1,-2.812042460E-2,8.015006036E-2
1.944173083E0,-7.860762477E-1,3.543570936E-1,1.657621413E-1
1.984472083E0,-1.807372808E0,1.931527406E-1,8.827317953E-1
2.024772083E0,-1.509662271E0,-8.054558635E-1,9.480195045E-1
2.065071083E0,-2.729308367E0,4.742913544E-1,1.391854733E-1
2.105371083E0,-3.504796505E0,4.875670075E-1,-2.874726057E-1
2.145670083E0,-2.247786045E0,-1.512986064E0,-1.141285375E-1
2.185970083E0,-1.893130064E0,-1.589996338E0,1.114819884E0
2.226269083E0,-2.517374992E0,-2.338613719E-1,1.211575940E-1
2.266569083E0,1.345023513E0,-2.695752859E0,-2.006438971E-1
2.306868083E0,-9.264746308E-2,-6.949437857E-1,7.220841646E-1
2.347168083E0,-6.051904559E-1,5.794602036E-1,2.302533537E-1
2.387467083E0,-6.234600544E-1,6.418762207E-1,3.851233125E-1
2.427767083E0,-2.262159824E0,2.332791805E0,-2.824447453E-1
2.468066083E0,-3.293891191E0,3.882322788E0,-7.238126993E-1
2.508365083E0,-2.067499399E0,3.391755342E0,-1.410738938E-2
2.548665083E0,-1.354425550E0,1.770874739E0,4.570257068E-1
2.588964083E0,2.438925439E-3,3.474059999E-1,1.360818624E0
2.629264083E0,5.242959261E-1,-4.561101496E-1,2.175081730E0
2.669563083E0,-2.727127075E-1,-4.343567193E-1,2.656497478E0
2.709863083E0,1.272648275E-1,-4.510080814E-1,6.574088931E-1
2.750161875E0,5.186848044E-1,5.840346813E-1,7.864244580E-1
2.790461875E0,-5.454075933E-1,3.317943811E0,8.378353715E-1
2.830760875E0,-1.789272577E-1,6.018086672E-1,8.778817058E-1
2.871060875E0,3.427815139E-1,-4.027327299E-1,6.685290337E-1
2.911359875E0,5.757983923E-1,1.732325405E-1,6.861198545E-1
2.951659875E0,9.213846326E-1,-2.186296463E0,6.901623607E-1
2.991958875E0,1.097604752E0,-2.708226204E0,1.074813247E0
3.032257875E0,8.156299591E-1,-3.542436361E0,1.256996751E0
3.072557875E0,1.446368814E0,-4.832856655E0,1.753535748E0
3.112856875E0,4.939999580E-1,-2.563603401E0,7.506744266E-1
3.153156875E0,4.218422771E-1,-1.342275858E0,9.346285462E-2
3.193455875E0,1.859406382E-1,1.034374475E0,-1.209483266E0
3.233755875E0,-8.096851408E-2,3.428379059E0,-2.316949129E0
3.274054875E0,2.001882717E-2,3.616086483E0,-1.930293322E0
3.314354875E0,1.526151597E-1,3.550396919E0,-1.826559544E0
3.354653875E0,4.069883227E-1,2.454941273E0,-1.415359497E0
3.394953875E0,5.153669715E-1,1.000122428E0,-8.990049958E-1
3.435252875E0,1.041115642E0,2.262016058E0,-1.452616811E0
3.475551875E0,4.184383452E-1,1.616330147E0,-1.116474509E0
3.515851875E0,7.303300500E-2,1.251189590E0,-2.294003069E-1
3.556150875E0,2.470751256E-1,9.366827011E-1,1.131751668E-2
3.596450875E0,1.526229233E-1,1.109047830E-1,8.149948120E-1
3.636749875E0,-7.649344206E-1,9.692143202E-1,4.770227969E-1
3.677049875E0,-5.115129948E-1,-1.248822689E0,4.858832359E-1
3.717348875E0,-1.902768463E-1,-3.850494385E0,1.018580437E0
3.757648250E0,-8.057785630E-1,-4.183191299E0,-3.374147713E-1
3.797947250E0,-4.378569424E-1,-6.814020276E-1,-7.318179607E-1
3.838246250E0,-1.398885131E0,2.840117216E0,-2.354707956E0
3.878546250E0,-1.050242186E0,1.862553596E0,-2.692484856E0
3.918845250E0,-1.429236293E0,2.123584747E0,-2.567912340E0
3.959145250E0,-1.670106053E0,2.132213593E0,-3.659428120E0
3.999444250E0,-1.102865219E0,1.878149033E0,-4.123922825E0
4.039744250E0,1.849685311E-1,-8.231286407E-1,-3.345198631E0
4.080043250E0,1.861243129E0,-3.386151791E0,-2.729598999E0
4.120343250E0,3.513607502E0,-5.016733170E0,-4.391152859E-1
4.160642250E0,3.739667654E0,-3.595199823E0,5.420320630E-1
4.200941250E0,2.753348827E0,-2.859092712E0,9.108188152E-1
4.241241250E0,1.566603303E0,-1.540314913E0,1.739218533E-1
4.281540250E0,1.383472085E0,-1.484066010E0,5.638943315E-1
4.321840250E0,1.220494270E0,-1.049878120E0,4.964841306E-1
4.362139250E0,7.223802805E-1,-6.613579988E-1,4.968765974E-1
4.402439250E0,3.898788095E-1,-3.651229739E-1,4.000537097E-1
4.442738250E0,6.335029602E-1,-4.379437566E-1,1.227435991E-1
4.483038250E0,5.152553916E-1,-2.495699972E-1,6.074464694E-2
4.523337250E0,4.717998952E-2,2.596797049E-2,8.176952600E-3
4.563636250E0,-1.743019521E-1,3.115518391E-1,-3.779730201E-1
4.603936250E0,1.175319999E-1,-3.810674325E-2,-1.322535574E-1
4.644235250E0,3.531271964E-2,-6.192613021E-2,3.073578477E-1
4.684535250E0,2.321185470E-1,2.718991041E-1,-3.291862607E-1
4.724834250E0,-1.206806116E-2,3.046648800E-1,-1.466087848E-1
4.765135208E0,-1.121353172E-2,1.549707204E-1,1.767034270E-2
4.805434208E0,1.744726896E-1,7.455675602E-1,-3.769078851E-1
4.845733208E0,1.407598108E-1,2.330654711E-1,-5.323327612E-3
4.886033208E0,1.659415811E-1,7.459920049E-1,-4.350986704E-2
4.926332208E0,7.624681592E-1,9.240294099E-1,-1.015089750E-1
4.966632208E0,4.621780217E-1,2.838899136E0,1.134845018E-1
5.006931208E0,9.574575424E-1,4.795501530E-1,2.409883887E-1
5.047231208E0,1.741328597E0,2.245061100E-1,-2.257467359E-1
5.087530208E0,2.218752623E0,-8.058586121E-1,3.088473380E-1
5.127830208E0,1.651363254E0,-2.926243097E-2,-7.666812539E-1
5.168129208E0,-2.981653214E-1,3.990817308E0,-2.780946970E0
5.208428208E0,-3.468211412E0,7.226486683E0,-4.947486877E0
5.248728208E0,-4.697962761E0,9.882811546E0,-6.681369781E0
5.289027208E0,-6.533326626E0,1.080727196E1,-5.817195415E0
5.329327208E0,-6.018736362E0,5.438436508E0,-1.823128343E0
5.369626208E0,-5.480186462E0,1.237497211E0,-9.705611318E-2
5.409926208E0,-3.187015772E0,-2.567989826E-1,-3.517995775E-1
5.450225208E0,-1.144787312E0,-1.073151827E0,-1.199498653E0
5.490524208E0,-8.387125134E-1,2.146114558E-1,-1.835691810E0
5.530824208E0,-2.148638219E-1,-9.726446271E-1,-1.241795182E0
5.571123208E0,-1.825059891E0,-3.378413200E0,-1.539422989E0
5.611423208E0,-2.639634848E0,-4.084091663E0,-2.172653377E-1
5.651722208E0,-1.032985091E0,-4.989243984E0,1.148571491E0
5.692022208E0,2.377004325E-1,-2.616607904E0,1.114954948E0
5.732321208E0,1.535493731E0,-1.894206166E0,1.168815970E0
5.772619583E0,8.330633640E-1,-7.141830921E-1,9.004852772E-1
5.812919583E0,-1.841291785E0,-1.306257486E0,1.485630512E0
5.853218583E0,-8.978754282E-1,-1.393902063E0,5.846232772E-1
5.893518583E0,-1.723406672E0,-1.193276405E0,-7.140007615E-2
5.933817583E0,-1.456995368E0,-1.067206144E0,-1.159185529E0
5.974117583E0,-9.479679465E-1,-4.673575759E-1,-1.744139075E0
6.014416583E0,-1.320934057E0,3.548071086E-1,-1.958257794E0
6.054715583E0,-5.691582561E-1,-1.362885594E0,-1.508367419E0
6.095015583E0,2.220529020E-1,-1.508876324E0,-1.772988677E0
6.135314583E0,1.095103025E0,-8.280777931E-1,-1.196701527E0
6.175614583E0,8.751357198E-1,-1.767864704E0,-2.082772493E0
6.215913583E0,-7.688746452E-1,-1.084287643E0,3.992129862E-2
6.256213583E0,-6.129220724E-1,-7.688195109E-1,-7.649680972E-1
6.296512583E0,-8.559966683E-1,-1.023033738E0,-2.310921907E0
6.336811583E0,-1.165178061E0,2.127828151E-1,-3.606933117E0
6.377111583E0,8.749090433E-1,3.875332832E0,-6.580815315E-1
6.417410583E0,1.975111604E0,2.807845592E0,3.485255957E0
6.457710583E0,7.321255803E-1,1.135614157E0,2.003403425E0
6.498009583E0,-5.220605731E-1,5.146242976E-1,-4.759598970E-1
6.538309583E0,-3.513145447E0,-1.341249585E0,7.925447822E-1
6.578608583E0,-2.741624832E0,1.104379416E0,7.626796961E-1
6.618907583E0,-3.165933609E0,-2.857800722E0,-1.677376866E0
6.659207583E0,-6.696204543E-1,-1.210560560E0,-1.171876669E0
6.699506583E0,2.365725756E0,1.364966393E0,-6.290389299E-1
6.739806583E0,3.349473953E0,1.420913935E0,1.717109561E0
6.780106208E0,3.324055910E0,2.605421305E0,3.184504747E0
6.820406208E0,2.059168816E0,4.086117744E0,1.241655350E0
6.860705208E0,3.621360660E-1,5.711156368E0,7.061699629E-1
6.901004208E0,-2.073948622E0,4.350376129E0,1.058001965E-1
6.941304208E0,-4.695034027E0,-7.007519722E0,-1.053165436E0
6.981603208E0,-3.550689518E-1,1.238014460E0,-9.994542599E-1
7.021903208E0,1.429395676E0,2.111966610E0,-4.613498449E-1
7.062202208E0,1.493310452E0,-2.419278324E-1,-5.039798021E-1
7.102502208E0,-1.078479365E-1,-4.390122890E0,-5.580182076E-1
7.142801208E0,-1.833127856E0,-3.583427906E0,-2.777975202E-1
7.183101208E0,1.237106204E0,4.995113850E0,3.727261424E-1
7.223400208E0,2.680774212E0,8.055474162E-1,1.727821112E0
7.263699208E0,2.883841753E0,-8.170247078E-1,1.993856072E0
7.303999208E0,1.596523762E0,1.118921280E0,1.635779142E0
7.344298208E0,6.659207866E-3,-2.297703028E-1,5.021518469E-1
7.384598208E0,-1.603601694E0,-1.488858223E0,5.602905154E-1
7.424897208E0,-1.239979744E0,-1.705110908E0,8.669414520E-1
7.465197208E0,-7.730701566E-1,-9.387513399E-1,8.680631518E-1
7.505496208E0,-7.303528786E-1,-1.753336191E0,4.441027939E-1
7.545795208E0,-1.442710042E0,-1.640469909E0,-1.274525076E-1
7.586095208E0,-1.223332524E0,-9.754189849E-1,-3.792831898E-1
7.626394208E0,-6.507195234E-1,-2.263081312E0,1.262857020E-1
7.666694208E0,-2.918312788E0,-3.201431513E0,3.403663039E-1
7.706993208E0,-3.954120636E0,-2.013423681E0,3.547251523E-1
7.747292125E0,-5.763906837E-1,3.252209425E-1,-5.996711850E-1
7.787592125E0,-9.711326361E-1,-8.624923825E-1,-2.507219613E-1
7.827891125E0,-1.860684991E0,-3.256876469E0,1.786498129E-1
7.868191125E0,-2.048335314E0,-1.770871282E0,-2.034876347E-1
7.908490125E0,-1.224662304E0,-6.924768686E-1,1.572615802E-1
7.948789125E0,-5.583403111E-1,1.269928068E-1,6.010146737E-1
7.989089125E0,1.889599115E-1,6.313407421E-1,6.113239527E-1
8.029388125E0,-3.343708515E-1,-1.093392819E-1,6.328914165E-1
8.069688125E0,-7.923606038E-1,-3.477770984E-1,7.516968250E-1
8.109987125E0,-6.642779708E-1,-3.710699081E-1,8.218261003E-1
8.150286125E0,-1.138303131E-1,7.663046122E-1,1.219705820E0
8.190586125E0,1.993598603E-2,5.323569179E-1,1.172955036E0
8.230885125E0,-6.243358254E-1,2.811695039E-1,1.271490812E0
8.271185125E0,-6.835271716E-1,3.503439426E-1,1.432469606E0
8.311484125E0,-2.680682540E-1,-4.416905940E-1,1.440240622E0
8.351783125E0,-7.230581641E-1,-2.118668854E-1,2.021105051E0
8.392083125E0,-3.408482075E-1,-7.742434740E-1,1.760856509E0
8.432382125E0,-3.379137069E-2,-1.219341382E-1,1.828945160E0
8.472682125E0,-3.884034753E-1,-3.096736073E-1,2.608738184E0
8.512981125E0,-1.948878914E-1,-1.255738974E0,2.916295052E0
8.553280125E0,6.045007110E-1,-9.981809855E-1,3.227323771E0
8.593580125E0,-1.794726402E-1,2.675236940E0,2.428568840E0
8.633879125E0,-1.238548994E0,-9.006842375E-1,-9.040995836E-1
8.674179125E0,-2.831839323E-1,-2.800964117E-1,2.402096748E0
