"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718108349979518E9,"2024-06-11 14:19:09.980 UTC+02:00"
"PAUSE",2.553034736666596E2,1.718108605212801E9,"2024-06-11 14:23:25.213 UTC+02:00"
