"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717508534529851E9,"2024-06-04 15:42:14.530 UTC+02:00"
"PAUSE",3.560885818333336E2,1.717508890618177E9,"2024-06-04 15:48:10.618 UTC+02:00"
