"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.600366672E0,-6.202319264E-1,1.712362021E-1,-1.159772426E-1
3.640847192E0,-5.009258389E-1,9.320789017E-3,-1.673747450E-1
3.681355213E0,-4.367455542E-1,-2.716344222E-2,-2.757622004E-1
3.721851307E0,-3.392767310E-1,9.267527610E-2,-3.585840762E-1
3.762326515E0,-1.195724085E-1,3.190372884E-1,-3.412740231E-1
3.802820995E0,1.577876359E-1,4.479304850E-1,-2.017285079E-1
3.843300838E0,2.294245660E-1,3.858806491E-1,-2.147776037E-1
3.883805474E0,4.187697470E-1,3.778914213E-1,9.800143540E-2
3.924297817E0,1.641790420E-1,5.561847687E-1,-6.125089712E-3
3.964796672E0,1.308905035E-1,2.194380015E-1,2.660419345E-1
4.005282870E0,4.400743842E-1,1.150451675E-1,2.833519876E-1
4.045742453E0,1.229012609E-1,6.278216839E-1,4.327509105E-1
4.086250213E0,-2.623136342E-2,3.512606025E-1,5.191679597E-1
4.126753182E0,3.945356905E-1,-1.517957076E-2,8.491238952E-1
4.167237817E0,9.155677557E-1,1.177082509E-1,1.002783775E0
4.207732922E0,9.041165113E-1,-2.832188308E-1,6.267564893E-1
4.248204276E0,3.652417660E-1,2.332860380E-1,-1.065232977E-2
4.288697036E0,1.820216924E-1,6.179683208E-1,-5.348801613E-1
4.329191672E0,1.785596907E-1,4.093157947E-1,-3.852148950E-1
4.369680838E0,1.183740199E-1,-3.089175746E-2,3.009283356E-2
4.410162974E0,3.820191920E-1,2.226337045E-1,5.700328350E-1
4.450643599E0,4.587159753E-1,-2.861482203E-1,7.465952039E-1
4.491123755E0,2.600499988E-1,-2.605826259E-1,5.756253004E-1
4.531628182E0,1.596518010E-1,-2.302234918E-1,3.997286856E-1
4.572118651E0,2.496639937E-1,-1.428743750E-1,3.491301239E-1
4.612596099E0,3.724320829E-1,-4.978632927E-1,4.481967986E-1
4.653092922E0,2.890776098E-1,-4.014596939E-1,4.830831885E-1
4.693589172E0,-2.676397935E-2,-2.371474952E-1,8.335448056E-2
4.734094484E0,-1.454043090E-1,-5.862776041E-1,-5.672365800E-2
4.774575734E0,-4.652405083E-1,-3.103822768E-1,-2.742975019E-2
4.815054380E0,-3.126458824E-1,-9.669652581E-1,1.672415882E-1
4.855548442E0,-1.765623689E-1,-1.112902164E0,1.344856620E-1
4.896044276E0,-3.661738336E-2,-1.166430116E0,1.933397949E-1
4.936522609E0,-8.295502514E-2,-9.997211695E-1,1.999974996E-1
4.977007036E0,2.596505545E-2,-6.328815818E-1,2.183727771E-1
5.017502817E0,-2.969337068E-2,-7.890713811E-1,2.529928386E-1
5.057987609E0,-2.756290510E-2,-6.896052361E-1,-1.464695390E-2
5.098472817E0,1.833532304E-1,-8.500559330E-1,4.580501840E-2
5.138968182E0,2.090519853E-2,-2.842840552E-1,2.711018026E-1
5.179455109E0,-1.185071748E-2,-2.371474952E-1,1.541924775E-1
5.219930526E0,3.644428551E-1,-3.159747422E-1,5.729622245E-1
