"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.276469692E0,3.072406054E0,-2.271003723E-1,-1.907334328E-1
3.316957817E0,1.004000664E0,-1.025415897E0,-5.022630692E-1
3.357437765E0,-2.622433186E0,1.706581116E-1,9.564971924E-1
3.397915734E0,-5.119612694E0,1.300222397E0,7.197699547E-1
3.438406463E0,-3.315863848E0,-6.012635231E-1,2.111830711E-1
3.478902765E0,-1.599617004E0,4.022879601E-1,6.287760735E-1
3.519399380E0,5.531659126E-1,-7.588787079E-1,7.893307209E-1
3.559898547E0,-4.531295300E-1,-2.842741013E-1,1.270168781E0
3.600366672E0,-1.130589724E0,5.168142319E-1,1.023674488E0
3.640847192E0,-1.831055641E0,8.724102974E-1,3.800802231E-1
3.681355213E0,-6.583316326E-1,1.869606972E0,6.714901924E-1
3.721851307E0,7.306947708E-1,6.519846916E-1,5.423438549E-1
3.762326515E0,1.489295840E0,4.147663116E-1,3.053565025E-1
3.802820995E0,1.070348263E0,-4.460239410E-1,1.032377720E0
3.843300838E0,-1.512362957E-1,3.928613663E-1,5.553364754E-1
3.883805474E0,-4.539709091E-1,1.541423798E-2,-1.108229160E-1
3.924297817E0,-5.575280190E-1,3.131628036E-1,1.086773634E0
3.964796672E0,8.011300564E-1,6.171798706E-1,-6.137585640E-1
4.005282870E0,-1.530286074E0,-1.322401047E0,-7.856342793E-1
4.045742453E0,7.327017784E-1,-1.871228218E0,1.702595234E0
4.086250213E0,1.606516838E0,2.527160645E-1,1.959793568E-1
4.126753182E0,-1.239457607E0,-2.108669281E-1,-5.150513649E-1
4.167237817E0,8.442592621E-2,-3.377505302E0,1.009029150E0
4.207732922E0,3.244176626E0,-5.931456566E0,-1.369985580E0
4.248204276E0,1.871264696E0,1.344057560E0,-8.154585361E-1
4.288697036E0,1.784534454E0,2.720014572E0,-6.496956348E-1
4.329191672E0,6.176023483E-1,1.110273361E0,7.465839386E-3
4.369680838E0,-1.002526283E0,2.124733925E0,-1.811864257E0
4.410162974E0,-4.604043007E0,-8.520588875E-1,9.174423218E-1
4.450643599E0,-2.613962650E0,-6.733584404E-1,2.276284695E-1
4.491123755E0,-1.240744591E-1,2.536010742E-2,-3.092191219E-1
4.531628182E0,8.217668533E-1,1.930837631E-1,-1.161723137E0
4.572118651E0,2.485637665E-1,-6.384325027E-2,-2.844121456E-1
4.612596099E0,-1.017885685E0,-7.068581581E-1,-1.086273193E-1
4.653092922E0,-3.153785229E0,-1.735975266E0,7.046051025E-1
4.693589172E0,-1.032630920E0,-1.805550098E0,-6.232256889E-1
4.734094484E0,5.390586853E-1,-2.127061844E0,-2.967448235E-1
4.774575734E0,-7.449698448E-1,-4.282708168E-1,-4.360566139E-1
4.815054380E0,-7.506542206E-1,1.995982170E0,-7.992110252E-1
4.855548442E0,-2.566971302E0,3.063298225E0,2.037458420E-1
4.896044276E0,-2.995913982E0,8.590416908E-1,-1.738734245E-1
4.936522609E0,2.954607010E-1,1.623034000E0,-2.009602308E0
4.977007036E0,6.493725777E-1,1.451447487E0,-1.446002960E0
5.017502817E0,1.788597107E-1,-1.102972031E-1,-8.561406136E-1
5.057987609E0,4.638891220E-1,5.162849426E-1,-8.963356018E-1
5.098472817E0,9.278621674E-1,1.786022186E-1,-3.078575134E-1
5.138968182E0,3.611230850E-1,-1.783329964E0,-2.108545303E-1
5.179455109E0,3.619039059E-1,-1.261503696E0,-5.471448898E-1
5.219930526E0,8.443756104E-1,-4.119389534E0,-1.291170120E-1
5.260417713E0,1.423110962E-1,-5.222143650E0,5.279588699E-2
5.300904328E0,1.253023386E0,-2.142730713E0,-6.541581154E-1
5.341436255E0,7.892723083E-1,-1.543719769E0,-6.995658875E-1
5.381899276E0,2.089675426E0,7.123250961E-1,-1.698394299E0
5.422412765E0,3.542149067E0,3.742171049E0,-1.268558979E0
5.462889172E0,1.691523075E0,2.712589264E0,-6.941566467E-1
5.503351411E0,4.704442024E-1,1.818610668E0,-5.971500874E-1
5.543870942E0,-8.962535858E-2,3.206556320E0,-2.118577957E-1
5.584366984E0,-8.983626366E-1,2.747791767E0,1.111012697E0
5.624823286E0,-1.539851665E0,1.371362686E0,1.861659288E0
5.665324640E0,-9.711322784E-1,2.999448776E0,8.196322918E-1
5.705831880E0,-6.549756527E-1,2.979895592E0,1.102807283E0
5.746305161E0,4.730498791E-1,2.665346622E0,6.140463352E-1
5.786792192E0,1.094770432E-1,9.753518105E-1,9.262982607E-1
5.827292817E0,-2.193958759E0,-1.563591957E0,4.674950838E-1
5.867782088E0,-2.715584755E0,-1.661634445E0,6.580207348E-1
5.908272974E0,-1.185340643E0,2.931051254E-1,1.336205006E-2
5.948743911E0,1.499414444E-1,4.614562988E-1,5.272653103E-1
5.989242713E0,1.494845390E0,3.324451447E-1,-1.453135014E-1
6.029709172E0,3.655958176E-1,-1.124544144E0,-2.090084553E-1
6.070194380E0,1.175302267E0,-1.339912415E-2,-1.042897463E0
6.110691099E0,1.255004644E0,-9.309444427E-1,-1.446675301E0
6.151219328E0,9.211785197E-1,-4.342312813E0,-2.096840739E-2
6.191701880E0,2.013428688E0,-3.204295158E0,1.332946420E-1
6.232157765E0,-5.989444256E-2,-5.233907700E0,2.049005270E0
6.272679901E0,-6.627316475E-1,-2.231242180E0,6.011198759E-1
6.313154224E0,-2.180542231E0,-1.766377449E0,8.003873825E-1
6.353660630E0,-1.139219165E0,6.424121857E-1,4.524041414E-1
6.394127297E0,-6.531335115E-1,1.038367271E0,7.178637981E-1
6.434637245E0,4.072650075E-1,1.072246552E0,3.628374338E-1
6.475136255E0,-2.527612448E-1,2.123241425E-1,2.400753498E0
6.515592661E0,3.687403202E-1,1.813148499E0,-3.467369080E-2
6.556091672E0,4.038745165E-1,2.264179230E0,2.043238163E0
6.596598182E0,-1.786004066E0,1.223677635E0,-1.495164633E-1
6.637079224E0,1.339598656E0,1.833593845E0,-1.321423769E0
6.677533078E0,6.152065992E-1,7.351818085E-1,4.585132599E-1
6.718049120E0,-7.958841324E-2,-4.349927902E-1,3.307619095E-1
6.758538755E0,8.959741592E-1,-3.529109955E-1,-4.688005447E-1
6.799027401E0,1.973129630E0,-2.267965317E0,-6.523211002E-1
6.839527609E0,8.829121590E-1,-4.320109844E0,7.171607018E-1
6.880008026E0,1.496480942E0,-5.660676479E0,-1.600735188E0
6.920494484E0,2.614540339E0,-5.382775307E0,8.957147598E-1
6.961011672E0,-5.291490555E-1,-4.586472511E0,-7.157564163E-2
7.001491411E0,-5.796873569E0,-4.359050274E0,-2.103706360E0
7.041984692E0,3.258015156E0,-2.907295227E-1,-2.526201248E0
7.082472453E0,4.739398003E0,2.454497337E0,-2.220889568E0
7.122957870E0,5.746182442E0,4.392470360E0,-2.963691711E0
7.163456567E0,4.938422680E0,5.210817814E0,-2.829676628E0
7.203934536E0,3.103952408E-1,3.243460655E0,-1.421387911E0
7.244434484E0,-2.586344719E0,5.783815384E-1,3.232018948E-1
7.284931359E0,-2.304229736E-1,4.551527023E0,3.559317589E-1
7.325404901E0,1.294160604E0,5.643981934E0,-1.083941460E-1
7.365895422E0,1.633334160E-2,2.201735497E0,-6.749160290E-1
7.406374640E0,-1.269205093E0,-2.140173912E0,3.508162498E-1
7.446870057E0,-2.289860487E0,-2.777856827E0,9.598951340E-1
7.487355317E0,-1.224260330E0,-1.404794693E0,2.671717405E-1
7.527848442E0,-5.753005743E-1,-1.548308372E0,-5.395822525E-1
7.568334588E0,1.885056138E0,-4.215370178E0,-6.000611186E-1
7.608806515E0,-1.591688395E0,-3.063570976E0,-1.808562636E0
7.649294067E0,1.676774025E-2,-2.425005913E0,1.744912863E-1
7.689797661E0,-3.477306366E-1,-4.914365768E0,1.088260055E0
7.730302245E0,-1.369985580E0,-3.128686905E0,1.867379308E0
7.770774797E0,-3.155122519E0,-1.646003723E-1,-1.887871027E-1
7.811264745E0,-1.786487103E0,3.257665634E-1,6.831688881E-1
7.851774692E0,-1.115783930E0,-4.260454178E-1,-3.344888091E-1
7.892269953E0,-1.554560900E0,-4.290618896E-1,1.112314343E0
7.932763026E0,-1.841902494E0,9.759120941E-1,-1.234030724E-1
7.973241151E0,-8.438166380E-1,4.533120155E0,-8.873373270E-1
8.013715526E0,-1.409388065E0,4.451766014E0,1.930768490E-1
8.054210942E0,-1.663571596E0,1.758305550E0,-7.315175533E-1
8.094704640E0,1.805328727E0,1.362473488E0,-2.841940165E0
8.135190526E0,3.179073095E0,-8.774156570E-1,3.893375397E-1
8.175684901E0,4.167248249E0,-4.628307343E0,-8.666105270E-1
8.216191359E0,1.499768257E0,-4.914778709E0,-1.134077787E0
8.256677349E0,3.442135811E0,-3.175738811E0,-9.264659882E-2
8.297143286E0,-4.327946186E0,-7.667340755E0,1.460387707E0
8.337637922E0,-3.865701675E0,-6.059700966E0,-1.921888113E0
8.378123026E0,4.433506489E0,-2.405233383E-1,-2.502370596E0
8.418606672E0,4.792117119E0,7.383313179E-1,-2.009454966E0
8.459096411E0,5.279703140E0,3.495309830E0,-2.393827915E0
8.499580578E0,3.552803993E0,3.930053473E0,-2.021538973E0
8.540089432E0,3.427003145E0,3.915475368E0,-1.917572618E0
8.580606151E0,4.417829514E-1,2.166645527E0,-1.926808357E-1
8.621052765E0,-3.157858849E-1,3.057299137E0,-2.328324318E-1
8.661531099E0,-1.916668415E-1,4.078963280E0,2.352521420E-1
8.702025578E0,-1.896354914E0,1.699688435E0,-3.515644073E-1
8.742515213E0,-6.218268871E-1,1.459544182E0,-1.188537717E0
8.783037401E0,-1.542214870E0,-1.675510406E-1,-1.222514868E0
8.823515317E0,-4.169486046E0,-4.362007141E0,-9.490746856E-1
8.864000630E0,7.631621957E-1,-2.529152870E0,-4.428668022E-1
8.904484849E0,3.437289715E0,-6.294750214E0,2.803764343E0
8.945007557E0,-2.095172405E-1,-4.702688217E0,8.738656044E-1
8.985476932E0,-8.263028860E-1,-2.956505775E0,-2.983254790E-1
9.025963859E0,-1.467271566E0,-1.316468239E0,2.374174893E-1
9.066440942E0,-2.790602207E0,-1.614398003E0,5.444554090E-1
9.106919328E0,-3.123343706E0,5.370941162E-1,6.713604927E-1
9.147428911E0,-3.118268967E0,1.074086189E0,1.452230573E0
9.187910890E0,-2.540120125E0,1.196716309E0,1.354909301E0
9.228384120E0,4.027626514E-1,2.189597130E0,9.321384430E-1
9.268912609E0,1.904165864E0,3.503863811E0,3.282328844E-1
9.309366672E0,1.696832180E-1,3.002614021E0,9.104351997E-1
9.349914380E0,-1.407133818E0,4.180088043E-1,-5.469727516E-2
9.390323026E0,1.460839987E0,-5.950584412E-1,-1.174838185E0
9.430846984E0,1.945732117E0,-3.649560928E0,7.915401459E-1
9.471372349E0,1.430761814E0,-6.342275620E0,-8.919744492E-1
9.511783130E0,4.402828217E-1,-5.517504215E0,-5.499315262E-1
9.552337922E0,-1.981831551E0,-5.931363583E0,7.575187683E-1
9.592781984E0,-3.269847393E0,-5.485856056E0,-2.480182409E0
9.633311515E0,5.035929203E0,2.684915066E0,-3.366473675E0
9.673735370E0,6.672128201E0,5.172637939E0,-3.721910477E0
9.714280370E0,5.651479721E0,5.501029968E0,-2.778618097E0
9.754768442E0,4.670786858E0,4.414223671E0,-1.851197839E0
9.795254640E0,1.600264549E0,1.444825172E0,-8.120970726E-1
9.835780005E0,-1.210698605E0,1.414549351E0,1.661152601E0
9.876226672E0,-6.534404755E-1,5.118880272E0,1.433933973E0
9.916708338E0,-7.759773731E-1,4.325466156E-1,5.743799210E-1
9.957205213E0,-1.273979068E0,-3.454864502E0,-1.483039856E-1
9.997682870E0,-2.639567614E0,1.107521057E-1,-1.163843870E0
1.003816667E1,-2.497499943E0,7.364664078E-1,-1.712551951E0
1.007867547E1,-2.602093220E0,-2.749110222E0,8.382576704E-1
1.011919157E1,-5.835473537E-2,5.070400238E-2,4.339799881E-1
1.015966839E1,-2.415372849E0,-4.765776634E0,5.580750704E-1
1.020015469E1,-1.164413691E0,-1.421243668E0,9.698611498E-2
1.024062568E1,-8.493121862E-1,-3.097761154E0,3.512169123E-1
1.028113240E1,1.439278126E-1,-2.136945724E0,6.529574394E-1
1.032162178E1,1.588192940E0,2.251559734E0,2.599758208E-1
1.036211964E1,1.162500381E0,-3.665550232E0,-8.378269076E-1
1.040261881E1,1.164412618E0,3.506985664E0,-1.626443982E0
1.044308797E1,1.884964705E0,-1.886944771E0,-1.323871851E0
1.048358823E1,1.383752108E0,8.915090561E-1,6.227469444E-1
1.052405839E1,2.369262218E0,1.413739681E0,1.957080841E0
1.056453308E1,-1.270924807E0,-4.059909821E0,-1.926221728E0
1.060502750E1,1.613994241E0,3.003117085E0,1.453332067E0
1.064549402E1,8.380405903E-1,-3.061553955E0,1.628782749E-1
1.068599157E1,2.484216213E0,-3.148883820E0,3.820631802E-1
1.072651115E1,3.768520355E-1,-1.137914658E-1,-1.713767946E-1
1.076701355E1,1.942377567E0,1.014470100E0,1.226212740E0
1.080748995E1,-4.911589622E-1,8.229064941E-1,-2.423510551E-1
1.084798766E1,1.719764709E0,2.930482864E0,1.952580929E0
1.088846646E1,-2.516491652E0,-8.713635445E0,-2.103786707E0
1.092894053E1,3.747046947E0,2.807131767E0,4.186172485E0
1.096943995E1,2.254427433E0,-3.208549500E0,-1.023706794E-1
1.100994735E1,-4.942803383E-1,-5.419445038E-2,7.489601374E-1
1.105042907E1,4.465436935E-2,-1.325330734E-1,4.690778255E-2
1.109088428E1,1.451694965E-1,1.346407890E0,-4.162887335E-1
1.113141037E1,8.090415001E-1,-3.862047195E-1,-2.134023905E-1
1.117193256E1,7.933423519E-1,4.932651520E-1,-1.003659964E-1
1.121238183E1,1.258328199E0,1.725492477E-1,-1.497256756E-2
1.125286167E1,1.532294989E0,1.258087158E-1,-5.109109879E-1
1.129335672E1,6.833357811E-1,3.304157257E-1,2.882182598E-1
1.133384959E1,-1.555418968E-2,-1.272062302E0,4.455275536E-1
1.137434433E1,-5.830211639E-1,-8.678932190E-1,2.663130760E-1
1.141483714E1,5.364930630E-1,-8.641242981E-2,2.927613258E-2
1.145531980E1,-1.360036135E0,1.141789436E0,-1.285843015E0
1.149580485E1,2.829750538E0,-2.095324516E0,1.140420437E-1
1.153628787E1,6.870031357E-2,1.843150616E0,-5.901219845E-1
1.157677954E1,1.767138720E0,-4.928092957E-1,-3.310543299E-1
1.161725417E1,1.564612389E-1,2.636833191E-1,-4.365373850E-1
1.165770823E1,1.313411951E0,2.193861961E0,-9.922953248E-1
1.169825761E1,2.766351223E0,2.055537224E0,3.496463299E-1
1.173876360E1,-3.864680290E0,-6.069361687E0,1.673216224E0
1.177924047E1,2.432675362E0,3.120551109E0,-1.208133459E0
1.181971448E1,-1.673031569E0,-6.577577591E-1,1.428835750E0
1.186018693E1,2.957723141E-1,-3.048922539E0,1.130821705E-1
1.190066829E1,-7.993941307E-1,-2.138216972E0,4.455373287E-1
1.194123641E1,2.173936367E0,1.815100670E0,-1.509487629E-1
1.198166079E1,1.335466623E0,-1.278629303E-1,2.895677090E-1
1.202217860E1,-4.630804062E-1,-5.417823792E-3,6.717975140E-1
1.206267844E1,-3.971099854E-1,-2.006783962E0,3.286752701E-1
1.210313526E1,-2.695185184E0,-7.054138184E0,4.354339123E0
1.214365912E1,3.270652771E0,2.160797119E-1,-1.967816710E0
1.218412058E1,1.959743500E-1,4.283518791E-1,1.410222054E-1
1.222459558E1,-1.026375294E0,-3.961524963E-1,-2.032632589E0
1.226512204E1,-3.874244690E-1,-1.167445660E0,-1.280127525E0
