"event","experiment time","system time","system time text"
"START",0.000000000E0,1717503100.868,"2024-06-04 14:11:40.868 UTC+02:00"
"PAUSE",3.481612635E2,1717503449.029,"2024-06-04 14:17:29.029 UTC+02:00"
