"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717505099156540E9,"2024-06-04 14:44:59.157 UTC+02:00"
"PAUSE",2.047650178750009E2,1.717505303920549E9,"2024-06-04 14:48:23.921 UTC+02:00"
