"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717503328353027E9,"2024-06-04 14:15:28.353 UTC+02:00"
"PAUSE",1.249794602083348E2,1.717503453330126E9,"2024-06-04 14:17:33.330 UTC+02:00"
