"event","experiment time","system time","system time text"
"START",0.000000000E0,1717612999.400,"2024-06-05 20:43:19.400 UTC+02:00"
"PAUSE",2.444533381E2,1717613243.854,"2024-06-05 20:47:23.854 UTC+02:00"
