"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.526933333E0,2.365862846E0,1.036285996E0,1.638837576E0
3.566673333E0,4.290863514E0,-7.744722366E-1,1.617339253E0
3.606413417E0,3.963994265E0,-3.169592142E0,8.376117945E-1
3.646153417E0,1.473671079E0,-6.119072437E-1,-2.138696909E0
3.685892417E0,3.308450460E0,2.944597304E-1,6.786891818E-1
3.725632417E0,1.572830796E0,1.070878386E0,2.607638836E-1
3.765372417E0,7.828150392E-1,4.041821063E-1,1.513461590E0
3.805112417E0,6.425473690E-1,-1.578599215E0,1.066617250E0
3.844851417E0,4.329513293E-3,-2.223071098E0,1.085665599E-1
3.884591417E0,-9.179701209E-1,-2.582611322E0,2.090408951E-1
3.924331417E0,4.644678593E0,-1.989515185E0,-5.917605162E-1
3.964070417E0,-1.430783868E0,-3.033630848E-1,7.728900313E-1
4.003810417E0,-3.836861253E-1,3.790463805E-1,1.130166173E0
4.043550417E0,-6.823410988E-1,2.088811874E0,-2.340121746E0
4.083290417E0,-3.041586161E0,1.147973657E0,-4.841829538E-1
4.123029417E0,-2.067904472E0,1.972978950E0,-2.293736488E-1
4.162769417E0,-2.391674370E-1,6.740052700E-1,-1.047091722E0
4.202509417E0,-2.937559128E0,-4.825693369E-1,-1.559813023E0
4.242248417E0,-3.054129839E0,9.147815704E-1,5.903231502E-1
4.281988417E0,-1.311456919E0,7.710992694E-1,1.115120292E0
4.321728417E0,-2.059583664E0,3.646915257E-1,-4.339347482E-1
4.361468417E0,-3.407945633E0,-2.109422814E-3,-4.184967577E-1
4.401207417E0,-5.505852699E-1,3.792830706E0,2.277919203E-1
4.440947417E0,4.968855977E-1,1.285552621E0,-7.069299929E-3
4.480687417E0,2.940304995E0,6.155941486E-1,1.438390017E0
4.520426417E0,4.612464428E0,-8.395018578E-1,1.798356056E0
4.560166417E0,3.680097818E0,-2.549755096E0,8.251489997E-1
4.599907083E0,1.203883886E0,-2.461380243E0,-1.308468819E0
4.639647083E0,3.314472675E0,2.281614065E0,1.000472069E0
4.679386083E0,1.190834880E0,2.809204161E-1,1.071492314E0
4.719126083E0,8.205940127E-1,-9.895393252E-1,1.997137427E0
4.758866083E0,6.662885547E-1,-1.867587805E0,1.213328362E0
4.798605083E0,-3.918716908E-1,-2.559596777E0,-5.617639422E-2
4.838345083E0,-1.605045438E0,-3.566303730E0,2.314261347E-2
4.878085083E0,2.612606287E0,-3.928694725E0,-7.526953816E-1
4.917824083E0,2.381290495E-1,-6.136572734E-2,1.676171541E0
4.957564083E0,-2.604867697E0,6.122626364E-2,-2.652656734E-1
4.997304083E0,-2.339241743E0,1.909479856E0,-1.773252845E0
5.037044083E0,-2.088136673E0,1.514642477E0,-1.667281389E0
5.076783083E0,-1.255130887E0,2.912369668E-1,-6.771208048E-1
5.116523083E0,-1.398890972E0,-9.970481992E-1,-1.193097115E0
5.156263083E0,-2.958600044E0,5.565192103E-1,9.351168573E-2
5.196002083E0,-1.687011600E0,1.020696402E0,1.058451414E0
5.235742083E0,-1.369840980E0,6.589586735E-1,5.446796417E-1
5.275482083E0,-1.851558924E0,4.565688968E-1,-7.355517745E-1
5.315222083E0,-3.921827555E0,-8.493093252E-1,-7.646198571E-2
5.354961083E0,5.712684393E-1,3.696613073E0,2.071457207E-1
5.394701083E0,4.162811488E-2,4.768135846E-1,-1.894627139E-2
5.434441083E0,2.937532425E0,8.707424402E-1,6.697310209E-1
5.474180083E0,4.404758930E0,4.802418649E-1,1.300998688E0
5.513920083E0,3.611147165E0,-3.169572592E0,1.456532359E0
5.553660083E0,4.242171943E-1,-4.163278580E0,5.304066539E-1
5.593399042E0,2.422395706E0,3.283582687E0,7.325013280E-1
5.633139042E0,9.900049567E-1,-1.454951167E0,3.646907508E-1
5.672879042E0,1.226859689E0,-1.193179004E-2,1.715479732E0
5.712619042E0,1.136664391E0,-1.754570961E0,1.028262854E0
5.752358042E0,3.986729681E-1,-2.547567606E0,3.432747722E-1
5.792098042E0,-1.919366479E0,-3.320034981E0,-8.145094663E-2
5.831838042E0,4.211430073E0,-4.012998104E0,-1.026111245E0
5.871577042E0,-3.066581786E-1,8.430609107E-1,1.810240507E0
5.911317042E0,-1.439730883E0,-3.030816019E-1,5.423958302E-1
5.951057042E0,-2.710980892E0,3.672749281E0,-2.566755533E0
5.990796042E0,-2.116611004E0,1.089847684E0,-2.404336691E0
6.030536042E0,-1.454404712E0,1.161322594E0,-4.185231924E-1
6.070276042E0,-8.381889462E-1,2.767129540E-1,-1.096664429E0
6.110015042E0,-3.494066715E0,-6.764746308E-1,-1.113041520E0
6.149755042E0,-2.297027111E0,-6.863636971E-1,9.648633003E-1
6.189495042E0,-1.176031113E0,-3.932593465E-1,1.000335813E0
6.229234042E0,-2.517381191E0,1.257351279E0,-4.752274752E-1
6.268974042E0,-2.728250504E0,2.671049356E0,-8.923536539E-2
6.308714042E0,-7.799564600E-1,4.470355988E0,2.908238173E-1
6.348453042E0,1.315159440E0,-1.636871338E0,1.041314453E-1
6.388193042E0,3.953519821E0,1.830020398E-1,1.267398596E0
6.427933042E0,4.244736195E0,-1.224223733E0,1.786667347E0
6.467672042E0,3.388072252E0,-2.717551947E0,7.600272894E-1
6.507412042E0,-8.632251620E-2,-2.899349451E0,-3.031498492E-1
6.547152042E0,1.609091282E0,1.173899889E0,1.869992375E0
6.586891042E0,3.272829652E-1,-1.420212984E0,1.054977417E0
6.626630917E0,3.819401264E-1,-5.295003057E-1,1.641605377E0
6.666370917E0,1.291255713E0,-2.146190882E0,1.251150966E0
6.706109917E0,4.985440373E-1,-3.703662395E0,2.398165762E-1
6.745849917E0,9.301047325E-1,-1.563409448E0,-1.156398416E0
6.785589917E0,-4.746292233E-1,-5.606170893E-1,4.939984679E-1
6.825328917E0,-3.494923115E-1,-1.212735251E-1,2.049738169E0
6.865068917E0,-3.806350708E0,1.306155920E0,-1.142172456E0
6.904808917E0,-1.301852465E0,1.919781446E0,-3.305629492E0
6.944547917E0,-1.038946986E0,6.471672058E-1,-3.351899683E-1
6.984287917E0,-9.859300852E-1,1.688243985E0,-5.516450405E-1
7.024027917E0,-1.296767354E0,5.331417918E-1,-7.246296406E-1
7.063766917E0,-3.089040518E0,-9.282499552E-1,-4.375123382E-1
7.103506917E0,-2.913342714E0,-1.696241260E0,8.776671886E-1
7.143246917E0,-2.765390158E0,1.598365188E0,-5.469297245E-2
7.182985917E0,-2.885344267E0,4.486041069E0,-4.327084497E-2
7.222725917E0,-6.037861109E-1,2.983043671E0,-1.541396379E-1
7.262464917E0,4.981619716E-1,-1.547520757E0,-2.176075876E-1
7.302204917E0,2.744188070E0,9.932228923E-1,1.443068027E0
7.341944917E0,4.126937866E0,8.899056315E-1,1.936441064E0
7.381683917E0,3.683043003E0,-3.008232594E0,2.185799360E0
7.421423917E0,1.282427669E0,-3.872722387E0,1.969344914E-1
7.461163917E0,2.024387598E0,2.074622869E0,1.175305247E-1
7.500902917E0,4.260707796E-1,-7.015635371E-1,9.488323331E-1
7.540642917E0,3.214823306E-1,-1.307125669E-3,1.530688643E0
7.580381917E0,4.740816653E-1,-1.845380783E0,1.154112458E0
7.620121542E0,6.925898790E-1,-2.671675205E0,3.304274976E-1
7.659861542E0,-1.526723266E0,-2.793479204E0,7.768574357E-2
7.699600542E0,2.820773125E0,-3.284699917E0,-9.588857293E-1
7.739340542E0,-1.591912389E0,-3.119683862E-1,1.854906559E0
