"event","experiment time","system time","system time text"
"START",0.000000000E0,1718106885.566,"2024-06-11 13:54:45.566 UTC+02:00"
"PAUSE",3.920797330E2,1718107277.646,"2024-06-11 14:01:17.646 UTC+02:00"
