"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717919444169830E9,"2024-06-09 09:50:44.170 UTC+02:00"
"PAUSE",3.235938905833318E2,1.717919767813934E9,"2024-06-09 09:56:07.814 UTC+02:00"
