"event","experiment time","system time","system time text"
"START",0.000000000E0,1717510696.697,"2024-06-04 16:18:16.697 UTC+02:00"
"PAUSE",1.382351142E2,1717510834.932,"2024-06-04 16:20:34.932 UTC+02:00"
