"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.822312500E-2,-1.585642678E0,-1.560824464E0,1.013110219E0
5.796212500E-2,2.244950742E-1,1.828582209E-1,1.624407379E0
9.770112500E-2,-1.194852206E0,5.749216318E-2,-9.985448045E-1
1.374401250E-1,7.948295653E-1,1.547649810E0,-1.887306966E0
1.771791250E-1,1.129088864E0,-3.280478016E-1,6.632280368E-1
2.169181250E-1,2.425939608E0,7.081355301E-1,-5.012344354E-1
2.566571250E-1,1.287510109E0,-3.575613302E-1,-4.753458881E-1
2.963961250E-1,3.689314749E0,-2.441960979E-1,2.191585543E0
3.361361250E-1,4.909594157E0,-1.564087502E0,4.538079616E0
3.758751250E-1,4.200043309E0,-1.028235796E0,-3.050568420E-1
4.156141250E-1,1.300147696E0,-8.731816703E-1,3.416259134E-1
4.553531250E-1,-1.808116955E0,-3.611222261E0,-2.691841155E0
4.950921250E-1,3.109998935E0,-7.553577898E-1,1.225126750E0
5.348311250E-1,2.259320274E0,-8.918223014E-1,9.150220066E-1
5.745701250E-1,2.319678158E-1,-2.491284581E0,-5.153017253E0
6.143091250E-1,3.907625808E0,8.023799287E-1,5.685931903E-1
6.540491250E-1,4.025369436E-1,-3.540670926E0,-4.359927235E0
6.937881250E-1,8.359062552E-2,-5.015709427E-1,4.657394975E-1
7.335271250E-1,-2.488520018E0,-3.701854688E0,-1.349449080E0
7.732666667E-1,-5.709709606E0,-4.303606269E0,-1.329925811E-1
8.130056667E-1,-4.192613837E0,2.078039047E-1,4.011823191E0
8.527446667E-1,-5.223001993E0,-1.621763268E-1,6.991808116E-1
8.924836667E-1,-2.334056461E0,1.352529393E0,3.740143425E0
9.322236667E-1,4.672176737E-1,1.319175004E1,1.552446281E1
9.719626667E-1,-2.532651878E0,2.849348187E-2,4.901814437E0
1.011701667E0,-4.437461899E0,-4.032006610E0,-5.011942066E0
1.051440667E0,-2.257160313E0,-3.204873517E0,-1.772012152E0
1.091179667E0,2.178099525E0,-9.079860520E-1,4.695548058E-1
1.130918667E0,1.725741380E0,-3.958455654E0,-1.336085853E0
1.170657667E0,1.922629411E0,-1.924517477E-1,-1.261483860E0
1.210397667E0,2.308682469E0,-1.177910483E0,2.374296999E-1
1.250136667E0,6.348725492E-1,7.270357776E-1,2.861923209E0
1.289875667E0,3.282340354E-1,1.496334645E0,6.090872052E-1
1.329614667E0,1.310105504E0,2.657664764E0,1.803652021E0
1.369353667E0,-5.177905927E0,-8.833850616E-1,1.560104964E0
1.409092667E0,-2.715524132E0,3.057684481E-1,-1.960564976E0
1.448831667E0,-6.039039409E-1,-1.175769818E0,-7.656040120E-1
1.488571667E0,1.250294920E0,-7.525857711E-1,-9.020195532E-1
1.528310667E0,3.193343393E0,-1.814434871E-1,-2.100254958E0
1.568049667E0,-5.413919431E-1,-4.553779390E-1,-9.915427637E-1
1.607788667E0,1.280729678E0,9.857864723E-1,-2.126726473E0
1.647527667E0,2.149697844E0,1.784199796E0,3.891982752E-1
1.687266667E0,4.772873976E0,1.974919014E0,-3.893877250E-1
1.727005667E0,-1.563177091E0,-5.775908858E-1,1.833838856E0
1.766745875E0,-3.435019341E0,1.715088338E0,3.134851940E0
1.806484875E0,-7.807559019E-1,1.759452625E0,1.073240061E0
1.846223875E0,6.657576592E0,-5.490819088E-1,2.228699575E0
1.885962875E0,2.598110288E0,2.050712085E-1,4.192699206E-1
1.925701875E0,6.182167554E-1,-9.053837487E-1,8.146732610E-1
1.965440875E0,-3.424125978E0,-2.522903400E0,-7.700250918E-1
2.005180875E0,-2.765641787E0,-3.331009653E0,-8.001188396E0
2.044919875E0,6.829958357E0,3.854350657E0,1.623614789E0
2.084658875E0,2.080317707E0,2.283885889E0,-2.698653746E-1
2.124397875E0,1.186948057E1,8.018038318E-1,-1.001471921E0
2.164136875E0,-4.537916479E0,9.035740355E0,-1.547484100E1
2.203875875E0,-3.089540697E0,6.199245517E0,-1.332697392E0
2.243615875E0,-2.835435323E0,3.830622071E-1,1.421232423E0
2.283354875E0,-3.365948229E0,-2.561127818E0,1.082233663E0
2.323093875E0,-4.457652919E0,-8.965142827E0,4.137759937E0
2.362832875E0,1.706237993E-1,-6.098410867E0,1.703945299E0
2.402571875E0,4.965614576E0,-4.311014691E-1,-2.146043919E0
2.442311875E0,2.079574526E0,2.377639852E0,4.158627480E-1
2.482050875E0,-2.696852803E-2,1.568264169E0,-1.733956718E-1
2.521789875E0,2.126691390E0,2.573643783E0,-7.823574543E-1
2.561528875E0,-1.292555087E0,1.783912405E-1,-1.320155699E0
2.601267875E0,1.095662963E-1,9.073089445E-1,-6.275933504E-1
2.641007875E0,-3.695849013E0,-1.567702836E-1,-1.848837841E0
2.680746875E0,9.946879810E-1,4.629762204E0,1.218273228E-1
2.720485875E0,7.210605079E-1,-5.655052757E-1,-1.547286698E0
2.760224042E0,8.829628927E-1,1.018442879E0,1.923576952E0
2.799963042E0,-2.105444362E0,2.659062248E0,-1.674387040E0
2.839703042E0,7.359972203E0,1.434463268E1,-1.592639456E0
2.879442042E0,3.917646474E0,1.690255798E0,1.423636096E1
2.919181042E0,-3.005340791E0,-2.238605577E1,-1.368955274E1
2.958920042E0,-2.471282426E0,-6.510231435E0,1.083369777E0
2.998659042E0,-1.064628866E0,-1.689726040E0,4.398085579E-1
3.038399042E0,-5.426797339E0,8.043137491E-2,1.935934457E0
3.078138042E0,1.762731451E0,-9.983588630E-1,5.423423495E0
3.117877042E0,-7.209242678E-1,-2.168283219E0,-7.648134685E-1
3.157616042E0,-9.340125936E-1,-5.222358799E0,-3.185352588E-1
3.197356042E0,-1.741898407E0,-4.676357496E0,-3.052506772E0
3.237095042E0,4.437607495E0,6.340907764E0,-3.309310051E0
3.276834042E0,2.250464081E0,1.812299468E0,-5.454818366E0
3.316573042E0,4.421441697E0,2.702921628E0,-3.169927048E0
3.356313042E0,3.165032344E0,2.666918275E0,-3.156404777E0
3.396052042E0,2.110596344E0,1.261213280E0,-7.973046917E-1
3.435791042E0,9.960264087E-2,1.186136931E-2,-7.311206424E-1
3.475530042E0,9.648894006E-1,1.720247337E0,-4.883062416E-1
3.515270042E0,-1.437701690E-1,-1.802012461E-1,-4.755680823E-1
3.555009042E0,-6.538204515E-1,-4.387144854E0,-1.572254308E0
3.594748042E0,-2.623988895E0,-4.731357576E0,1.546803718E0
3.634487042E0,-4.176247480E0,-2.460584945E0,1.489508021E0
3.674227042E0,-3.189276654E0,-3.060371861E0,3.840138122E0
3.713966042E0,-3.191443340E0,5.432694840E-1,1.523946367E0
3.753705500E0,3.267563563E0,2.993084443E-1,5.333830118E-1
3.793444500E0,-1.127480587E0,-3.104871511E-4,-1.851420264E0
3.833184500E0,-1.628917336E-1,1.583168721E-1,4.307667745E0
3.872923500E0,9.535574967E-1,-1.448064710E0,-1.783863873E0
3.912662500E0,-1.901046753E-1,-1.283721698E0,1.596613809E0
3.952401500E0,-2.259119130E0,-2.337556019E0,6.234827578E-1
3.992141500E0,-2.589050612E0,-3.717448627E0,-1.190928140E0
4.031880500E0,-1.085775322E-1,-1.013173953E0,-1.205531561E0
4.071619500E0,8.499600381E-1,8.716613942E-1,-1.985349569E0
4.111359500E0,2.906326380E-1,1.343393265E0,-1.155636685E0
4.151098500E0,3.805928987E0,1.365019338E0,-4.286580346E0
4.190837500E0,4.801647832E0,3.018702264E0,-4.328610717E0
4.230576500E0,1.989420986E0,2.819577966E0,-4.021274046E0
4.270316500E0,1.059814269E0,7.312688693E-1,-2.032824867E0
4.310055500E0,1.463674437E0,4.192629039E-1,-1.492495363E0
4.349794500E0,2.574408599E0,-2.201585159E0,-1.777532508E0
4.389534500E0,-3.619387313E0,5.133430250E0,8.411324966E-1
4.429273500E0,-3.985367756E0,-3.843666040E0,-7.128925323E-2
4.469012500E0,-3.623720099E0,-5.524458119E0,1.253534862E0
4.508752500E0,1.259911251E-1,-1.437307003E0,2.410584819E0
4.548491500E0,2.712825058E0,-3.214186962E0,4.675348266E0
4.588230500E0,-1.132634908E0,1.505383211E-1,2.766887829E-1
4.627970500E0,-1.159670387E0,-1.920351335E0,9.592240334E-2
4.667709500E0,-5.596346712E-1,-1.605524966E0,1.254544092E0
4.707448500E0,2.461792980E0,-1.900824559E-1,1.475274144E0
4.747188000E0,1.851474059E-1,-9.185145485E-1,1.319623017E0
4.786927000E0,-2.856809819E0,-1.382308677E0,2.442543946E0
4.826667000E0,-3.210955791E0,-2.751745879E0,1.180018405E0
4.866406000E0,-2.954054278E-1,-9.987503341E-1,-2.639786902E0
4.906145000E0,1.737006041E0,1.462166440E0,-3.289644696E0
4.945885000E0,9.858472833E-1,6.142671074E-1,-3.188921728E0
4.985624000E0,-1.769763898E0,1.043274689E0,-3.782359738E0
5.025363000E0,2.597723787E0,2.057015822E0,-2.983762227E0
5.065103000E0,2.397865079E0,1.559942996E0,-3.246853017E0
5.104842000E0,2.492996061E0,3.354709588E0,-2.100349683E0
5.144581000E0,1.929162505E0,5.563844964E-1,-1.569038925E0
5.184321000E0,1.644070981E0,1.045876553E0,1.718724722E-1
5.224060000E0,-6.859468085E-1,-1.146913809E0,-6.441626054E-1
5.263800000E0,5.409379068E-1,-1.201556039E0,1.190336986E0
5.303539000E0,-1.186450634E0,-2.411097620E0,2.296552420E-2
5.343278000E0,-1.530656339E0,-2.803422986E0,3.341849806E0
5.383018000E0,-4.520241223E0,-3.580523209E0,9.001496136E-1
5.422757000E0,4.308076465E-1,-2.996525529E0,4.322400389E0
5.462496000E0,-1.863533941E-1,1.818600428E0,1.263414318E0
5.502236000E0,-5.404107803E-1,1.814876336E-1,-2.099780749E0
